"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"EMA Partners India Limited","SME",,"EMAIN","17-JAN-2025","21-JAN-2025","124","24-JAN-2025"
"Stallion India Fluorochemicals Limited","BE","    90","STALLION","16-JAN-2025","20-JAN-2025","Rs.85 to Rs.90","23-JAN-2025"
"Kabra Jewels Limited","SME",,"KKJEWELS","15-JAN-2025","17-JAN-2025","128","22-JAN-2025"
"Laxmi Dental Limited","EQ","   428","LAXMIDENTL","13-JAN-2025","15-JAN-2025","Rs.407 to Rs.428","20-JAN-2025"
"Sat Kartar Shopping Limited","SME",,"SATKARTAR","10-JAN-2025","14-JAN-2025","81","17-JAN-2025"
"Barflex Polyfilms Limited","SME",,"BARFLEX","10-JAN-2025","15-JAN-2025","60","20-JAN-2025"
"Quadrant Future Tek Limited","EQ","   290","QUADFUTURE","07-JAN-2025","09-JAN-2025","Rs.275 to Rs.290","14-JAN-2025"
"Capital Infra Trust","IV","    99","CAPINVIT","07-JAN-2025","09-JAN-2025","Rs.99 to Rs.100","17-JAN-2025"
"Delta Autocorp Limited","SME",,"DELTIC","07-JAN-2025","09-JAN-2025","130","14-JAN-2025"
"Standard Glass Lining Technology Limited","EQ","   140","SGLTL","06-JAN-2025","08-JAN-2025","Rs.133 to Rs.140 ","13-JAN-2025"
"Indo Farm Equipment Limited","EQ","   215","INDOFARM","31-DEC-2024","02-JAN-2025","Rs.204 to Rs.215 ","07-JAN-2025"
"Anya Polytech & Fertilizers Limited","SME",,"ANYA","26-DEC-2024","30-DEC-2024","14","02-JAN-2025"
"Unimech Aerospace and Manufacturing Limited","EQ","   785","UNIMECH","23-DEC-2024","26-DEC-2024","Rs.745 to Rs.785 ","31-DEC-2024"
"Ventive Hospitality Limited","EQ","   643","VENTIVE","20-DEC-2024","24-DEC-2024","Rs.610 to Rs.643","30-DEC-2024"
"Carraro India Limited","EQ","   704","CARRARO","20-DEC-2024","24-DEC-2024","Rs.668 to Rs.704 ","30-DEC-2024"
"Senores Pharmaceuticals Limited","EQ","   391","SENORES","20-DEC-2024","24-DEC-2024","Rs.372 to Rs.391","30-DEC-2024"
