DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,409.9,411.25,391.55,405.2,394.9,394.45,400.21,444.4,282.05,738814,295677537.5,10904,ABDL
2025-01-23,EQ,388.0,407.0,388.0,393.0,404.55,405.2,401.94,444.4,282.05,243909,98036509.9,7913,ABDL
2025-01-22,EQ,401.0,403.0,384.9,399.55,391.15,393.0,393.72,444.4,282.05,416126,163836302.05,9788,ABDL
2025-01-21,EQ,410.6,413.65,395.85,408.5,402.2,399.55,402.25,444.4,282.05,282956,113817713.6,7373,ABDL
2025-01-20,EQ,409.1,414.3,399.8,403.7,408.0,408.5,407.88,444.4,282.05,474002,193336986.85,11984,ABDL
2025-01-17,EQ,403.0,410.0,399.8,409.2,405.0,403.7,403.11,444.4,282.05,307750,124057391.05,8135,ABDL
2025-01-16,EQ,413.3,414.4,406.75,406.6,408.0,409.2,410.69,444.4,282.05,324189,133140479.7,7629,ABDL
2025-01-15,EQ,399.0,410.0,395.6,393.35,408.55,406.6,403.74,444.4,282.05,422197,170459852.9,8715,ABDL
2025-01-14,EQ,389.0,396.95,383.55,385.2,393.0,393.35,391.47,444.4,282.05,300466,117623378.35,8101,ABDL
2025-01-13,EQ,400.0,411.75,383.3,414.6,386.7,385.2,394.89,444.4,282.05,760713,300398127.7,14524,ABDL
2025-01-10,EQ,427.25,427.4,408.0,429.15,416.0,414.6,414.9,444.4,282.05,632130,262273250.0,18255,ABDL
2025-01-09,EQ,432.0,436.65,424.65,433.5,427.05,429.15,429.83,444.4,282.05,391066,168093195.3,8609,ABDL
2025-01-08,EQ,430.05,438.5,428.25,432.65,433.0,433.5,432.28,444.4,282.05,459791,198756600.35,8474,ABDL
2025-01-07,EQ,424.5,435.45,423.75,424.35,430.05,432.65,430.66,444.4,282.05,294726,126927467.5,8349,ABDL
2025-01-06,EQ,432.0,437.45,421.7,437.45,425.9,424.35,426.47,444.4,282.05,1009577,430549997.15,18924,ABDL
2025-01-03,EQ,437.0,441.9,433.8,437.1,438.1,437.45,437.42,444.4,282.05,565295,247272150.0,11792,ABDL
2025-01-02,EQ,431.0,444.4,431.0,429.2,437.95,437.1,436.84,444.4,282.05,588773,257201356.6,11538,ABDL
2025-01-01,EQ,429.55,436.0,427.15,429.55,430.0,429.2,430.65,436.9,282.05,386819,166583352.1,7247,ABDL
2024-12-31,EQ,422.3,433.4,420.1,424.35,433.4,429.55,425.88,436.9,282.05,534840,227777357.95,13297,ABDL
2024-12-30,EQ,422.2,436.9,415.85,422.4,424.5,424.35,425.57,436.9,282.05,1461642,622026781.4,17511,ABDL
2024-12-27,EQ,421.0,426.5,415.45,422.4,422.0,422.4,421.93,426.6,282.05,876744,369922643.2,14315,ABDL
2024-12-26,EQ,417.45,426.6,417.45,417.45,422.5,422.4,422.04,426.6,282.05,735167,310269577.0,14632,ABDL
2024-12-24,EQ,408.0,422.4,407.15,406.8,417.0,417.45,414.6,422.4,282.05,2943311,1220306255.9,37209,ABDL
2024-12-23,EQ,390.0,411.0,387.2,386.6,405.45,406.8,401.46,411.0,282.05,1431233,574584864.2,21174,ABDL
2024-12-20,EQ,390.95,399.0,385.2,390.25,386.0,386.6,393.01,406.5,282.05,803032,315596695.7,14179,ABDL
2024-12-19,EQ,386.45,401.7,382.5,393.9,391.4,390.25,392.64,406.5,282.05,737739,289662668.3,12079,ABDL
2024-12-18,EQ,395.0,399.75,390.3,394.75,392.0,393.9,394.52,406.5,282.05,728654,287471591.55,15853,ABDL
2024-12-17,EQ,378.5,406.5,378.05,378.6,393.35,394.75,396.33,406.5,282.05,2827334,1120553442.45,38287,ABDL
2024-12-16,EQ,375.0,383.4,370.6,372.45,381.25,378.6,375.85,385.0,282.05,519970,195429007.95,11159,ABDL
2024-12-13,EQ,365.6,375.0,363.2,371.85,372.5,372.45,368.82,385.0,282.05,746698,275399417.6,10957,ABDL
2024-12-12,EQ,374.95,381.1,369.55,373.9,371.85,371.85,374.69,385.0,282.05,747082,279921632.95,9278,ABDL
2024-12-11,EQ,377.85,379.85,373.0,376.6,374.9,373.9,375.92,385.0,282.05,393992,148108036.95,7522,ABDL
2024-12-10,EQ,384.3,385.0,374.25,378.4,376.1,376.6,379.3,385.0,282.05,927223,351696038.35,14181,ABDL
2024-12-09,EQ,374.4,382.0,369.6,368.15,377.95,378.4,376.17,382.0,282.05,2031495,764194363.9,28378,ABDL
2024-12-06,EQ,351.2,370.0,348.9,350.6,367.0,368.15,362.22,372.4,282.05,1793305,649573862.45,23705,ABDL
2024-12-05,EQ,354.0,356.35,346.45,352.6,350.45,350.6,350.52,372.4,282.05,818267,286817665.65,9521,ABDL
2024-12-04,EQ,345.7,360.4,338.9,345.35,352.0,352.6,351.27,372.4,282.05,1059220,372075506.55,14979,ABDL
2024-12-03,EQ,346.45,352.0,342.6,345.5,345.0,345.35,347.67,372.4,282.05,669090,232619540.2,10785,ABDL
2024-12-02,EQ,338.5,349.95,333.05,336.75,345.1,345.5,343.07,372.4,282.05,1207202,414152427.65,18598,ABDL
2024-11-29,EQ,338.0,339.0,328.2,323.15,338.0,336.75,333.94,372.4,282.05,1866037,623136575.45,23976,ABDL
2024-11-28,EQ,322.9,329.8,321.1,321.85,322.6,323.15,325.78,372.4,282.05,279027,90902072.5,4729,ABDL
2024-11-27,EQ,319.0,323.5,317.85,318.85,322.0,321.85,321.04,372.4,282.05,261509,83954667.2,4903,ABDL
2024-11-26,EQ,316.25,323.9,316.0,316.4,319.55,318.85,320.53,372.4,282.05,236172,75699157.8,4407,ABDL
2024-11-25,EQ,318.1,324.0,315.3,315.15,318.0,316.4,318.3,372.4,282.05,300280,95577862.35,4594,ABDL
2024-11-22,EQ,312.0,323.7,308.4,311.45,315.0,315.15,313.18,372.4,282.05,527315,165141888.65,6206,ABDL
2024-11-21,EQ,310.1,314.0,307.0,311.9,314.0,311.45,310.51,372.4,282.05,205057,63672479.25,4316,ABDL
2024-11-19,EQ,315.35,320.85,310.65,314.9,311.5,311.9,316.57,372.4,282.05,194042,61427947.05,4405,ABDL
2024-11-18,EQ,315.65,319.2,308.8,315.65,314.1,314.9,314.63,372.4,282.05,230200,72428542.1,5399,ABDL
2024-11-14,EQ,310.0,319.05,310.0,308.2,314.95,315.65,315.22,372.4,282.05,279350,88055696.75,5713,ABDL
2024-11-13,EQ,315.6,320.05,306.1,316.35,310.0,308.2,313.06,372.4,282.05,447317,140038445.65,8954,ABDL
2024-11-12,EQ,328.0,332.5,313.25,329.05,319.0,316.35,323.78,372.4,282.05,600225,194340892.6,6825,ABDL
2024-11-11,EQ,324.1,331.5,320.3,327.05,329.0,329.05,327.84,372.4,282.05,314555,103125063.35,5117,ABDL
2024-11-08,EQ,332.0,338.7,325.0,330.25,326.0,327.05,332.49,372.4,282.05,414210,137719363.75,7358,ABDL
2024-11-07,EQ,332.0,334.95,329.05,331.55,330.55,330.25,330.94,372.4,282.05,368368,121906944.75,5031,ABDL
2024-11-06,EQ,332.0,345.0,330.0,331.3,331.35,331.55,335.0,372.4,282.05,924989,309872997.75,14411,ABDL
2024-11-05,EQ,320.95,332.6,319.0,321.5,330.85,331.3,326.73,372.4,282.05,636427,207940729.95,10440,ABDL
2024-11-04,EQ,327.0,327.9,319.85,327.05,320.5,321.5,322.6,372.4,282.05,469259,151383530.45,6766,ABDL
2024-11-01,EQ,328.9,329.0,324.5,324.6,327.0,327.05,327.2,372.4,282.05,198924,65087882.85,4759,ABDL
