DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,209.2,210.53,198.9,209.2,199.3,199.63,202.66,292.4,198.9,591041,119777870.07,16316,ACMESOLAR
2025-01-23,EQ,212.0,212.38,208.0,212.42,208.6,209.2,210.45,292.4,207.7,567353,119401280.69,11420,ACMESOLAR
2025-01-22,EQ,214.6,215.6,207.7,212.52,212.0,212.42,212.57,292.4,207.7,1144584,243307752.97,23230,ACMESOLAR
2025-01-21,EQ,214.99,216.5,208.53,214.01,212.85,212.52,212.28,292.4,208.53,739340,156944217.66,28078,ACMESOLAR
2025-01-20,EQ,222.65,223.5,213.25,221.4,213.6,214.01,215.72,292.4,213.25,693210,149541574.93,27613,ACMESOLAR
2025-01-17,EQ,227.1,228.42,219.93,228.28,221.38,221.4,223.2,292.4,218.21,829761,185205464.5,34479,ACMESOLAR
2025-01-16,EQ,225.2,233.0,221.77,222.34,228.52,228.28,227.93,292.4,218.21,2460577,560849819.54,37716,ACMESOLAR
2025-01-15,EQ,227.53,229.79,220.48,227.29,222.49,222.34,224.06,292.4,218.21,704158,157773920.95,19771,ACMESOLAR
2025-01-14,EQ,224.0,231.5,223.25,222.34,227.7,227.29,227.25,292.4,218.21,666982,151570224.4,19728,ACMESOLAR
2025-01-13,EQ,224.0,228.5,218.21,230.73,222.6,222.34,222.9,292.4,218.21,812521,181113923.73,20903,ACMESOLAR
2025-01-10,EQ,236.5,237.45,228.6,238.1,231.4,230.73,231.2,292.4,224.05,283147,65464119.39,7074,ACMESOLAR
2025-01-09,EQ,231.24,241.0,231.24,229.95,237.8,238.1,237.6,292.4,224.05,930189,221013884.64,19144,ACMESOLAR
2025-01-08,EQ,232.5,232.94,228.5,233.04,231.0,229.95,230.18,292.4,224.05,265241,61053733.21,8725,ACMESOLAR
2025-01-07,EQ,229.76,234.95,229.61,228.37,231.5,233.04,232.47,292.4,224.05,407503,94733258.8,10630,ACMESOLAR
2025-01-06,EQ,239.98,240.39,227.0,240.33,229.0,228.37,231.33,292.4,224.05,801669,185454084.39,18852,ACMESOLAR
2025-01-03,EQ,236.1,241.9,236.0,235.78,239.3,240.33,239.88,292.4,224.05,759915,182289389.29,15331,ACMESOLAR
2025-01-02,EQ,235.78,236.88,232.6,234.66,236.15,235.78,234.64,292.4,224.05,440357,103326875.12,8316,ACMESOLAR
2025-01-01,EQ,235.51,237.12,233.8,235.65,236.0,234.66,235.54,292.4,224.05,371473,87496374.03,6524,ACMESOLAR
2024-12-31,EQ,231.2,237.75,228.85,231.95,235.8,235.65,233.39,292.4,224.05,508776,118743542.1,10750,ACMESOLAR
2024-12-30,EQ,239.9,241.0,231.0,239.45,232.4,231.95,234.79,292.4,224.05,540159,126825437.35,11312,ACMESOLAR
2024-12-27,EQ,242.45,244.4,235.7,239.55,239.55,239.45,239.05,292.4,224.05,1099888,262925831.95,17117,ACMESOLAR
2024-12-26,EQ,240.6,246.9,231.25,236.4,240.35,239.55,239.11,292.4,224.05,3003875,718246030.45,39499,ACMESOLAR
2024-12-24,EQ,230.9,246.7,230.5,230.1,236.95,236.4,240.53,292.4,224.05,2434943,585685086.7,43976,ACMESOLAR
2024-12-23,EQ,237.0,237.0,224.05,232.95,229.9,230.1,229.68,292.4,224.05,1388461,318901625.35,36338,ACMESOLAR
2024-12-20,EQ,240.7,246.9,231.5,238.8,233.25,232.95,239.99,292.4,227.85,1785740,428551814.65,37133,ACMESOLAR
2024-12-19,EQ,249.95,250.0,237.2,250.7,238.4,238.8,241.62,292.4,227.85,2258568,545704979.4,65973,ACMESOLAR
2024-12-18,EQ,258.4,259.85,248.0,258.05,251.0,250.7,251.71,292.4,227.85,931862,234556491.2,29823,ACMESOLAR
2024-12-17,EQ,265.0,265.05,257.0,264.1,258.4,258.05,259.88,292.4,227.85,1470862,382248838.7,26390,ACMESOLAR
2024-12-16,EQ,267.95,268.95,262.55,268.0,263.1,264.1,264.84,292.4,227.85,991033,262466412.05,17456,ACMESOLAR
2024-12-13,EQ,271.45,271.45,263.3,271.6,268.0,268.0,266.95,292.4,227.85,897115,239481205.3,18893,ACMESOLAR
2024-12-12,EQ,279.0,279.95,269.75,268.15,270.4,271.6,273.82,292.4,227.85,2381875,652199875.25,41090,ACMESOLAR
2024-12-11,EQ,272.0,272.6,262.5,271.1,268.95,268.15,267.11,292.4,227.85,2765777,738754114.85,44042,ACMESOLAR
2024-12-10,EQ,280.05,281.9,268.5,277.9,269.4,271.1,273.19,292.4,227.85,1320466,360740206.75,26951,ACMESOLAR
2024-12-09,EQ,276.05,286.6,271.7,275.6,277.9,277.9,279.93,292.4,227.85,2584252,723411468.55,37055,ACMESOLAR
2024-12-06,EQ,275.0,281.55,268.1,273.35,274.3,275.6,274.77,292.4,227.85,2428679,667317576.95,38384,ACMESOLAR
2024-12-05,EQ,279.0,283.45,271.6,278.4,272.4,273.35,277.92,292.4,227.85,1833510,509570962.7,25874,ACMESOLAR
2024-12-04,EQ,284.9,292.4,273.6,280.9,276.9,278.4,282.62,292.4,227.85,4710266,1331235138.4,88136,ACMESOLAR
2024-12-03,EQ,264.0,284.5,262.25,260.5,280.9,280.9,274.64,288.0,227.85,3866490,1061896130.3,55597,ACMESOLAR
2024-12-02,EQ,271.0,272.25,258.2,274.3,260.5,260.5,263.72,288.0,227.85,1913099,504525535.6,34481,ACMESOLAR
2024-11-29,EQ,280.15,288.0,265.4,279.1,273.0,274.3,274.62,288.0,227.85,3263219,896160356.65,45349,ACMESOLAR
2024-11-28,EQ,260.95,281.0,259.1,259.45,278.5,279.1,272.66,281.0,227.85,4759110,1297602576.9,53294,ACMESOLAR
2024-11-27,EQ,255.0,273.4,253.1,253.0,258.5,259.45,261.52,276.85,227.85,2311073,604392392.95,53252,ACMESOLAR
2024-11-26,EQ,247.0,257.95,238.8,258.0,256.6,253.0,249.9,276.85,227.85,2487638,621650770.45,52429,ACMESOLAR
2024-11-25,EQ,252.05,268.5,248.7,245.65,259.9,258.0,260.07,276.85,227.85,2911214,757112930.5,61634,ACMESOLAR
2024-11-22,EQ,240.0,248.0,235.8,239.0,245.0,245.65,242.57,276.85,227.85,2397236,581491764.1,53729,ACMESOLAR
2024-11-21,EQ,265.45,267.05,237.75,264.15,237.75,239.0,245.19,276.85,227.85,4049771,992975610.95,76050,ACMESOLAR
2024-11-19,EQ,261.05,276.85,256.05,251.7,263.95,264.15,271.69,276.85,227.85,9862379,2679466082.45,91283,ACMESOLAR
2024-11-18,EQ,236.0,251.7,228.25,228.85,251.7,251.7,243.9,276.1,227.85,3943111,961736140.4,57527,ACMESOLAR
2024-11-14,EQ,252.0,259.9,227.85,253.15,232.8,228.85,243.48,276.1,227.85,5351111,1302898357.75,95463,ACMESOLAR
2024-11-13,EQ,251.0,276.1,248.5,289.0,255.15,253.15,264.81,276.1,248.5,22939368,6074528011.95,275953,ACMESOLAR
