DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,497.55,504.7,480.8,496.1,490.5,486.75,490.53,570.0,420.25,599647,294142003.1,30011,AFCONS
2025-01-23,EQ,495.1,509.75,493.05,497.35,496.5,496.1,499.13,570.0,420.25,870916,434697471.5,27331,AFCONS
2025-01-22,EQ,510.0,513.55,495.1,506.05,497.25,497.35,500.78,570.0,420.25,911915,456669351.0,29737,AFCONS
2025-01-21,EQ,524.1,537.85,503.05,523.7,506.9,506.05,517.72,570.0,420.25,1013586,524758093.0,40138,AFCONS
2025-01-20,EQ,522.0,526.0,516.1,520.2,525.0,523.7,522.19,570.0,420.25,402861,210371198.65,17083,AFCONS
2025-01-17,EQ,524.15,524.15,516.1,524.2,518.1,520.2,520.15,570.0,420.25,468499,243692029.8,19936,AFCONS
2025-01-16,EQ,515.0,530.6,513.2,511.2,524.7,524.2,523.38,570.0,420.25,1127061,589877991.1,34643,AFCONS
2025-01-15,EQ,499.0,512.8,497.35,496.35,510.5,511.2,507.26,570.0,420.25,1540683,781528601.45,54842,AFCONS
2025-01-14,EQ,488.0,501.0,481.95,479.85,497.2,496.35,492.62,570.0,420.25,1208943,595554544.55,52994,AFCONS
2025-01-13,EQ,492.0,495.9,465.55,498.8,482.0,479.85,481.44,570.0,420.25,2138684,1029658353.85,68355,AFCONS
2025-01-10,EQ,512.95,514.1,492.8,515.85,497.7,498.8,503.99,570.0,420.25,1284265,647253878.9,41177,AFCONS
2025-01-09,EQ,528.65,529.35,512.05,527.9,513.0,515.85,519.39,570.0,420.25,913781,474605593.6,24631,AFCONS
2025-01-08,EQ,529.35,534.4,517.0,526.8,523.55,527.9,524.9,570.0,420.25,1358167,712898073.3,40537,AFCONS
2025-01-07,EQ,534.55,537.0,525.3,528.65,528.9,526.8,530.29,570.0,420.25,919475,487587365.8,25158,AFCONS
2025-01-06,EQ,546.75,556.95,523.0,543.25,528.45,528.65,540.84,570.0,420.25,2835908,1533767938.0,83107,AFCONS
2025-01-03,EQ,534.9,570.0,534.9,534.6,543.85,543.25,553.04,570.0,420.25,6192420,3424675366.25,137682,AFCONS
2025-01-02,EQ,540.05,544.0,533.0,539.6,535.3,534.6,537.13,567.8,420.25,774151,415819504.85,29551,AFCONS
2025-01-01,EQ,547.85,548.35,537.0,545.3,539.45,539.6,541.72,567.8,420.25,895342,485028597.2,22915,AFCONS
2024-12-31,EQ,517.9,549.75,513.95,520.8,545.6,545.3,536.73,567.8,420.25,2571693,1380312645.8,33444,AFCONS
2024-12-30,EQ,530.0,534.8,517.4,528.25,520.5,520.8,524.6,567.8,420.25,990213,519467956.1,18909,AFCONS
2024-12-27,EQ,535.95,539.0,525.8,533.2,533.0,528.25,529.77,567.8,420.25,691267,366209477.25,13759,AFCONS
2024-12-26,EQ,538.05,555.6,525.95,533.1,533.95,533.2,539.9,567.8,420.25,2178805,1176347150.7,40395,AFCONS
2024-12-24,EQ,528.8,537.2,518.4,526.95,535.3,533.1,529.81,567.8,420.25,1801707,954565249.25,34348,AFCONS
2024-12-23,EQ,525.3,537.0,520.35,520.25,526.1,526.95,529.22,567.8,420.25,1944584,1029118925.95,34056,AFCONS
2024-12-20,EQ,519.4,531.7,517.0,515.3,518.2,520.25,523.74,567.8,420.25,2640788,1383092245.4,51923,AFCONS
