DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,59.99,61.1,58.49,59.87,58.51,58.92,59.43,126.75,57.2,275830,16391294.62,3458,AGSTRA
2025-01-23,EQ,61.3,62.54,59.5,61.87,59.6,59.87,60.71,126.75,57.2,442687,26873637.26,3149,AGSTRA
2025-01-22,EQ,63.29,63.41,61.02,63.29,61.72,61.87,62.03,126.75,57.2,189847,11777146.63,1959,AGSTRA
2025-01-21,EQ,64.97,65.27,63.0,64.79,63.5,63.29,64.11,126.75,57.2,294991,18910698.53,3039,AGSTRA
2025-01-20,EQ,64.0,67.0,64.0,63.12,64.8,64.79,65.36,126.75,57.2,920377,60153438.94,6422,AGSTRA
2025-01-17,EQ,59.6,63.77,59.6,60.01,63.5,63.12,61.64,126.75,57.2,579848,35741426.19,4177,AGSTRA
2025-01-16,EQ,59.7,61.11,59.41,58.91,60.48,60.01,60.29,126.75,57.2,347591,20957810.99,3471,AGSTRA
2025-01-15,EQ,60.81,61.5,58.23,60.23,59.03,58.91,59.36,126.75,57.2,405870,24091369.96,3785,AGSTRA
2025-01-14,EQ,58.65,60.92,58.18,57.83,60.81,60.23,59.79,126.75,57.2,341475,20417560.66,3516,AGSTRA
2025-01-13,EQ,61.35,62.0,57.2,61.2,58.1,57.83,59.36,126.75,57.2,602274,35752646.45,5582,AGSTRA
2025-01-10,EQ,64.4,64.4,60.5,63.86,61.25,61.2,62.09,126.75,60.5,682327,42365814.8,6324,AGSTRA
2025-01-09,EQ,65.53,66.27,63.65,65.36,63.9,63.86,64.89,126.75,62.51,303229,19677373.59,2373,AGSTRA
2025-01-08,EQ,64.99,66.6,62.98,64.88,66.0,65.36,64.33,126.75,62.51,424048,27278608.28,4155,AGSTRA
2025-01-07,EQ,64.0,65.8,63.03,63.6,65.0,64.88,64.5,126.75,62.51,481495,31055205.99,3841,AGSTRA
