DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,595.0,595.0,565.0,579.0,567.0,567.8,574.48,1175.9,530.05,241679,138839315.75,16440,AKUMS
2025-01-23,EQ,583.5,588.95,568.1,582.15,579.05,579.0,579.66,1175.9,530.05,239017,138549716.15,16771,AKUMS
2025-01-22,EQ,621.15,627.9,572.1,625.65,583.95,582.15,593.14,1175.9,530.05,621098,368398627.65,23002,AKUMS
2025-01-21,EQ,621.35,635.45,616.05,626.5,626.0,625.65,623.69,1175.9,530.05,144609,90191416.2,7703,AKUMS
2025-01-20,EQ,623.5,634.95,621.15,632.7,628.0,626.5,628.64,1175.9,530.05,193541,121667201.4,4028,AKUMS
2025-01-17,EQ,620.0,636.0,618.0,629.35,635.0,632.7,629.77,1175.9,530.05,81850,51546735.35,4289,AKUMS
2025-01-16,EQ,623.0,635.0,605.55,620.3,627.95,629.35,628.06,1175.9,530.05,229402,144078126.45,10230,AKUMS
2025-01-15,EQ,620.0,630.0,614.7,625.35,619.0,620.3,621.53,1175.9,530.05,139392,86636878.8,6713,AKUMS
2025-01-14,EQ,613.1,627.3,605.1,609.25,625.0,625.35,617.86,1175.9,530.05,138472,85556380.3,7648,AKUMS
2025-01-13,EQ,612.0,627.25,595.25,618.25,606.0,609.25,609.83,1175.9,530.05,323738,197423564.15,11764,AKUMS
2025-01-10,EQ,617.95,632.4,605.5,617.4,620.15,618.25,622.98,1175.9,530.05,466097,290370952.75,16987,AKUMS
2025-01-09,EQ,627.95,631.35,601.55,624.35,620.2,617.4,620.65,1175.9,530.05,235946,146440474.0,7780,AKUMS
2025-01-08,EQ,613.0,652.65,613.0,611.6,624.85,624.35,634.58,1175.9,530.05,623149,395440205.05,23400,AKUMS
2025-01-07,EQ,610.6,620.9,610.0,607.6,613.3,611.6,615.21,1175.9,530.05,110518,67992238.8,4493,AKUMS
2025-01-06,EQ,631.05,635.0,602.0,633.85,610.95,607.6,613.91,1175.9,530.05,325113,199589496.4,11893,AKUMS
2025-01-03,EQ,644.0,652.0,631.05,641.25,634.0,633.85,639.8,1175.9,530.05,227251,145394981.35,8412,AKUMS
2025-01-02,EQ,635.85,645.5,623.0,632.9,639.0,641.25,636.49,1175.9,530.05,294181,187244258.65,11000,AKUMS
2025-01-01,EQ,648.0,649.0,625.0,638.4,634.0,632.9,638.99,1175.9,530.05,152433,97403202.75,5757,AKUMS
2024-12-31,EQ,640.0,649.15,632.55,645.2,638.0,638.4,640.19,1175.9,530.05,286894,183665953.9,9463,AKUMS
2024-12-30,EQ,668.4,678.4,632.4,668.4,638.0,645.2,655.4,1175.9,530.05,1013190,664045525.8,36181,AKUMS
2024-12-27,EQ,612.7,668.4,608.05,607.65,668.4,668.4,656.39,1175.9,530.05,2105937,1382317177.4,41149,AKUMS
2024-12-26,EQ,600.0,618.8,584.45,595.9,605.0,607.65,601.74,1175.9,530.05,528280,317887289.45,18625,AKUMS
2024-12-24,EQ,598.0,626.0,577.05,597.9,592.4,595.9,602.26,1175.9,530.05,1381052,831754091.75,39265,AKUMS
2024-12-23,EQ,580.0,604.65,555.6,572.8,598.0,597.9,586.7,1175.9,530.05,595122,349155779.5,20633,AKUMS
2024-12-20,EQ,561.95,589.9,552.35,560.6,570.0,572.8,568.89,1175.9,530.05,553477,314865488.85,23484,AKUMS
2024-12-19,EQ,565.0,566.95,555.55,570.45,560.95,560.6,560.38,1175.9,530.05,216044,121067754.55,12854,AKUMS
2024-12-18,EQ,583.6,591.2,568.9,578.95,571.9,570.45,576.5,1175.9,530.05,245548,141557284.7,9091,AKUMS
2024-12-17,EQ,589.0,589.0,577.0,584.5,580.0,578.95,580.65,1175.9,530.05,191956,111459829.95,9032,AKUMS
2024-12-16,EQ,580.0,594.85,580.0,589.3,584.0,584.5,586.99,1175.9,530.05,122522,71918584.15,5197,AKUMS
2024-12-13,EQ,579.0,592.3,579.0,587.05,589.0,589.3,586.65,1175.9,530.05,193416,113467593.2,7149,AKUMS
2024-12-12,EQ,612.9,613.75,576.0,612.8,579.0,587.05,595.0,1175.9,530.05,446108,265435395.3,11831,AKUMS
2024-12-11,EQ,613.95,615.95,608.0,612.15,610.0,612.8,612.23,1175.9,530.05,93698,57364890.55,3553,AKUMS
2024-12-10,EQ,629.95,629.95,607.95,624.25,611.0,612.15,614.84,1175.9,530.05,168823,103799723.95,6363,AKUMS
2024-12-09,EQ,619.55,631.4,616.05,624.3,624.3,624.25,623.45,1175.9,530.05,186373,116193641.7,8291,AKUMS
2024-12-06,EQ,613.0,635.0,608.75,608.9,622.25,624.3,624.28,1175.9,530.05,381358,238075959.3,12444,AKUMS
2024-12-05,EQ,614.95,617.95,607.0,611.25,608.75,608.9,610.69,1175.9,530.05,187619,114576914.65,10083,AKUMS
2024-12-04,EQ,623.45,627.85,609.0,623.45,611.05,611.25,614.59,1175.9,530.05,273138,167868975.1,14923,AKUMS
2024-12-03,EQ,618.2,633.0,611.1,618.7,623.0,623.45,623.74,1175.9,530.05,274167,171008515.5,10774,AKUMS
2024-12-02,EQ,609.0,625.0,591.15,605.1,617.8,618.7,613.17,1175.9,530.05,484140,296861245.1,16190,AKUMS
