DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,165.1,168.4,158.03,163.38,159.75,162.68,164.14,190.0,128.15,3543042,581547532.37,45536,ARKADE
2025-01-23,EQ,156.0,164.5,155.71,155.54,163.0,163.38,159.6,190.0,128.15,1882718,300477157.49,20801,ARKADE
2025-01-22,EQ,162.0,162.0,151.1,160.54,155.0,155.54,154.98,190.0,128.15,1628150,252323996.01,23994,ARKADE
2025-01-21,EQ,170.0,171.3,159.51,169.6,160.65,160.54,163.67,190.0,128.15,1744600,285533945.76,22293,ARKADE
2025-01-20,EQ,162.74,170.85,160.45,161.71,168.43,169.6,166.48,190.0,128.15,1927648,320914837.02,22942,ARKADE
2025-01-17,EQ,162.37,163.5,160.07,162.3,162.0,161.71,161.8,190.0,128.15,902756,146062602.82,12698,ARKADE
2025-01-16,EQ,162.5,166.38,161.46,160.38,162.1,162.3,164.23,190.0,128.15,788317,129462577.98,12314,ARKADE
2025-01-15,EQ,164.93,165.89,159.44,163.21,160.9,160.38,161.45,190.0,128.15,944853,152543929.63,14588,ARKADE
2025-01-14,EQ,156.2,165.0,156.2,155.42,164.9,163.21,160.59,190.0,128.15,1488533,239050348.06,17757,ARKADE
2025-01-13,EQ,161.0,165.55,153.14,163.71,155.45,155.42,158.54,190.0,128.15,2511300,398144009.99,26943,ARKADE
2025-01-10,EQ,173.6,175.16,162.9,174.13,163.49,163.71,168.29,190.0,128.15,2854435,480373588.06,34465,ARKADE
2025-01-09,EQ,178.5,179.05,173.0,178.8,173.94,174.13,175.28,190.0,128.15,2053963,360023677.53,18742,ARKADE
2025-01-08,EQ,182.88,182.88,176.0,182.54,178.1,178.8,178.94,190.0,128.15,2088008,373631651.23,24090,ARKADE
2025-01-07,EQ,174.9,184.39,173.75,172.29,182.0,182.54,179.98,190.0,128.15,4384989,789193239.67,40691,ARKADE
2025-01-06,EQ,186.1,187.4,170.5,184.88,172.15,172.29,177.4,190.0,128.15,6347395,1126058166.89,55613,ARKADE
2025-01-03,EQ,180.0,186.0,179.2,180.15,185.1,184.88,183.12,190.0,128.15,5730110,1049295636.73,47616,ARKADE
2025-01-02,EQ,178.54,183.99,178.5,177.17,179.15,180.15,181.22,190.0,128.15,6724658,1218669244.23,49992,ARKADE
2025-01-01,EQ,173.0,177.98,172.9,173.68,176.9,177.17,176.15,190.0,128.15,2860569,503880615.3,28274,ARKADE
2024-12-31,EQ,170.8,174.44,168.1,171.73,173.36,173.68,171.57,190.0,128.15,2239209,384191064.97,22587,ARKADE
2024-12-30,EQ,177.59,182.95,170.61,176.29,171.5,171.73,177.9,190.0,128.15,7785422,1385010543.65,63077,ARKADE
2024-12-27,EQ,174.0,179.9,172.11,171.75,175.0,176.29,176.12,190.0,128.15,6143495,1081972741.01,50980,ARKADE
2024-12-26,EQ,166.69,178.4,165.2,163.53,172.69,171.75,172.74,190.0,128.15,8999910,1554646908.26,91451,ARKADE
2024-12-24,EQ,163.99,168.99,161.31,162.92,165.65,163.53,165.33,190.0,128.15,2603419,430421156.43,23913,ARKADE
2024-12-23,EQ,163.1,164.89,161.01,162.03,162.3,162.92,162.66,190.0,128.15,1653830,269004264.91,16787,ARKADE
2024-12-20,EQ,163.99,166.49,158.01,163.78,160.99,162.03,161.39,190.0,128.15,4816804,777363768.07,30128,ARKADE
2024-12-19,EQ,163.01,167.39,162.22,168.43,164.2,163.78,164.27,190.0,128.15,1114294,183048910.92,14175,ARKADE
2024-12-18,EQ,168.0,170.8,165.5,168.35,168.5,168.43,167.9,190.0,128.15,1558476,261668771.01,21708,ARKADE
2024-12-17,EQ,175.0,175.0,167.5,173.31,167.8,168.35,171.14,190.0,128.15,1873068,320557898.86,23394,ARKADE
2024-12-16,EQ,165.24,174.5,165.24,164.28,174.5,173.31,170.69,190.0,128.15,3672006,626770174.53,43219,ARKADE
2024-12-13,EQ,160.99,166.24,159.3,161.57,163.8,164.28,163.45,190.0,128.15,1549461,253263709.26,17302,ARKADE
2024-12-12,EQ,168.33,168.8,160.0,168.33,162.08,161.57,163.82,190.0,128.15,1033538,169311530.79,12677,ARKADE
2024-12-11,EQ,165.85,169.1,163.3,165.55,167.65,168.33,166.72,190.0,128.15,1472478,245494333.6,14239,ARKADE
2024-12-10,EQ,169.39,169.39,164.52,168.97,165.0,165.55,166.31,190.0,128.15,1336816,222324184.46,15036,ARKADE
2024-12-09,EQ,173.0,175.55,168.01,173.17,168.73,168.97,171.67,190.0,128.15,2550673,437873475.63,27920,ARKADE
2024-12-06,EQ,168.9,182.2,168.38,166.68,173.8,173.17,176.2,190.0,128.15,12877015,2268938590.44,104904,ARKADE
2024-12-05,EQ,165.0,169.99,162.5,163.34,166.3,166.68,166.42,190.0,128.15,3665012,609931272.52,31703,ARKADE
2024-12-04,EQ,169.95,171.9,163.0,169.38,163.85,163.34,167.82,190.0,128.15,2816208,472626375.54,28691,ARKADE
2024-12-03,EQ,157.0,174.19,157.0,154.57,168.64,169.38,168.87,190.0,128.15,10981429,1854388647.68,96368,ARKADE
2024-12-02,EQ,147.38,157.01,146.75,148.47,153.0,154.57,154.04,190.0,128.15,2185136,336598278.55,31584,ARKADE
2024-11-29,EQ,149.0,151.45,145.06,148.42,149.01,148.47,148.51,190.0,128.15,760053,112876418.44,11300,ARKADE
2024-11-28,EQ,148.45,151.8,146.08,147.75,148.99,148.42,149.0,190.0,128.15,783718,116775298.17,14623,ARKADE
2024-11-27,EQ,144.0,149.0,141.8,142.48,148.0,147.75,146.16,190.0,128.15,1188705,173737355.12,16242,ARKADE
2024-11-26,EQ,142.0,144.9,141.0,140.47,142.51,142.48,142.67,190.0,128.15,788375,112476083.95,10285,ARKADE
2024-11-25,EQ,140.0,145.8,139.0,133.96,140.5,140.47,141.2,190.0,128.15,2072567,292637180.66,21395,ARKADE
2024-11-22,EQ,130.8,136.37,129.63,129.03,134.0,133.96,133.84,190.0,128.15,943976,126341507.39,11778,ARKADE
2024-11-21,EQ,131.0,131.5,128.15,132.33,129.19,129.03,129.33,190.0,128.15,446534,57748047.0,9209,ARKADE
2024-11-19,EQ,132.45,134.8,131.0,130.82,131.9,132.33,133.25,190.0,130.07,499769,66594049.93,9369,ARKADE
2024-11-18,EQ,134.8,134.8,130.07,132.63,130.5,130.82,131.88,190.0,130.07,369144,48683033.32,8724,ARKADE
