DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,19.1,19.35,18.75,19.16,18.97,18.81,18.89,25.0,16.73,18687,352914.61,138,ASTRON
2025-01-23,EQ,18.74,19.49,18.74,19.19,19.19,19.16,19.15,25.0,16.73,23290,445975.97,104,ASTRON
2025-01-22,EQ,19.5,19.68,18.66,19.4,19.42,19.19,19.13,25.0,16.73,24749,473501.99,252,ASTRON
2025-01-21,EQ,19.0,19.83,19.0,18.89,19.49,19.4,19.54,25.0,16.73,28779,562293.34,278,ASTRON
2025-01-20,EQ,19.8,19.8,18.8,19.22,18.83,18.89,18.98,25.0,16.73,32412,615142.93,238,ASTRON
2025-01-17,EQ,19.16,19.84,18.89,19.23,19.28,19.22,19.1,25.0,16.73,32692,624507.51,259,ASTRON
2025-01-16,EQ,19.33,20.06,19.1,19.33,19.44,19.23,19.57,25.0,16.73,24107,471718.13,221,ASTRON
2025-01-15,EQ,18.83,19.66,18.46,18.83,19.65,19.33,19.05,25.0,16.73,19473,371054.17,173,ASTRON
2025-01-14,EQ,19.4,19.4,18.28,18.79,18.75,18.83,18.67,25.0,16.73,47094,879356.73,322,ASTRON
2025-01-13,EQ,19.3,19.43,18.51,19.35,19.24,18.79,18.96,25.0,16.73,61589,1167456.79,663,ASTRON
2025-01-10,EQ,20.37,20.57,19.35,20.37,19.35,19.35,19.76,25.0,16.73,51994,1027516.61,281,ASTRON
2025-01-09,EQ,21.49,21.49,20.11,20.48,20.2,20.37,20.63,25.0,16.73,39281,810541.19,281,ASTRON
2025-01-08,EQ,21.54,21.54,20.2,20.92,20.2,20.48,20.68,25.0,16.73,32862,679458.99,245,ASTRON
2025-01-07,EQ,22.17,22.17,20.51,21.27,20.72,20.92,20.99,25.0,16.73,51257,1075877.96,612,ASTRON
2025-01-06,EQ,22.36,22.88,21.23,22.35,21.23,21.27,21.93,25.0,16.73,109439,2400068.79,1080,ASTRON
2025-01-03,EQ,23.5,23.5,22.11,22.46,22.42,22.35,22.71,25.0,16.73,35816,813501.45,325,ASTRON
2025-01-02,EQ,23.6,23.6,22.17,22.99,22.25,22.46,22.6,25.0,16.73,54864,1239710.27,575,ASTRON
2025-01-01,EQ,23.58,23.58,22.76,23.08,23.25,22.99,23.12,25.0,16.73,32584,753376.75,343,ASTRON
2024-12-31,EQ,24.0,24.0,22.81,22.93,22.81,23.08,23.16,25.0,16.73,70949,1643347.28,596,ASTRON
2024-12-30,EQ,23.2,23.34,22.5,23.17,22.85,22.93,22.84,25.0,16.73,134406,3070135.31,686,ASTRON
2024-12-27,EQ,22.3,23.32,22.3,22.21,23.25,23.17,22.96,25.0,16.73,265289,6090260.12,1119,ASTRON
2024-12-26,EQ,22.59,22.64,20.8,21.6,22.1,22.21,21.92,25.0,16.73,438770,9616495.7,2323,ASTRON
2024-12-24,EQ,21.6,21.6,20.75,20.58,21.6,21.6,21.58,25.0,16.73,189749,4094227.83,220,ASTRON
2024-12-23,EQ,20.5,20.58,20.5,19.6,20.58,20.58,20.57,25.0,16.73,80628,1658360.66,153,ASTRON
2024-12-20,EQ,18.68,19.6,18.68,18.67,19.6,19.6,19.39,25.0,16.73,92017,1784302.9,448,ASTRON
2024-12-19,EQ,18.71,19.91,18.42,18.97,18.7,18.67,19.15,25.0,16.73,121552,2327929.23,856,ASTRON
2024-12-18,EQ,19.53,19.89,18.91,19.53,18.92,18.97,19.28,25.0,16.73,71937,1387154.1,481,ASTRON
2024-12-17,EQ,20.1,20.47,19.06,20.01,19.35,19.53,19.74,25.0,16.73,110285,2176982.16,494,ASTRON
2024-12-16,EQ,20.0,20.46,19.72,19.72,20.18,20.01,20.12,25.0,16.73,85613,1722758.68,800,ASTRON
2024-12-13,EQ,20.18,20.3,19.7,19.74,19.82,19.72,19.87,25.0,16.73,61425,1220427.77,284,ASTRON
2024-12-12,EQ,19.75,19.95,19.38,19.36,19.78,19.74,19.74,25.0,16.73,78171,1542873.24,418,ASTRON
2024-12-11,EQ,19.65,20.0,19.15,19.65,19.17,19.36,19.66,25.0,16.73,48863,960638.73,343,ASTRON
2024-12-10,EQ,20.12,20.16,19.38,19.72,19.44,19.65,19.7,25.0,16.73,44764,882018.49,368,ASTRON
2024-12-09,EQ,19.5,20.3,19.5,19.71,19.69,19.72,19.9,25.0,16.73,51618,1027025.72,376,ASTRON
2024-12-06,EQ,19.18,20.0,18.9,19.12,19.55,19.71,19.37,25.0,16.73,62527,1211311.59,495,ASTRON
2024-12-05,EQ,19.37,19.37,18.8,19.37,19.3,19.12,19.06,25.0,16.73,50775,967576.9,430,ASTRON
2024-12-04,EQ,19.3,19.76,19.12,19.04,19.4,19.37,19.26,25.0,16.73,64303,1238752.0,821,ASTRON
2024-12-03,EQ,18.89,19.42,18.6,18.52,19.04,19.04,19.03,25.0,16.73,132177,2515416.86,701,ASTRON
2024-12-02,EQ,18.11,18.86,18.01,17.98,18.5,18.52,18.42,25.0,16.73,141065,2598759.15,609,ASTRON
2024-11-29,EQ,18.19,18.65,17.5,17.8,17.8,17.98,18.1,25.0,16.73,109939,1989470.84,498,ASTRON
2024-11-28,EQ,17.37,18.0,17.32,17.34,17.71,17.8,17.65,25.0,16.73,69171,1220634.61,668,ASTRON
2024-11-27,EQ,17.54,17.54,16.73,17.08,17.5,17.34,17.08,25.0,16.73,226156,3862453.5,964,ASTRON
