DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,721.0,734.6,685.25,716.5,690.9,692.65,712.0,1073.75,425.0,650782,463358187.7,25624,AVALON
2025-01-23,EQ,735.3,750.05,714.0,736.4,715.4,716.5,731.76,1073.75,425.0,613123,448657746.1,28967,AVALON
2025-01-22,EQ,773.9,780.55,724.05,777.25,735.3,736.4,744.46,1073.75,425.0,1088691,810481542.65,27968,AVALON
2025-01-21,EQ,835.4,836.85,765.0,832.65,774.0,777.25,795.73,1073.75,425.0,865563,688750776.35,30010,AVALON
2025-01-20,EQ,820.0,856.8,796.4,822.6,829.9,832.65,824.51,1073.75,425.0,1065742,878712920.65,35323,AVALON
2025-01-17,EQ,803.0,832.8,790.0,805.85,817.0,822.6,811.86,1073.75,425.0,644073,522897422.6,22375,AVALON
2025-01-16,EQ,810.5,828.9,801.45,807.3,805.5,805.85,813.65,1073.75,425.0,508199,413494123.3,25145,AVALON
2025-01-15,EQ,840.0,857.25,793.95,837.9,805.0,807.3,816.69,1073.75,425.0,605276,494325242.3,24436,AVALON
2025-01-14,EQ,863.0,866.8,835.0,846.3,844.0,837.9,844.89,1073.75,425.0,670025,566094474.6,17918,AVALON
2025-01-13,EQ,885.15,904.45,833.0,913.7,846.95,846.3,864.28,1073.75,425.0,585764,506265582.5,29818,AVALON
2025-01-10,EQ,930.85,936.65,900.2,930.85,910.2,913.7,919.39,1073.75,425.0,766359,704586515.8,18808,AVALON
2025-01-09,EQ,938.2,957.8,926.1,938.3,932.95,930.85,945.29,1073.75,425.0,1252305,1183789384.35,25484,AVALON
2025-01-08,EQ,948.05,954.9,907.0,947.65,938.0,938.3,930.0,1073.75,425.0,313070,291154757.55,13255,AVALON
2025-01-07,EQ,930.75,954.95,927.05,920.3,948.0,947.65,944.19,1073.75,425.0,389603,367859060.85,17503,AVALON
