DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,696.0,698.05,670.65,692.1,673.0,675.45,683.5,946.0,371.4,188723,128991932.45,12001,AWFIS
2025-01-23,EQ,682.0,698.5,676.25,679.65,692.5,692.1,691.84,946.0,371.4,180780,125070688.2,13997,AWFIS
2025-01-22,EQ,701.35,704.4,668.65,701.45,681.0,679.65,682.27,946.0,371.4,285425,194735876.05,14189,AWFIS
2025-01-21,EQ,712.35,712.35,689.75,706.3,701.5,701.45,700.36,946.0,371.4,120283,84241275.05,12464,AWFIS
2025-01-20,EQ,711.0,713.7,696.0,701.05,710.1,706.3,706.46,946.0,371.4,313730,221636879.0,15451,AWFIS
2025-01-17,EQ,708.1,711.25,696.0,710.75,702.0,701.05,701.94,946.0,371.4,282248,198121515.15,16936,AWFIS
2025-01-16,EQ,690.0,724.0,688.9,688.85,710.95,710.75,711.94,946.0,371.4,209896,149433875.8,15854,AWFIS
2025-01-15,EQ,710.25,710.25,685.0,710.0,685.25,688.85,699.58,946.0,371.4,754387,527756210.4,17683,AWFIS
2025-01-14,EQ,679.0,717.85,671.4,682.15,709.5,710.0,693.95,946.0,371.4,494577,343210267.95,57131,AWFIS
2025-01-13,EQ,700.7,708.6,673.85,712.65,681.1,682.15,692.86,946.0,371.4,415498,287883544.15,33742,AWFIS
2025-01-10,EQ,738.5,742.2,698.05,740.45,711.0,712.65,713.18,946.0,371.4,414255,295437861.7,31428,AWFIS
2025-01-09,EQ,756.65,786.95,739.5,760.55,740.15,740.45,758.04,946.0,371.4,346831,262911860.95,25207,AWFIS
2025-01-08,EQ,754.3,772.0,725.8,754.05,760.0,760.55,746.78,946.0,371.4,484035,361466748.85,39077,AWFIS
2025-01-07,EQ,734.9,763.0,732.4,728.2,749.0,754.05,752.91,946.0,371.4,525300,395502203.05,21704,AWFIS
2025-01-06,EQ,751.9,752.4,718.9,751.05,733.0,728.2,731.92,946.0,371.4,534685,391349300.1,28574,AWFIS
2025-01-03,EQ,757.5,772.8,745.5,757.5,746.35,751.05,763.65,946.0,371.4,280044,213854310.85,22503,AWFIS
2025-01-02,EQ,726.05,764.5,723.85,720.5,757.05,757.5,745.52,946.0,371.4,399410,297769878.1,25302,AWFIS
2025-01-01,EQ,726.0,736.4,715.55,724.85,723.5,720.5,725.71,946.0,371.4,106003,76927441.6,8504,AWFIS
2024-12-31,EQ,716.9,730.0,703.0,716.15,724.0,724.85,717.37,946.0,371.4,252696,181276986.85,14212,AWFIS
2024-12-30,EQ,730.3,731.95,707.0,725.45,712.0,716.15,713.41,946.0,371.4,247991,176918279.85,20834,AWFIS
2024-12-27,EQ,727.0,743.5,720.75,724.8,727.0,725.45,734.84,946.0,371.4,354050,260168544.55,22057,AWFIS
2024-12-26,EQ,730.5,730.7,713.3,729.25,726.6,724.8,719.95,946.0,371.4,175471,126330773.45,14399,AWFIS
2024-12-24,EQ,710.55,735.0,702.8,702.8,728.0,729.25,724.07,946.0,371.4,348852,252594261.45,23055,AWFIS
2024-12-23,EQ,720.0,723.95,690.25,714.65,704.75,702.8,700.45,946.0,371.4,322085,225605028.9,22974,AWFIS
2024-12-20,EQ,728.85,748.9,701.0,722.7,712.4,714.65,717.6,946.0,371.4,652539,468264522.85,27012,AWFIS
2024-12-19,EQ,723.05,755.8,705.75,729.7,725.0,722.7,725.16,946.0,371.4,847372,614483746.8,30230,AWFIS
2024-12-18,EQ,733.5,735.0,706.95,727.55,728.65,729.7,723.36,946.0,371.4,172363,124681356.35,10325,AWFIS
2024-12-17,EQ,726.7,745.5,720.55,723.7,729.0,727.55,731.68,946.0,371.4,366297,268011130.65,12967,AWFIS
2024-12-16,EQ,730.8,739.6,721.0,726.85,723.0,723.7,729.63,946.0,371.4,177081,129202980.85,10232,AWFIS
2024-12-13,EQ,742.0,747.7,720.55,756.35,729.0,726.85,730.62,946.0,371.4,616039,450091690.4,28494,AWFIS
2024-12-12,EQ,795.0,807.8,747.0,777.4,749.95,756.35,779.07,946.0,371.4,1306232,1017642614.75,44286,AWFIS
2024-12-11,EQ,717.0,795.0,700.0,717.05,784.5,777.4,751.51,946.0,371.4,2753587,2069351077.65,64959,AWFIS
2024-12-10,EQ,724.4,725.0,713.0,717.25,718.0,717.05,717.31,946.0,371.4,83584,59955480.2,4184,AWFIS
2024-12-09,EQ,728.0,728.0,715.0,715.65,718.05,717.25,718.95,946.0,371.4,122981,88417098.4,7253,AWFIS
2024-12-06,EQ,725.9,725.95,713.5,719.75,716.0,715.65,717.1,946.0,371.4,71217,51069948.45,5219,AWFIS
2024-12-05,EQ,722.1,732.0,713.0,721.8,719.4,719.75,720.2,946.0,371.4,110676,79708616.5,7910,AWFIS
2024-12-04,EQ,740.0,740.0,715.0,728.95,721.0,721.8,720.8,946.0,371.4,610676,440176181.9,11719,AWFIS
2024-12-03,EQ,704.85,740.0,697.65,698.4,729.0,728.95,718.06,946.0,371.4,421828,302896933.4,16761,AWFIS
2024-12-02,EQ,699.3,714.9,696.5,693.85,701.15,698.4,702.3,946.0,371.4,188474,132365110.15,9578,AWFIS
2024-11-29,EQ,700.0,715.3,678.5,721.85,699.5,693.85,692.47,946.0,371.4,933910,646705891.35,22678,AWFIS
2024-11-28,EQ,728.0,744.1,719.95,720.25,725.0,721.85,728.43,946.0,371.4,162931,118683706.95,12476,AWFIS
2024-11-27,EQ,729.0,729.4,715.6,719.45,721.25,720.25,721.77,946.0,371.4,130544,94223147.4,7266,AWFIS
2024-11-26,EQ,705.9,730.0,701.0,701.5,719.0,719.45,716.75,946.0,371.4,186673,133797389.2,8667,AWFIS
2024-11-25,EQ,698.5,711.0,685.0,680.85,700.1,701.5,700.76,946.0,371.4,156571,109719264.2,9305,AWFIS
2024-11-22,EQ,685.0,685.6,666.1,675.45,677.0,680.85,676.14,946.0,371.4,70121,47411851.65,5747,AWFIS
2024-11-21,EQ,669.85,685.0,664.7,670.35,676.0,675.45,677.15,946.0,371.4,125594,85045813.65,8325,AWFIS
2024-11-19,EQ,686.85,701.05,663.95,685.85,667.95,670.35,685.01,946.0,371.4,138970,95196217.2,9967,AWFIS
2024-11-18,EQ,717.85,720.05,683.65,714.05,686.0,685.85,696.77,946.0,371.4,113049,78769091.7,9492,AWFIS
2024-11-14,EQ,724.0,737.05,708.25,728.25,717.85,714.05,717.31,946.0,371.4,183480,131612492.5,8144,AWFIS
2024-11-13,EQ,768.7,777.75,721.6,764.45,732.3,728.25,738.45,946.0,371.4,243193,179585161.5,20611,AWFIS
2024-11-12,EQ,810.0,810.0,728.0,777.45,764.0,764.45,773.09,946.0,371.4,966729,747367084.3,59846,AWFIS
2024-11-11,EQ,791.25,804.7,768.5,792.85,776.0,777.45,788.0,946.0,371.4,177624,139968580.1,11703,AWFIS
2024-11-08,EQ,787.5,798.0,772.5,777.5,792.0,792.85,789.7,946.0,371.4,244581,193145228.15,15604,AWFIS
2024-11-07,EQ,748.9,780.0,743.3,748.9,777.0,777.5,771.86,946.0,371.4,403667,311573746.85,19881,AWFIS
2024-11-06,EQ,747.95,755.0,728.8,728.8,750.0,748.9,745.95,946.0,371.4,221063,164902039.2,12729,AWFIS
2024-11-05,EQ,707.05,749.0,707.05,717.8,726.7,728.8,728.09,946.0,371.4,214857,156435284.8,12365,AWFIS
2024-11-04,EQ,698.0,744.0,673.6,686.25,714.0,717.8,711.42,946.0,371.4,358740,255214164.65,21754,AWFIS
2024-11-01,EQ,680.1,692.95,680.1,679.45,690.0,686.25,687.98,946.0,371.4,13191,9075165.35,1052,AWFIS
2024-10-31,EQ,687.0,694.4,677.95,685.65,680.1,679.45,684.37,946.0,371.4,97975,67051557.95,7337,AWFIS
2024-10-30,EQ,683.9,701.9,681.3,680.55,687.5,685.65,690.76,946.0,371.4,63120,43600941.75,5895,AWFIS
2024-10-29,EQ,702.05,705.05,678.0,702.2,678.0,680.55,687.55,946.0,371.4,111571,76711008.05,7348,AWFIS
2024-10-28,EQ,682.65,712.5,675.0,682.65,702.2,702.2,696.98,946.0,371.4,73649,51331631.65,8290,AWFIS
