DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,110.5,111.49,108.55,110.02,109.13,109.14,109.69,188.5,108.55,8652288,949109273.75,73408,BAJAJHFL
2025-01-23,EQ,111.0,112.25,109.64,111.1,110.05,110.02,110.68,188.5,109.62,10655216,1179268628.04,65578,BAJAJHFL
2025-01-22,EQ,113.01,113.51,109.62,113.21,111.17,111.1,110.83,188.5,109.62,11634423,1289478123.62,99842,BAJAJHFL
2025-01-21,EQ,114.5,115.2,112.82,114.23,113.18,113.21,113.8,188.5,111.52,6500213,739710267.85,47943,BAJAJHFL
2025-01-20,EQ,114.0,116.97,112.86,113.42,114.19,114.23,114.32,188.5,111.52,12809265,1464411808.42,92722,BAJAJHFL
2025-01-17,EQ,114.25,114.76,111.93,113.71,113.5,113.42,112.9,188.5,111.52,13610730,1536632426.19,94575,BAJAJHFL
2025-01-16,EQ,115.5,118.49,113.2,114.07,114.0,113.71,115.56,188.5,111.52,14127582,1632576820.36,83965,BAJAJHFL
2025-01-15,EQ,116.15,116.55,113.5,115.85,114.05,114.07,114.6,188.5,111.52,8490247,972993839.16,78007,BAJAJHFL
2025-01-14,EQ,112.44,116.45,111.78,112.12,116.0,115.85,114.19,188.5,111.52,14891431,1700381242.66,90938,BAJAJHFL
2025-01-13,EQ,116.05,117.28,111.52,118.51,112.22,112.12,114.15,188.5,111.52,16238333,1853553951.32,161499,BAJAJHFL
2025-01-10,EQ,120.2,120.8,117.32,120.9,118.5,118.51,118.86,188.5,117.32,8943538,1063063617.27,82242,BAJAJHFL
2025-01-09,EQ,123.45,123.45,120.6,123.46,120.96,120.9,121.74,188.5,120.5,5654550,688373551.23,47876,BAJAJHFL
2025-01-08,EQ,121.95,124.56,120.88,120.78,123.1,123.46,122.93,188.5,120.5,16675682,2049910396.51,84186,BAJAJHFL
2025-01-07,EQ,123.0,123.25,120.5,122.78,121.25,120.78,121.67,188.5,120.5,12970931,1578112250.84,123079,BAJAJHFL
2025-01-06,EQ,127.67,128.25,122.45,126.08,122.59,122.78,124.39,188.5,122.45,14603306,1816435386.89,124538,BAJAJHFL
2025-01-03,EQ,126.59,128.2,126.0,126.38,126.1,126.08,126.65,188.5,124.89,10182517,1289573221.99,84623,BAJAJHFL
2025-01-02,EQ,127.5,127.88,125.94,127.08,126.5,126.38,126.61,188.5,124.89,9894411,1252743875.57,76732,BAJAJHFL
