DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,398.4,404.75,393.0,394.9,393.25,396.45,397.74,503.95,325.1,42317,16831285.65,3889,BANSALWIRE
2025-01-23,EQ,396.9,407.3,390.65,395.6,393.15,394.9,395.06,503.95,325.1,80199,31683502.9,3799,BANSALWIRE
2025-01-22,EQ,399.25,407.3,377.15,399.25,396.0,395.6,391.16,503.95,325.1,361956,141582770.15,6826,BANSALWIRE
2025-01-21,EQ,404.7,409.7,394.1,400.75,400.0,399.25,398.46,503.95,325.1,55080,21947206.35,8737,BANSALWIRE
2025-01-20,EQ,406.95,407.35,396.0,404.3,402.85,400.75,400.01,503.95,325.1,52894,21158384.75,6422,BANSALWIRE
2025-01-17,EQ,400.0,407.95,395.3,403.5,407.0,404.3,402.52,503.95,325.1,43621,17558443.7,4915,BANSALWIRE
2025-01-16,EQ,399.9,408.05,392.05,392.55,404.0,403.5,399.07,503.95,325.1,69849,27874633.65,6458,BANSALWIRE
2025-01-15,EQ,406.9,406.9,387.9,397.8,391.15,392.55,392.82,503.95,325.1,65237,25626552.2,6113,BANSALWIRE
2025-01-14,EQ,394.5,404.55,392.9,393.3,395.55,397.8,398.63,503.95,325.1,84538,33699090.8,9219,BANSALWIRE
2025-01-13,EQ,412.0,418.05,387.2,420.75,395.0,393.3,401.63,503.95,325.1,148878,59793507.5,10946,BANSALWIRE
2025-01-10,EQ,431.4,439.7,418.1,438.35,420.35,420.75,429.31,503.95,325.1,66126,28388774.9,5879,BANSALWIRE
2025-01-09,EQ,402.4,444.45,402.4,444.3,440.9,438.35,435.38,503.95,325.1,96508,42017880.15,4709,BANSALWIRE
2025-01-08,EQ,439.1,448.7,436.2,442.25,441.2,444.3,441.3,503.95,325.1,58293,25724938.7,5599,BANSALWIRE
2025-01-07,EQ,441.95,444.9,437.7,435.65,440.4,442.25,442.29,503.95,325.1,50960,22538947.35,6018,BANSALWIRE
2025-01-06,EQ,446.0,455.7,430.1,452.8,437.0,435.65,440.86,503.95,325.1,99580,43900550.0,5518,BANSALWIRE
2025-01-03,EQ,451.0,458.95,437.2,455.55,453.5,452.8,453.31,503.95,325.1,62241,28214754.35,4338,BANSALWIRE
2025-01-02,EQ,463.5,464.25,451.35,462.8,456.85,455.55,456.55,503.95,325.1,64390,29397164.45,4158,BANSALWIRE
2025-01-01,EQ,459.65,466.7,451.35,451.1,465.9,462.8,458.64,503.95,325.1,47190,21643189.95,2700,BANSALWIRE
2024-12-31,EQ,448.45,461.0,438.2,451.3,460.0,451.1,445.91,503.95,325.1,87349,38950007.5,4564,BANSALWIRE
2024-12-30,EQ,452.0,456.0,446.5,454.3,450.2,451.3,450.1,503.95,325.1,40636,18290458.8,2985,BANSALWIRE
2024-12-27,EQ,453.0,461.0,446.15,450.45,452.05,454.3,454.79,503.95,325.1,85708,38979323.9,4677,BANSALWIRE
2024-12-26,EQ,451.0,461.5,448.0,450.5,448.75,450.45,453.77,503.95,325.1,93830,42577423.5,4441,BANSALWIRE
2024-12-24,EQ,441.75,453.0,438.75,438.95,449.9,450.5,448.09,503.95,325.1,62380,27952112.5,3744,BANSALWIRE
2024-12-23,EQ,453.85,453.85,435.1,441.9,441.75,438.95,441.41,503.95,325.1,76940,33961926.65,5983,BANSALWIRE
2024-12-20,EQ,448.0,459.7,439.35,443.25,442.5,441.9,442.87,503.95,325.1,119002,52702256.95,5296,BANSALWIRE
2024-12-19,EQ,444.0,448.0,432.0,448.0,446.85,443.25,440.05,503.95,325.1,133086,58564086.0,7895,BANSALWIRE
2024-12-18,EQ,459.95,460.4,442.85,459.4,447.0,448.0,448.01,503.95,325.1,118033,52880193.05,7288,BANSALWIRE
2024-12-17,EQ,469.55,472.95,457.0,469.55,459.0,459.4,462.98,503.95,325.1,150856,69842821.15,7828,BANSALWIRE
2024-12-16,EQ,462.35,473.45,462.35,462.35,471.25,469.55,468.26,503.95,325.1,117023,54797765.1,6022,BANSALWIRE
2024-12-13,EQ,466.85,468.65,460.1,468.35,463.0,462.35,464.25,503.95,325.1,133543,61996697.0,8367,BANSALWIRE
2024-12-12,EQ,474.5,479.95,465.25,474.5,472.5,468.35,472.39,503.95,325.1,189983,89745564.9,8721,BANSALWIRE
2024-12-11,EQ,467.3,481.95,467.05,467.3,474.7,474.5,474.77,503.95,325.1,290611,137974108.55,11533,BANSALWIRE
2024-12-10,EQ,474.0,474.95,456.3,478.6,468.5,467.3,463.95,503.95,325.1,229076,106280731.1,8916,BANSALWIRE
2024-12-09,EQ,497.0,503.95,471.25,488.25,476.0,478.6,482.49,503.95,325.1,336435,162325302.15,14409,BANSALWIRE
2024-12-06,EQ,466.95,496.95,466.95,466.95,489.0,488.25,484.69,496.95,325.1,394542,191232250.45,12897,BANSALWIRE
2024-12-05,EQ,470.0,476.65,460.35,469.65,470.0,466.95,467.77,478.85,325.1,152382,71279583.45,5436,BANSALWIRE
2024-12-04,EQ,471.0,478.85,463.45,467.45,468.75,469.65,472.07,478.85,325.1,178381,84207543.4,7215,BANSALWIRE
2024-12-03,EQ,475.0,475.0,452.55,469.45,467.0,467.45,465.55,475.0,325.1,250068,116418450.35,8773,BANSALWIRE
2024-12-02,EQ,455.0,474.55,445.05,455.05,469.9,469.45,467.51,474.55,325.1,407541,190529037.65,15811,BANSALWIRE
2024-11-29,EQ,453.9,461.0,447.35,451.05,455.5,455.05,455.2,468.65,325.1,188854,85966233.9,6885,BANSALWIRE
2024-11-28,EQ,449.95,465.0,446.6,444.6,453.0,451.05,454.35,468.65,325.1,428282,194588216.55,17230,BANSALWIRE
2024-11-27,EQ,428.0,448.0,422.05,421.0,447.0,444.6,440.97,468.65,325.1,537563,237046844.4,16256,BANSALWIRE
2024-11-26,EQ,417.35,424.9,411.0,418.25,422.0,421.0,420.37,468.65,325.1,104277,43834982.4,7220,BANSALWIRE
2024-11-25,EQ,421.0,423.0,412.35,413.3,418.7,418.25,418.11,468.65,325.1,81005,33868627.1,4163,BANSALWIRE
2024-11-22,EQ,416.0,419.9,408.0,413.1,414.0,413.3,414.19,468.65,325.1,230340,95405417.8,4768,BANSALWIRE
2024-11-21,EQ,411.7,418.0,406.75,413.45,413.95,413.1,412.23,468.65,325.1,185492,76464990.1,4391,BANSALWIRE
