DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,385.3,388.0,360.95,379.95,360.95,361.65,368.24,550.7,248.35,90082,33172134.3,2882,BLACKBUCK
2025-01-23,EQ,394.6,394.6,378.8,398.7,378.8,379.95,380.16,550.7,248.35,149544,56850397.65,3204,BLACKBUCK
2025-01-22,EQ,416.7,416.7,395.9,416.7,395.9,398.7,400.17,550.7,248.35,85616,34260540.65,11114,BLACKBUCK
2025-01-21,EQ,428.0,438.15,407.0,428.4,412.8,416.7,418.17,550.7,248.35,79621,33294739.35,4466,BLACKBUCK
2025-01-20,EQ,442.55,442.55,414.0,421.5,426.55,428.4,429.13,550.7,248.35,161194,69173489.95,7190,BLACKBUCK
2025-01-17,EQ,400.0,424.85,399.1,404.65,424.85,421.5,411.64,550.7,248.35,50922,20961709.15,2798,BLACKBUCK
2025-01-16,EQ,402.95,407.3,398.2,394.6,402.8,404.65,401.59,550.7,248.35,192306,77227412.95,4742,BLACKBUCK
2025-01-15,EQ,400.0,403.0,388.0,394.1,394.65,394.6,393.29,550.7,248.35,66711,26237031.95,2852,BLACKBUCK
2025-01-14,EQ,385.55,398.45,366.3,383.35,395.0,394.1,381.27,550.7,248.35,125557,47870987.4,6174,BLACKBUCK
2025-01-13,EQ,390.0,404.65,383.35,403.5,383.35,383.35,391.09,550.7,248.35,63137,24692535.55,3012,BLACKBUCK
2025-01-10,EQ,408.75,408.75,393.0,408.85,400.4,403.5,400.38,550.7,248.35,123230,49339279.8,6234,BLACKBUCK
2025-01-09,EQ,420.0,423.7,404.5,421.4,408.0,408.85,411.82,550.7,248.35,85267,35115009.75,2715,BLACKBUCK
2025-01-08,EQ,420.0,442.0,414.0,425.1,421.8,421.4,427.51,550.7,248.35,173126,74012635.55,6520,BLACKBUCK
2025-01-07,EQ,424.6,439.0,415.0,432.3,428.7,425.1,426.35,550.7,248.35,272415,116144482.05,5805,BLACKBUCK
2025-01-06,EQ,453.4,453.4,430.75,453.4,430.75,432.3,435.93,550.7,248.35,178687,77894981.5,12990,BLACKBUCK
2025-01-03,EQ,451.25,461.45,440.0,451.3,454.0,453.4,450.61,550.7,248.35,261161,117682617.45,11921,BLACKBUCK
2025-01-02,EQ,444.0,465.0,434.95,457.8,453.85,451.3,450.8,550.7,248.35,665037,299799555.45,21016,BLACKBUCK
2025-01-01,EQ,457.8,471.1,457.8,481.9,457.8,457.8,461.18,550.7,248.35,223057,102869040.7,4839,BLACKBUCK
2024-12-31,EQ,481.9,481.9,481.9,507.25,481.9,481.9,481.9,550.7,248.35,18307,8822143.3,598,BLACKBUCK
2024-12-30,EQ,534.0,536.5,507.25,533.95,507.25,507.25,511.59,550.7,248.35,300212,153586862.5,9603,BLACKBUCK
2024-12-27,EQ,526.0,547.8,526.0,522.35,538.0,533.95,537.29,550.7,248.35,478833,257273998.5,19559,BLACKBUCK
2024-12-26,EQ,520.35,543.75,520.0,517.9,521.0,522.35,535.36,550.7,248.35,582871,312043443.1,11126,BLACKBUCK
2024-12-24,EQ,513.0,528.95,487.15,510.85,515.15,517.9,509.82,550.7,248.35,904704,461238778.25,22720,BLACKBUCK
2024-12-23,EQ,509.4,550.7,502.3,501.65,510.55,510.85,525.66,550.7,248.35,1743530,916505527.15,38028,BLACKBUCK
2024-12-20,EQ,496.95,514.7,460.6,498.05,490.0,501.65,489.9,514.7,248.35,2253098,1103785980.45,98359,BLACKBUCK
2024-12-19,EQ,444.0,498.3,433.3,453.0,498.3,498.05,481.37,498.3,248.35,1105717,532254385.6,30384,BLACKBUCK
2024-12-18,EQ,429.0,462.3,427.45,422.45,450.05,453.0,451.61,462.3,248.35,1307812,590626505.95,29503,BLACKBUCK
2024-12-17,EQ,407.45,443.45,400.3,403.15,423.1,422.45,426.79,460.5,248.35,1333265,569021320.05,23228,BLACKBUCK
2024-12-16,EQ,410.0,425.65,399.2,423.2,402.95,403.15,408.87,460.5,248.35,647777,264854136.45,14779,BLACKBUCK
2024-12-13,EQ,441.2,460.5,408.6,424.1,420.0,423.2,437.26,460.5,248.35,3682964,1610423803.05,79390,BLACKBUCK
