DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,591.4,598.5,571.35,591.4,573.1,582.85,586.82,624.0,324.0,155912,91492704.15,6746,BLUEJET
2025-01-23,EQ,556.0,595.0,556.0,558.75,590.5,591.4,580.55,624.0,324.0,336699,195471735.75,9306,BLUEJET
2025-01-22,EQ,581.45,588.9,552.4,581.45,557.0,558.75,566.39,624.0,324.0,209887,118877742.05,6977,BLUEJET
2025-01-21,EQ,596.9,600.0,577.95,597.8,586.0,581.45,587.71,624.0,324.0,101938,59909583.35,3449,BLUEJET
2025-01-20,EQ,586.0,608.0,586.0,596.05,595.1,597.8,600.0,624.0,324.0,306241,183746047.1,5811,BLUEJET
2025-01-17,EQ,586.0,606.85,583.7,591.55,597.4,596.05,598.64,624.0,324.0,267152,159928448.8,6319,BLUEJET
2025-01-16,EQ,590.0,600.1,578.95,587.05,593.0,591.55,591.37,624.0,324.0,190240,112502602.05,5088,BLUEJET
2025-01-15,EQ,581.0,589.4,568.6,581.4,588.0,587.05,580.72,624.0,324.0,124786,72465581.3,3969,BLUEJET
2025-01-14,EQ,573.85,593.55,565.0,570.2,582.0,581.4,578.27,624.0,324.0,134689,77886712.9,5231,BLUEJET
2025-01-13,EQ,564.0,584.0,555.25,571.5,567.0,570.2,567.39,624.0,324.0,194730,110487549.1,6400,BLUEJET
2025-01-10,EQ,582.1,584.6,560.5,582.6,570.6,571.5,573.07,624.0,324.0,198481,113743022.7,8217,BLUEJET
2025-01-09,EQ,598.5,599.3,580.2,599.05,582.25,582.6,588.36,624.0,324.0,102140,60094768.25,4176,BLUEJET
2025-01-08,EQ,619.0,624.0,590.5,607.15,595.15,599.05,602.49,624.0,324.0,279052,168126284.45,9041,BLUEJET
2025-01-07,EQ,579.65,611.85,579.65,574.7,604.0,607.15,600.14,612.15,324.0,389818,233945877.8,9962,BLUEJET
2025-01-06,EQ,612.1,612.15,570.65,598.95,580.0,574.7,583.53,612.15,324.0,271856,158636728.0,9388,BLUEJET
2025-01-03,EQ,587.5,608.2,576.7,586.45,596.0,598.95,592.43,608.2,324.0,327453,193993906.4,8516,BLUEJET
2025-01-02,EQ,581.5,588.8,576.25,577.45,583.0,586.45,584.03,603.0,324.0,323506,188937117.65,7086,BLUEJET
2025-01-01,EQ,564.7,584.45,564.65,564.7,580.0,577.45,575.73,603.0,324.0,203224,117001417.75,6020,BLUEJET
2024-12-31,EQ,559.0,573.05,551.05,556.0,568.0,564.7,562.71,603.0,324.0,136795,76975463.9,9905,BLUEJET
2024-12-30,EQ,559.65,585.4,553.0,551.75,557.0,556.0,567.66,603.0,324.0,440914,250290009.5,14919,BLUEJET
2024-12-27,EQ,554.95,562.4,548.0,552.9,549.35,551.75,552.17,603.0,324.0,202723,111938008.9,9210,BLUEJET
2024-12-26,EQ,555.65,565.45,542.05,553.0,550.0,552.9,554.3,603.0,324.0,324608,179930118.6,8858,BLUEJET
2024-12-24,EQ,565.65,569.3,550.0,562.95,552.0,553.0,556.04,603.0,324.0,123290,68553959.8,6183,BLUEJET
2024-12-23,EQ,568.0,576.15,556.15,564.25,563.0,562.95,563.76,603.0,324.0,253754,143055454.45,7057,BLUEJET
2024-12-20,EQ,590.3,590.3,559.65,580.45,566.0,564.25,573.45,603.0,324.0,472816,271138564.05,11192,BLUEJET
