DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,44.98,44.98,43.6,44.39,43.98,43.81,44.05,98.5,38.61,21401,942807.86,633,BRNL
2025-01-23,EQ,44.0,44.82,43.93,44.03,44.74,44.39,44.4,98.5,38.61,33669,1494956.81,902,BRNL
2025-01-22,EQ,45.96,45.98,43.56,45.62,44.0,44.03,44.34,98.5,38.61,51553,2285755.33,832,BRNL
2025-01-21,EQ,47.01,47.77,45.0,47.14,45.65,45.62,46.61,98.5,38.61,46226,2154442.78,521,BRNL
2025-01-20,EQ,46.72,47.85,46.09,46.72,47.25,47.14,47.06,98.5,38.61,74827,3521313.71,993,BRNL
2025-01-17,EQ,46.12,48.49,46.05,46.88,46.98,46.72,47.09,98.5,38.61,103846,4889830.04,1335,BRNL
2025-01-16,EQ,47.99,48.9,45.55,47.22,46.12,46.88,47.66,98.5,38.61,131089,6247756.8,1481,BRNL
2025-01-15,EQ,52.1,53.43,46.1,47.17,46.52,47.22,50.51,98.5,38.61,1048318,52950728.72,9584,BRNL
2025-01-14,EQ,41.35,47.17,40.11,39.31,47.17,47.17,45.53,98.5,38.61,356356,16223419.39,2716,BRNL
2025-01-13,EQ,42.89,42.9,38.61,42.9,38.99,39.31,40.5,98.5,38.61,56098,2271932.13,1361,BRNL
2025-01-10,EQ,44.49,44.79,42.65,43.77,42.66,42.9,43.28,98.5,41.0,21622,935857.96,596,BRNL
2025-01-09,EQ,45.48,45.48,43.56,44.8,43.84,43.77,44.26,98.5,41.0,20029,886477.4,478,BRNL
2025-01-08,EQ,43.71,46.0,43.71,43.87,44.62,44.8,45.09,98.5,41.0,43641,1967829.61,1118,BRNL
2025-01-07,EQ,44.39,44.8,43.01,43.53,43.7,43.87,43.92,98.5,41.0,31324,1375798.02,893,BRNL
2025-01-06,EQ,45.98,46.32,43.39,45.29,43.76,43.53,44.59,98.5,41.0,48335,2155107.16,1460,BRNL
2025-01-03,EQ,46.63,46.63,44.49,45.89,45.45,45.29,45.48,98.5,41.0,43522,1979428.38,1044,BRNL
2025-01-02,EQ,45.7,47.49,45.25,46.21,45.99,45.89,46.12,98.5,41.0,42610,1965014.86,1200,BRNL
2025-01-01,EQ,45.56,46.9,45.56,45.54,46.15,46.21,46.33,98.5,41.0,19481,902563.81,583,BRNL
2024-12-31,EQ,45.16,45.99,44.8,45.78,45.99,45.54,45.29,98.5,41.0,20297,919324.88,722,BRNL
2024-12-30,EQ,46.31,46.78,45.62,46.31,46.13,45.78,46.21,98.5,41.0,18100,836459.72,693,BRNL
