DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,300.55,302.0,290.25,300.55,300.0,294.1,298.27,469.0,270.1,54034,16116528.65,2017,CAPITALSFB
2025-01-23,EQ,295.2,303.0,295.2,299.55,297.0,300.55,299.97,469.0,270.1,78675,23600335.6,1457,CAPITALSFB
2025-01-22,EQ,306.0,306.0,295.0,304.0,297.0,299.55,299.9,469.0,270.1,47882,14359823.05,1283,CAPITALSFB
2025-01-21,EQ,304.15,306.1,302.5,304.15,304.9,304.0,304.01,469.0,270.1,37073,11270476.3,1298,CAPITALSFB
2025-01-20,EQ,305.0,305.95,303.0,303.0,304.0,304.15,304.52,469.0,270.1,11927,3632059.0,569,CAPITALSFB
2025-01-17,EQ,299.6,304.8,299.6,302.25,302.0,303.0,302.2,469.0,270.1,18326,5538036.85,894,CAPITALSFB
2025-01-16,EQ,304.85,304.85,299.3,300.05,302.0,302.25,301.96,469.0,270.1,40073,12100603.35,3722,CAPITALSFB
2025-01-15,EQ,295.05,302.55,295.05,299.3,300.0,300.05,300.41,469.0,270.1,14056,4222611.55,608,CAPITALSFB
2025-01-14,EQ,299.5,304.45,293.95,299.5,295.0,299.3,300.87,469.0,270.1,83614,25157112.45,3222,CAPITALSFB
2025-01-13,EQ,300.6,305.5,296.1,305.2,305.5,299.5,303.09,469.0,270.1,83543,25321390.55,2798,CAPITALSFB
2025-01-10,EQ,307.4,309.3,303.1,307.4,305.75,305.2,305.85,469.0,270.1,50529,15454178.85,1813,CAPITALSFB
2025-01-09,EQ,308.0,310.55,304.95,304.95,306.55,307.4,308.07,469.0,270.1,81835,25210972.3,2190,CAPITALSFB
2025-01-08,EQ,300.0,306.6,298.0,301.8,305.0,304.95,303.5,469.0,270.1,120431,36550576.1,5138,CAPITALSFB
2025-01-07,EQ,297.35,306.0,295.0,294.75,304.9,301.8,301.5,469.0,270.1,134113,40435342.4,3290,CAPITALSFB
2025-01-06,EQ,292.35,300.0,292.0,286.65,297.4,294.75,295.67,469.0,270.1,230597,68181169.65,4626,CAPITALSFB
2025-01-03,EQ,299.5,300.85,277.6,293.8,287.4,286.65,293.9,469.0,270.1,121419,35684452.35,3893,CAPITALSFB
2025-01-02,EQ,293.25,294.75,287.7,293.45,294.5,293.8,291.37,469.0,270.1,24929,7263587.8,1031,CAPITALSFB
2025-01-01,EQ,290.0,294.0,288.05,293.15,293.25,293.45,291.87,469.0,270.1,27211,7942150.4,1015,CAPITALSFB
2024-12-31,EQ,284.5,295.9,281.05,284.7,292.05,293.15,291.14,469.0,270.1,136058,39611897.05,2979,CAPITALSFB
2024-12-30,EQ,281.55,287.1,278.1,281.55,284.5,284.7,283.38,469.0,270.1,85912,24345496.75,1764,CAPITALSFB
2024-12-27,EQ,280.0,285.65,280.0,280.85,280.0,281.55,283.06,469.0,270.1,48437,13710457.55,1453,CAPITALSFB
2024-12-26,EQ,282.3,284.95,279.0,279.7,280.6,280.85,281.16,469.0,270.1,45012,12655705.85,1004,CAPITALSFB
2024-12-24,EQ,275.8,283.2,271.05,275.8,280.0,279.7,278.68,469.0,270.1,68124,18984570.95,2554,CAPITALSFB
2024-12-23,EQ,272.95,280.0,272.95,272.3,274.15,275.8,274.4,469.0,270.1,124593,34188223.8,1654,CAPITALSFB
2024-12-20,EQ,276.0,277.45,270.1,276.85,273.9,272.3,273.21,469.0,270.1,28765,7859002.65,1164,CAPITALSFB
2024-12-19,EQ,274.5,279.9,273.0,276.5,279.9,276.85,275.02,469.0,273.0,31350,8621837.65,836,CAPITALSFB
2024-12-18,EQ,277.0,279.45,275.0,276.9,276.5,276.5,276.42,469.0,273.5,33603,9288431.7,889,CAPITALSFB
2024-12-17,EQ,277.5,280.8,275.95,277.8,276.55,276.9,278.86,469.0,273.5,43127,12026485.0,1330,CAPITALSFB
2024-12-16,EQ,276.75,278.95,274.0,275.7,277.5,277.8,276.6,469.0,273.5,57625,15938938.0,1020,CAPITALSFB
2024-12-13,EQ,274.05,278.55,274.0,276.35,274.9,275.7,275.51,469.0,273.5,36898,10165647.45,1072,CAPITALSFB
2024-12-12,EQ,278.35,280.45,275.05,278.0,276.0,276.35,277.38,469.0,273.5,66430,18426390.05,1109,CAPITALSFB
2024-12-11,EQ,279.5,279.75,276.9,277.25,278.4,278.0,278.44,469.0,273.5,52426,14597511.25,794,CAPITALSFB
2024-12-10,EQ,273.5,281.05,273.5,275.3,277.95,277.25,277.59,469.0,273.5,53315,14799485.1,1371,CAPITALSFB
2024-12-09,EQ,277.5,279.7,274.9,277.15,276.0,275.3,276.48,469.0,274.0,40335,11151693.65,1324,CAPITALSFB
2024-12-06,EQ,277.4,279.9,276.75,277.4,276.75,277.15,277.59,469.0,274.0,50375,13983734.7,1279,CAPITALSFB
2024-12-05,EQ,282.85,282.85,276.95,279.1,277.0,277.4,278.36,469.0,274.0,37232,10364049.2,1432,CAPITALSFB
2024-12-04,EQ,280.5,282.85,274.0,279.6,279.0,279.1,279.17,469.0,274.0,57062,15929957.95,1832,CAPITALSFB
2024-12-03,EQ,279.15,282.7,279.15,280.45,279.6,279.6,279.8,469.0,279.0,65235,18252439.2,1516,CAPITALSFB
2024-12-02,EQ,284.95,284.95,279.5,280.0,280.8,280.45,280.66,469.0,279.0,35386,9931444.35,867,CAPITALSFB
2024-11-29,EQ,281.6,286.5,279.65,281.55,280.0,280.0,280.75,469.0,279.0,28123,7895577.65,1102,CAPITALSFB
2024-11-28,EQ,284.95,285.0,281.25,281.95,281.5,281.55,282.94,469.0,279.0,35861,10146385.9,826,CAPITALSFB
