DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,511.0,544.5,510.4,522.4,531.0,532.3,527.8,692.4,510.4,142425,75171684.75,9681,CARRARO
2025-01-23,EQ,526.8,538.0,520.4,530.5,522.0,522.4,527.19,692.4,520.4,71567,37729097.4,7214,CARRARO
2025-01-22,EQ,558.0,559.0,527.0,555.45,527.9,530.5,535.59,692.4,527.0,92920,49766920.25,8360,CARRARO
2025-01-21,EQ,561.45,572.9,550.65,563.7,553.0,555.45,564.44,692.4,538.0,133688,75459196.1,13209,CARRARO
2025-01-20,EQ,570.2,578.95,554.0,572.4,560.0,563.7,570.28,692.4,538.0,175856,100287043.85,13438,CARRARO
2025-01-17,EQ,568.1,576.15,555.6,578.35,574.0,572.4,565.03,692.4,538.0,173359,97952274.35,14877,CARRARO
2025-01-16,EQ,549.0,589.8,545.0,540.25,570.8,578.35,573.58,692.4,538.0,457796,262583405.65,24571,CARRARO
2025-01-15,EQ,568.35,574.05,538.0,568.35,540.35,540.25,550.46,692.4,538.0,185134,101908003.45,12431,CARRARO
2025-01-14,EQ,586.25,596.35,562.0,586.25,563.85,568.35,574.43,692.4,562.0,104789,60193829.05,12652,CARRARO
2025-01-13,EQ,599.85,603.75,568.5,614.05,579.25,586.25,586.56,692.4,568.5,290543,170421733.6,30670,CARRARO
2025-01-10,EQ,618.45,635.0,586.05,621.5,618.0,614.05,603.43,692.4,586.05,223847,135074897.3,18217,CARRARO
2025-01-09,EQ,630.1,633.85,616.95,633.6,620.2,621.5,621.78,692.4,616.95,154717,96200221.35,14728,CARRARO
2025-01-08,EQ,645.1,646.7,628.0,647.95,630.1,633.6,633.9,692.4,622.45,178834,113363726.7,17630,CARRARO
2025-01-07,EQ,649.0,657.0,635.1,649.7,643.05,647.95,640.22,692.4,622.45,347154,222254424.2,13198,CARRARO
2025-01-06,EQ,651.1,659.45,622.45,662.1,650.0,649.7,640.8,692.4,622.45,386138,247435455.75,26539,CARRARO
2025-01-03,EQ,652.0,692.4,651.7,649.0,663.8,662.1,670.61,692.4,631.0,1011425,678270161.0,46090,CARRARO
2025-01-02,EQ,640.2,659.0,635.25,640.2,650.0,649.0,648.02,682.0,631.0,634229,410991735.3,44222,CARRARO
2025-01-01,EQ,640.0,646.2,631.0,637.65,640.0,640.2,639.65,682.0,631.0,383912,245568507.9,21471,CARRARO
2024-12-31,EQ,635.0,661.0,633.0,636.2,636.85,637.65,643.53,682.0,631.0,681554,438597704.2,29668,CARRARO
2024-12-30,EQ,651.0,682.0,631.0,704.0,637.5,636.2,651.76,682.0,631.0,2751746,1793478082.55,98950,CARRARO
