DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,318.0,321.95,316.3,319.4,317.5,317.15,318.87,424.8,293.0,45431,14486421.05,2364,CEIGALL
2025-01-23,EQ,321.5,324.8,318.0,321.5,318.0,319.4,321.94,424.8,293.0,37948,12217051.7,1930,CEIGALL
2025-01-22,EQ,324.0,326.05,318.1,326.3,321.5,321.5,321.16,424.8,293.0,76487,24564743.95,4087,CEIGALL
2025-01-21,EQ,328.0,330.0,324.3,328.8,326.5,326.3,327.2,424.8,293.0,45361,14842280.85,2163,CEIGALL
2025-01-20,EQ,330.0,330.3,325.25,327.8,328.05,328.8,327.39,424.8,293.0,55366,18126386.55,1742,CEIGALL
2025-01-17,EQ,328.0,330.75,326.1,330.8,329.0,327.8,328.21,424.8,293.0,47102,15459441.25,1678,CEIGALL
2025-01-16,EQ,328.0,332.8,325.5,323.8,330.8,330.8,329.71,424.8,293.0,92903,30631267.5,2073,CEIGALL
2025-01-15,EQ,328.6,329.25,321.25,328.7,323.7,323.8,325.41,424.8,293.0,61886,20138355.5,2434,CEIGALL
2025-01-14,EQ,311.3,333.65,310.75,309.95,326.15,328.7,321.83,424.8,293.0,145538,46838182.15,4336,CEIGALL
2025-01-13,EQ,317.6,322.4,309.05,324.0,310.0,309.95,313.62,424.8,293.0,132988,41707639.25,6310,CEIGALL
2025-01-10,EQ,331.05,332.0,319.45,331.05,323.95,324.0,324.6,424.8,293.0,173142,56202006.6,6438,CEIGALL
2025-01-09,EQ,339.95,339.95,330.1,339.4,331.9,331.05,334.26,424.8,293.0,86157,28798595.6,2624,CEIGALL
2025-01-08,EQ,343.5,343.5,339.0,343.25,339.5,339.4,340.02,424.8,293.0,64313,21867676.7,1809,CEIGALL
2025-01-07,EQ,339.8,348.35,336.1,337.05,343.3,343.25,342.31,424.8,293.0,158781,54352650.1,4425,CEIGALL
2025-01-06,EQ,345.0,345.0,332.2,344.5,339.8,337.05,337.54,424.8,293.0,147468,49776970.55,5013,CEIGALL
2025-01-03,EQ,340.6,351.0,340.6,343.6,344.5,344.5,345.65,424.8,293.0,152326,52651143.65,5366,CEIGALL
2025-01-02,EQ,346.85,346.85,341.3,345.3,344.0,343.6,343.54,424.8,293.0,64424,22132042.95,2672,CEIGALL
2025-01-01,EQ,340.0,348.5,338.55,339.8,345.8,345.3,344.01,424.8,293.0,96647,33247186.9,3252,CEIGALL
2024-12-31,EQ,334.95,342.5,333.4,336.65,340.0,339.8,339.49,424.8,293.0,164457,55830763.8,4536,CEIGALL
2024-12-30,EQ,352.9,352.9,335.0,348.75,336.5,336.65,339.93,424.8,293.0,274266,93231381.7,9459,CEIGALL
2024-12-27,EQ,355.95,357.0,345.0,355.55,349.1,348.75,348.87,424.8,293.0,255039,88975476.3,14026,CEIGALL
2024-12-26,EQ,361.0,366.0,351.2,344.0,353.9,355.55,358.23,424.8,293.0,1196240,428530896.05,25445,CEIGALL
2024-12-24,EQ,352.65,352.65,340.5,348.3,343.0,344.0,344.06,424.8,293.0,198454,68280287.3,14469,CEIGALL
2024-12-23,EQ,355.15,355.95,342.0,353.55,345.85,348.3,346.01,424.8,293.0,209895,72626280.65,14996,CEIGALL
2024-12-20,EQ,358.0,361.75,351.05,359.45,351.05,353.55,357.1,424.8,293.0,175666,62729928.65,6913,CEIGALL
2024-12-19,EQ,353.05,362.5,353.05,366.2,359.4,359.45,359.26,424.8,293.0,130138,46753238.95,4257,CEIGALL
2024-12-18,EQ,374.0,374.9,361.45,370.65,364.7,366.2,366.94,424.8,293.0,206838,75896957.6,7513,CEIGALL
2024-12-17,EQ,363.15,375.9,358.15,362.25,370.45,370.65,369.06,424.8,293.0,383046,141368224.8,10130,CEIGALL
2024-12-16,EQ,363.4,367.5,360.05,363.4,360.1,362.25,363.31,424.8,293.0,276280,100375867.9,6403,CEIGALL
2024-12-13,EQ,355.0,365.0,348.35,356.85,363.45,363.4,357.91,424.8,293.0,235477,84279434.0,6579,CEIGALL
2024-12-12,EQ,368.45,368.45,354.5,364.95,355.0,356.85,358.29,424.8,293.0,260551,93352374.5,7267,CEIGALL
2024-12-11,EQ,367.8,383.0,362.0,364.45,362.0,364.95,370.44,424.8,293.0,1037536,384346917.25,16013,CEIGALL
2024-12-10,EQ,369.0,376.4,345.5,367.55,364.55,364.45,365.19,424.8,293.0,537482,196284675.75,20691,CEIGALL
2024-12-09,EQ,371.0,371.95,360.2,371.4,366.95,367.55,367.72,424.8,293.0,344549,126695859.45,7975,CEIGALL
2024-12-06,EQ,364.0,374.0,361.25,358.2,370.95,371.4,368.83,424.8,293.0,720835,265864434.25,16731,CEIGALL
2024-12-05,EQ,360.0,362.9,349.3,359.15,360.0,358.2,355.64,424.8,293.0,374335,133127647.6,12228,CEIGALL
2024-12-04,EQ,347.8,362.0,344.3,342.7,359.9,359.15,353.25,424.8,293.0,624858,220732677.85,16858,CEIGALL
2024-12-03,EQ,341.95,345.5,340.85,340.8,342.9,342.7,342.85,424.8,293.0,115833,39713609.3,3325,CEIGALL
2024-12-02,EQ,342.2,344.35,338.2,342.2,340.25,340.8,340.47,424.8,293.0,131601,44806292.45,5432,CEIGALL
2024-11-29,EQ,337.55,346.0,335.2,338.2,342.95,342.2,340.72,424.8,293.0,196906,67089263.65,6764,CEIGALL
2024-11-28,EQ,337.75,341.0,334.1,334.3,336.1,338.2,337.69,424.8,293.0,161585,54566046.5,4515,CEIGALL
2024-11-27,EQ,330.0,336.95,326.15,328.95,335.05,334.3,332.04,424.8,293.0,342594,113756370.65,8463,CEIGALL
2024-11-26,EQ,331.95,331.95,323.4,330.55,328.05,328.95,328.57,424.8,293.0,201522,66214681.1,5051,CEIGALL
2024-11-25,EQ,328.1,331.5,323.7,323.2,331.0,330.55,328.96,424.8,293.0,232346,76433346.15,8815,CEIGALL
2024-11-22,EQ,316.0,324.9,313.25,315.75,321.35,323.2,321.52,424.8,293.0,176393,56713945.45,7040,CEIGALL
2024-11-21,EQ,319.0,319.0,312.2,317.2,315.6,315.75,315.36,424.8,293.0,166429,52485669.9,5639,CEIGALL
2024-11-19,EQ,299.0,320.8,298.1,297.55,317.15,317.2,313.95,424.8,293.0,468816,147183500.4,13039,CEIGALL
2024-11-18,EQ,308.0,308.0,297.0,304.95,297.9,297.55,299.97,424.8,293.0,257941,77375255.15,14595,CEIGALL
2024-11-14,EQ,303.55,307.5,293.0,303.0,306.0,304.95,299.37,424.8,293.0,459033,137422483.7,23840,CEIGALL
2024-11-13,EQ,313.5,317.3,302.0,315.45,303.35,303.0,305.26,424.8,302.0,361147,110242342.45,31357,CEIGALL
2024-11-12,EQ,322.45,329.2,310.0,322.45,315.1,315.45,319.17,424.8,310.0,457560,146037398.5,19972,CEIGALL
2024-11-11,EQ,325.05,327.25,317.1,325.05,323.0,322.45,321.0,424.8,317.1,329333,105716853.4,12790,CEIGALL
2024-11-08,EQ,341.05,342.95,320.8,340.6,324.2,325.05,329.47,424.8,320.8,647953,213479387.05,23321,CEIGALL
2024-11-07,EQ,341.7,349.15,340.0,341.5,340.6,340.6,343.14,424.8,335.0,223201,76590055.15,8669,CEIGALL
2024-11-06,EQ,341.15,344.5,335.0,344.8,341.15,341.5,339.11,424.8,335.0,520815,176611218.4,16876,CEIGALL
2024-11-05,EQ,359.65,361.0,342.65,355.4,344.2,344.8,352.24,424.8,336.0,683404,240719286.9,27090,CEIGALL
2024-11-04,EQ,369.9,370.0,353.0,365.1,355.0,355.4,355.89,424.8,336.0,229850,81800386.0,7149,CEIGALL
2024-11-01,EQ,355.0,368.35,351.55,349.15,364.85,365.1,364.5,424.8,336.0,250584,91338218.3,5713,CEIGALL
2024-10-31,EQ,349.0,352.0,343.1,347.2,352.0,349.15,347.2,424.8,336.0,148899,51697409.4,10216,CEIGALL
2024-10-30,EQ,340.0,351.0,336.55,338.45,347.8,347.2,343.49,424.8,336.0,188844,64866862.6,11108,CEIGALL
2024-10-29,EQ,344.0,345.65,337.0,342.65,338.9,338.45,339.42,424.8,336.0,123525,41926915.4,5329,CEIGALL
2024-10-28,EQ,342.25,346.35,336.0,342.1,344.8,342.65,341.8,424.8,336.0,146970,50234043.15,5161,CEIGALL
2024-10-25,EQ,354.05,355.65,337.3,354.3,345.0,342.1,342.79,424.8,337.3,231830,79468094.15,8794,CEIGALL
2024-10-24,EQ,360.15,362.0,351.4,358.9,354.8,354.3,354.76,424.8,351.4,150089,53246194.2,5822,CEIGALL
2024-10-23,EQ,367.0,371.0,356.15,368.1,364.0,358.9,363.07,424.8,356.15,304246,110463484.15,10309,CEIGALL
2024-10-22,EQ,375.95,375.95,365.0,373.2,367.5,368.1,368.71,424.8,365.0,206218,76035483.15,5914,CEIGALL
2024-10-21,EQ,379.95,381.6,372.5,379.4,373.5,373.2,374.64,424.8,367.9,117748,44112792.95,3783,CEIGALL
2024-10-18,EQ,374.25,380.8,369.0,376.6,378.65,379.4,377.39,424.8,367.9,205118,77409515.7,4385,CEIGALL
