DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,665.0,675.15,637.0,673.4,649.95,644.95,650.09,860.0,632.2,242642,157739722.4,16588,CEWATER
2025-01-23,EQ,693.0,693.0,656.55,704.3,664.7,673.4,678.13,860.0,632.2,303806,206020847.25,20114,CEWATER
2025-01-22,EQ,729.0,729.0,687.05,722.85,697.0,704.3,699.58,860.0,632.2,283264,198164569.4,23049,CEWATER
2025-01-21,EQ,724.1,730.0,692.0,724.1,725.6,722.85,709.75,860.0,632.2,455068,322984000.9,31020,CEWATER
2025-01-20,EQ,769.0,773.6,705.0,680.9,720.0,724.1,741.99,860.0,632.2,1763477,1308490522.3,107136,CEWATER
2025-01-17,EQ,695.05,736.0,673.55,692.15,683.0,680.9,708.62,860.0,632.2,546651,387368175.3,36565,CEWATER
2025-01-16,EQ,681.0,716.3,676.0,667.7,690.0,692.15,700.49,860.0,632.2,299914,210088243.7,22223,CEWATER
2025-01-15,EQ,690.0,694.0,660.85,681.0,668.0,667.7,681.14,860.0,632.2,125836,85711686.8,10312,CEWATER
2025-01-14,EQ,663.0,690.6,640.7,638.05,684.55,681.0,673.55,860.0,632.2,247134,166456054.15,19368,CEWATER
2025-01-13,EQ,685.25,702.3,632.2,700.25,640.0,638.05,661.9,860.0,632.2,482244,319197087.5,31873,CEWATER
2025-01-10,EQ,748.55,748.55,695.05,743.25,699.0,700.25,718.31,860.0,695.05,263246,189093198.2,20295,CEWATER
2025-01-09,EQ,762.85,763.85,738.0,758.5,742.75,743.25,750.24,860.0,728.15,191771,143873860.55,11365,CEWATER
2025-01-08,EQ,778.9,781.15,736.4,775.85,760.75,758.5,755.85,860.0,728.15,296795,224331279.9,19266,CEWATER
2025-01-07,EQ,752.35,785.0,741.05,743.3,775.1,775.85,762.34,860.0,728.15,534631,407571104.3,23300,CEWATER
2025-01-06,EQ,788.05,789.0,728.15,789.25,738.5,743.3,753.21,860.0,728.15,747693,563171993.85,34727,CEWATER
2025-01-03,EQ,810.0,814.95,778.9,813.05,781.0,789.25,797.01,860.0,730.5,828006,659927345.7,29878,CEWATER
2025-01-02,EQ,740.0,824.2,735.55,738.65,812.95,813.05,791.85,860.0,730.5,2414272,1911751464.65,105006,CEWATER
2025-01-01,EQ,747.95,752.9,730.5,745.4,733.6,738.65,739.16,860.0,730.5,464444,343298798.85,24752,CEWATER
2024-12-31,EQ,754.0,787.25,736.6,752.85,743.0,745.4,755.71,860.0,736.6,1055382,797558756.75,59813,CEWATER
2024-12-30,EQ,821.7,823.0,745.2,827.1,750.05,752.85,780.36,860.0,745.2,1459394,1138854015.65,65071,CEWATER
2024-12-27,EQ,826.0,860.0,801.0,701.0,830.35,827.1,830.13,860.0,801.0,9233701,7665144277.7,230219,CEWATER
