DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,286.9,291.0,276.0,284.75,278.0,279.95,283.93,456.9,276.0,4531444,1286602167.85,75479,DAMCAPITAL
2025-01-23,EQ,298.0,298.55,283.65,300.75,285.2,284.75,289.69,456.9,283.65,3880712,1124206230.7,75721,DAMCAPITAL
2025-01-22,EQ,312.1,312.65,292.7,309.2,299.4,300.75,299.46,456.9,292.7,2109771,631791208.55,52063,DAMCAPITAL
2025-01-21,EQ,332.0,336.0,307.05,330.5,310.45,309.2,319.73,456.9,307.05,1648870,527193674.65,47072,DAMCAPITAL
2025-01-20,EQ,340.9,342.65,325.4,338.45,330.5,330.5,333.67,456.9,324.05,818348,273056213.25,19928,DAMCAPITAL
2025-01-17,EQ,343.25,346.45,333.9,341.85,338.95,338.45,339.36,456.9,324.05,982567,333442724.45,18973,DAMCAPITAL
2025-01-16,EQ,345.05,360.9,340.0,339.8,341.9,341.85,350.56,456.9,324.05,1959956,687072567.7,33724,DAMCAPITAL
2025-01-15,EQ,350.0,352.0,336.35,344.6,338.5,339.8,342.95,456.9,324.05,1458311,500132493.15,27020,DAMCAPITAL
2025-01-14,EQ,330.95,352.95,327.05,326.8,345.0,344.6,338.83,456.9,324.05,2661533,901797977.55,48038,DAMCAPITAL
2025-01-13,EQ,341.15,361.4,324.05,357.2,326.0,326.8,342.54,456.9,324.05,3647752,1249493576.75,66245,DAMCAPITAL
2025-01-10,EQ,380.85,380.9,351.55,381.8,353.2,357.2,366.2,456.9,351.55,2733205,1000889685.05,52470,DAMCAPITAL
2025-01-09,EQ,388.95,394.05,377.75,388.45,379.0,381.8,385.94,456.9,363.55,2231058,861061977.05,40514,DAMCAPITAL
2025-01-08,EQ,402.0,403.8,384.2,402.0,386.8,388.45,390.65,456.9,363.55,2754691,1076128673.55,49516,DAMCAPITAL
2025-01-07,EQ,395.05,406.75,387.6,388.0,401.2,402.0,399.48,456.9,363.55,5676039,2267471230.15,79153,DAMCAPITAL
2025-01-06,EQ,406.65,425.0,383.0,404.05,389.1,388.0,406.93,456.9,363.55,11864977,4828197532.15,176364,DAMCAPITAL
2025-01-03,EQ,400.9,414.8,393.25,396.6,401.7,404.05,404.09,456.9,363.55,8524354,3444645493.3,119450,DAMCAPITAL
2025-01-02,EQ,385.0,409.45,380.45,382.95,398.25,396.6,396.79,456.9,363.55,9136466,3625228886.8,139740,DAMCAPITAL
2025-01-01,EQ,382.9,392.65,379.8,381.5,383.0,382.95,385.14,456.9,363.55,3279660,1263126588.4,69567,DAMCAPITAL
2024-12-31,EQ,368.95,406.95,363.55,371.55,381.5,381.5,387.73,456.9,363.55,13176482,5108940548.35,207578,DAMCAPITAL
2024-12-30,EQ,418.0,427.0,368.6,415.1,369.05,371.55,393.37,456.9,368.6,9966508,3920502585.3,178561,DAMCAPITAL
2024-12-27,EQ,393.0,456.9,392.95,283.0,416.0,415.1,426.77,456.9,392.95,43448517,18542633123.8,603887,DAMCAPITAL
