DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,175.4,178.98,169.11,178.84,174.71,172.44,173.55,214.0,139.1,143995,24990399.9,6398,DBEIL
2025-01-23,EQ,165.0,183.0,165.0,165.25,178.0,178.84,172.9,214.0,139.1,615153,106361728.41,11841,DBEIL
2025-01-22,EQ,168.1,168.4,163.17,169.32,164.48,165.25,165.96,214.0,139.1,1041110,172787672.26,5943,DBEIL
2025-01-21,EQ,173.8,173.8,169.0,173.25,169.0,169.32,171.04,214.0,139.1,111537,19077492.75,4519,DBEIL
2025-01-20,EQ,171.0,174.0,171.0,170.83,172.7,173.25,172.78,214.0,139.1,96362,16649644.12,3311,DBEIL
2025-01-17,EQ,172.28,172.99,168.97,171.93,171.08,170.83,170.52,214.0,139.1,97795,16675679.35,3237,DBEIL
2025-01-16,EQ,172.0,176.29,170.1,171.2,171.92,171.93,173.62,214.0,139.1,140090,24321976.46,4921,DBEIL
2025-01-15,EQ,170.0,173.4,164.51,168.89,172.92,171.2,169.03,214.0,139.1,244706,41361488.62,7965,DBEIL
2025-01-14,EQ,170.18,172.19,166.39,166.83,169.7,168.89,168.89,214.0,139.1,228909,38659416.41,7167,DBEIL
2025-01-13,EQ,175.0,177.81,165.0,178.86,166.99,166.83,170.45,214.0,139.1,323521,55144749.17,12669,DBEIL
2025-01-10,EQ,183.17,183.25,172.42,183.14,179.72,178.86,177.88,214.0,139.1,338861,60274921.73,10893,DBEIL
2025-01-09,EQ,190.7,190.7,182.25,190.28,182.3,183.14,185.56,214.0,139.1,198665,36865176.1,6171,DBEIL
2025-01-08,EQ,195.1,196.0,188.27,193.93,189.52,190.28,190.86,214.0,139.1,218723,41745203.04,6185,DBEIL
2025-01-07,EQ,190.5,195.1,187.93,187.07,193.2,193.93,191.74,214.0,139.1,250408,48012655.96,7728,DBEIL
