DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,289.9,292.95,283.0,289.05,285.0,285.3,286.59,400.0,225.6,74639,21391051.2,2885,DEEDEV
2025-01-23,EQ,300.0,300.0,287.0,298.4,287.9,289.05,292.0,400.0,225.6,78612,22954976.7,2960,DEEDEV
2025-01-22,EQ,305.6,309.85,290.85,310.25,299.0,298.4,299.71,400.0,225.6,294602,88295518.85,4039,DEEDEV
2025-01-21,EQ,301.7,322.0,297.85,299.9,311.9,310.25,312.31,400.0,225.6,402537,125717406.5,10198,DEEDEV
2025-01-20,EQ,301.0,303.15,293.0,300.75,300.75,299.9,299.47,400.0,225.6,134741,40350773.9,8172,DEEDEV
2025-01-17,EQ,299.9,304.9,292.45,297.55,300.0,300.75,299.6,400.0,225.6,57072,17098590.15,2624,DEEDEV
2025-01-16,EQ,284.3,299.0,284.0,283.85,297.5,297.55,293.29,400.0,225.6,71135,20863353.85,2373,DEEDEV
2025-01-15,EQ,280.4,285.7,276.5,278.1,283.9,283.85,281.52,400.0,225.6,67581,19025317.3,4293,DEEDEV
2025-01-14,EQ,268.15,280.0,264.3,268.15,278.95,278.1,273.15,400.0,225.6,87367,23864042.45,8124,DEEDEV
2025-01-13,EQ,275.5,281.85,263.95,280.75,266.0,268.15,272.49,400.0,225.6,127113,34637509.45,5190,DEEDEV
2025-01-10,EQ,290.3,293.95,278.2,293.25,280.4,280.75,283.88,400.0,225.6,176678,50154993.45,4595,DEEDEV
2025-01-09,EQ,304.1,304.5,291.0,304.1,291.0,293.25,295.29,400.0,225.6,138435,40878336.9,3960,DEEDEV
2025-01-08,EQ,305.3,309.55,300.85,303.35,302.2,304.1,304.93,400.0,225.6,159700,48696993.05,4706,DEEDEV
2025-01-07,EQ,302.4,307.7,301.3,302.4,304.0,303.35,304.14,400.0,225.6,60826,18499610.5,1871,DEEDEV
2025-01-06,EQ,314.1,314.45,300.2,314.05,304.75,302.4,303.81,400.0,225.6,115627,35128652.8,3597,DEEDEV
2025-01-03,EQ,314.9,318.75,310.9,312.35,314.9,314.05,314.41,400.0,225.6,164597,51750801.85,3325,DEEDEV
2025-01-02,EQ,318.1,318.1,309.95,313.4,312.5,312.35,313.14,400.0,225.6,124848,39095447.95,3056,DEEDEV
2025-01-01,EQ,306.0,317.05,304.9,304.95,313.35,313.4,311.78,400.0,225.6,145501,45363980.55,3554,DEEDEV
2024-12-31,EQ,305.75,307.15,301.95,305.8,306.85,304.95,304.37,400.0,225.6,118534,36078715.3,3194,DEEDEV
2024-12-30,EQ,313.0,316.9,305.0,315.85,305.05,305.8,308.85,400.0,225.6,109656,33867087.35,3597,DEEDEV
2024-12-27,EQ,320.25,321.0,315.0,317.65,315.1,315.85,317.02,400.0,225.6,64206,20354366.05,2266,DEEDEV
2024-12-26,EQ,319.5,322.95,315.05,319.0,316.15,317.65,317.52,400.0,225.6,71344,22652988.75,2453,DEEDEV
2024-12-24,EQ,317.0,324.75,313.3,317.85,318.9,319.0,320.27,400.0,225.6,72601,23252210.35,2486,DEEDEV
2024-12-23,EQ,325.0,325.0,311.55,317.35,319.0,317.85,317.36,400.0,225.6,108098,34305523.6,3681,DEEDEV
2024-12-20,EQ,324.9,326.9,313.1,323.2,315.05,317.35,319.76,400.0,225.6,160327,51265651.55,4725,DEEDEV
2024-12-19,EQ,313.05,330.5,313.05,328.35,324.9,323.2,324.1,400.0,225.6,232211,75259083.05,5382,DEEDEV
2024-12-18,EQ,339.0,340.45,323.0,340.05,329.0,328.35,331.07,400.0,225.6,269888,89352394.35,5532,DEEDEV
2024-12-17,EQ,349.4,354.0,338.0,347.4,339.0,340.05,343.99,400.0,225.6,214461,73771614.45,4053,DEEDEV
2024-12-16,EQ,351.8,354.15,345.0,349.4,345.0,347.4,349.78,400.0,225.6,194558,68052731.75,3733,DEEDEV
2024-12-13,EQ,353.95,354.9,341.85,353.75,349.0,349.4,347.82,400.0,225.6,216817,75413882.05,4614,DEEDEV
2024-12-12,EQ,357.95,360.0,350.6,353.95,354.0,353.75,354.45,400.0,225.6,393190,139367707.1,6451,DEEDEV
2024-12-11,EQ,346.5,357.9,341.35,346.5,354.0,353.95,351.7,400.0,225.6,818362,287819423.2,12446,DEEDEV
2024-12-10,EQ,353.0,359.75,341.95,349.8,346.7,346.5,352.1,400.0,225.6,519968,183079299.6,8306,DEEDEV
2024-12-09,EQ,338.45,351.7,336.15,337.1,350.05,349.8,345.45,400.0,225.6,281301,97174891.5,5212,DEEDEV
2024-12-06,EQ,336.7,357.9,329.0,336.8,337.1,337.1,343.93,400.0,225.6,576581,198302422.65,10493,DEEDEV
2024-12-05,EQ,346.95,347.7,335.15,345.0,336.8,336.8,340.04,400.0,225.6,173306,58931452.1,4335,DEEDEV
2024-12-04,EQ,340.55,355.0,332.85,339.6,344.0,345.0,345.67,400.0,225.6,573303,198175821.4,11175,DEEDEV
2024-12-03,EQ,317.05,353.5,316.8,318.8,342.75,339.6,340.66,400.0,225.6,1489759,507506774.8,22330,DEEDEV
2024-12-02,EQ,307.0,323.4,305.0,304.85,318.45,318.8,317.96,400.0,225.6,300590,95576605.1,6748,DEEDEV
2024-11-29,EQ,319.45,319.5,303.0,314.15,304.3,304.85,309.8,400.0,225.6,275676,85403408.0,8084,DEEDEV
2024-11-28,EQ,302.65,320.0,300.15,298.2,319.7,314.15,310.66,400.0,225.6,481068,149447674.35,15058,DEEDEV
2024-11-27,EQ,287.2,306.0,285.05,286.1,302.6,298.2,299.45,400.0,225.6,399891,119745535.6,14395,DEEDEV
2024-11-26,EQ,289.45,294.25,285.0,289.45,285.0,286.1,288.02,400.0,225.6,100979,29084097.95,4335,DEEDEV
2024-11-25,EQ,289.0,295.0,285.0,280.55,286.3,289.45,290.85,400.0,225.6,203804,59276236.5,6619,DEEDEV
2024-11-22,EQ,275.15,282.9,270.95,274.35,281.0,280.55,279.43,400.0,225.6,134977,37717080.8,4781,DEEDEV
2024-11-21,EQ,279.0,280.2,271.0,280.25,272.9,274.35,274.49,400.0,225.6,176473,48439923.75,5739,DEEDEV
2024-11-19,EQ,273.0,291.45,273.0,274.8,278.45,280.25,284.3,400.0,225.6,249650,70974923.35,10993,DEEDEV
2024-11-18,EQ,278.0,282.7,269.7,281.25,275.0,274.8,274.85,400.0,225.6,245936,67596708.9,9751,DEEDEV
2024-11-14,EQ,274.9,285.0,273.3,272.65,282.0,281.25,280.65,400.0,225.6,347419,97502350.8,15844,DEEDEV
2024-11-13,EQ,293.0,293.05,270.0,292.65,274.35,272.65,279.92,400.0,225.6,562067,157336484.55,22502,DEEDEV
2024-11-12,EQ,294.0,309.2,282.1,259.4,286.5,292.65,299.07,400.0,225.6,3911732,1169884667.8,58485,DEEDEV
2024-11-11,EQ,264.75,269.7,254.0,264.75,262.0,259.4,262.89,400.0,225.6,62557,16445485.15,3640,DEEDEV
2024-11-08,EQ,273.15,273.65,262.2,273.15,266.0,264.75,268.41,400.0,225.6,66731,17911064.75,4325,DEEDEV
2024-11-07,EQ,277.35,277.45,271.15,275.3,274.0,273.15,275.26,400.0,225.6,73994,20367295.05,3684,DEEDEV
2024-11-06,EQ,271.4,279.2,267.95,267.6,277.6,275.3,273.68,400.0,225.6,100216,27427602.15,5152,DEEDEV
