DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,250.0,250.55,240.0,249.35,240.8,240.7,243.2,389.65,196.95,22793,5543280.6,1235,DHARMAJ
2025-01-23,EQ,236.7,257.75,236.7,238.85,248.65,249.35,250.27,389.65,196.95,102582,25673336.9,2520,DHARMAJ
2025-01-22,EQ,248.15,248.7,234.3,248.15,241.2,238.85,238.64,389.65,196.95,85861,20489899.65,3393,DHARMAJ
2025-01-21,EQ,258.4,259.4,246.65,257.1,248.9,248.15,251.27,389.65,196.95,38334,9632024.05,1725,DHARMAJ
2025-01-20,EQ,250.2,258.9,250.0,252.75,256.0,257.1,254.32,389.65,196.95,42413,10786577.15,1782,DHARMAJ
2025-01-17,EQ,253.0,254.55,250.55,253.3,253.95,252.75,252.9,389.65,196.95,47313,11965437.3,1332,DHARMAJ
2025-01-16,EQ,244.3,255.4,244.3,243.05,253.65,253.3,253.06,389.65,196.95,42977,10875687.65,1897,DHARMAJ
2025-01-15,EQ,252.6,256.55,236.6,251.3,245.6,243.05,247.13,389.65,196.95,77785,19222925.2,3444,DHARMAJ
2025-01-14,EQ,244.75,252.65,241.0,241.15,251.8,251.3,247.05,389.65,196.95,48473,11975342.05,2648,DHARMAJ
2025-01-13,EQ,250.5,254.2,240.0,253.05,241.7,241.15,245.52,389.65,196.95,61913,15200675.3,3489,DHARMAJ
2025-01-10,EQ,258.0,258.65,250.45,258.55,253.95,253.05,254.12,389.65,196.95,33219,8441446.9,2191,DHARMAJ
2025-01-09,EQ,257.8,266.95,255.6,260.15,258.35,258.55,262.05,389.65,196.95,70567,18491768.15,3318,DHARMAJ
2025-01-08,EQ,264.85,264.85,256.55,263.95,259.0,260.15,259.67,389.65,196.95,33696,8749983.1,1979,DHARMAJ
2025-01-07,EQ,258.95,265.95,257.65,257.85,264.0,263.95,262.45,389.65,196.95,34058,8938453.4,2164,DHARMAJ
2025-01-06,EQ,274.0,275.0,255.5,273.05,259.1,257.85,261.42,389.65,196.95,74584,19497459.35,4109,DHARMAJ
2025-01-03,EQ,264.0,276.85,264.0,264.4,271.0,273.05,270.41,389.65,196.95,49949,13506917.2,2260,DHARMAJ
2025-01-02,EQ,268.45,269.35,262.1,267.15,265.45,264.4,264.92,389.65,196.95,77751,20597872.5,4252,DHARMAJ
2025-01-01,EQ,256.35,272.95,254.95,255.35,267.0,267.15,266.96,389.65,196.95,90176,24073625.5,3021,DHARMAJ
2024-12-31,EQ,257.0,261.9,252.35,258.0,258.8,255.35,255.2,389.65,196.95,159726,40761698.7,3163,DHARMAJ
2024-12-30,EQ,268.15,272.3,257.1,268.55,259.0,258.0,262.5,389.65,196.95,123379,32386900.75,3416,DHARMAJ
2024-12-27,EQ,270.7,274.05,265.0,269.8,268.95,268.55,269.4,389.65,196.95,47229,12723520.55,2272,DHARMAJ
2024-12-26,EQ,274.05,280.4,264.2,276.75,269.6,269.8,271.01,389.65,196.95,108407,29379863.05,3451,DHARMAJ
2024-12-24,EQ,277.35,281.0,274.0,276.25,276.0,276.75,277.67,389.65,196.95,49737,13810438.6,1817,DHARMAJ
2024-12-23,EQ,284.6,294.9,271.5,283.15,279.0,276.25,279.52,389.65,196.95,97732,27317612.95,3542,DHARMAJ
2024-12-20,EQ,293.1,293.15,280.0,292.9,284.0,283.15,287.12,389.65,196.95,53922,15481908.15,1985,DHARMAJ
2024-12-19,EQ,292.0,296.4,286.05,294.85,291.0,292.9,293.06,389.65,196.95,37966,11126339.35,1573,DHARMAJ
2024-12-18,EQ,305.0,305.0,294.0,304.0,296.0,294.85,298.09,389.65,196.95,61660,18380476.4,1889,DHARMAJ
2024-12-17,EQ,311.45,315.0,302.1,310.45,304.5,304.0,308.15,389.65,196.95,57539,17730491.55,1929,DHARMAJ
2024-12-16,EQ,311.65,314.7,308.0,311.55,310.95,310.45,310.63,389.65,196.95,50361,15643799.1,1599,DHARMAJ
2024-12-13,EQ,304.9,313.0,300.8,305.25,312.45,311.55,306.57,389.65,196.95,57346,17580488.35,2008,DHARMAJ
2024-12-12,EQ,311.8,312.4,299.2,311.8,305.5,305.25,304.18,389.65,196.95,82359,25051628.6,2548,DHARMAJ
2024-12-11,EQ,318.45,320.0,310.35,317.45,311.0,311.8,314.34,389.65,196.95,33531,10540098.95,1440,DHARMAJ
2024-12-10,EQ,312.5,324.0,311.3,311.2,315.05,317.45,318.56,389.65,196.95,74550,23748550.1,1933,DHARMAJ
2024-12-09,EQ,319.0,321.4,309.6,320.6,312.35,311.2,315.44,389.65,196.95,71562,22573732.85,2351,DHARMAJ
2024-12-06,EQ,303.5,325.9,294.7,299.15,318.0,320.6,315.9,389.65,196.95,272453,86068042.7,7516,DHARMAJ
2024-12-05,EQ,310.55,311.4,297.1,310.55,298.05,299.15,302.98,389.65,196.95,84877,25716412.25,2939,DHARMAJ
2024-12-04,EQ,282.85,314.0,282.85,283.5,309.0,310.55,302.68,389.65,196.95,359665,108863686.95,8042,DHARMAJ
2024-12-03,EQ,276.1,285.0,275.7,277.0,282.55,283.5,282.13,389.65,196.95,78592,22173096.6,2504,DHARMAJ
2024-12-02,EQ,281.0,286.7,272.8,280.05,278.9,277.0,276.67,389.65,196.95,111910,30962077.6,3321,DHARMAJ
2024-11-29,EQ,280.55,284.75,276.65,281.9,280.35,280.05,279.97,389.65,196.95,46229,12942762.75,2090,DHARMAJ
2024-11-28,EQ,279.85,292.2,279.85,279.65,282.2,281.9,285.25,389.65,196.95,109775,31313719.25,2662,DHARMAJ
2024-11-27,EQ,281.15,286.05,275.35,281.2,280.45,279.65,280.68,389.65,196.95,85398,23969789.45,2918,DHARMAJ
2024-11-26,EQ,281.0,285.7,280.05,283.7,281.1,281.2,281.95,389.65,196.95,58060,16369788.55,1578,DHARMAJ
2024-11-25,EQ,292.0,296.4,281.35,286.85,281.4,283.7,286.13,389.65,196.95,71481,20453053.55,3147,DHARMAJ
2024-11-22,EQ,272.0,290.7,270.0,272.7,285.75,286.85,281.45,389.65,196.95,119385,33601204.1,3377,DHARMAJ
2024-11-21,EQ,272.1,275.0,270.0,274.6,272.5,272.7,272.42,389.65,196.95,94215,25666040.95,2147,DHARMAJ
2024-11-19,EQ,274.3,284.0,272.35,272.55,274.3,274.6,277.53,389.65,196.95,137122,38055157.6,2999,DHARMAJ
2024-11-18,EQ,275.0,281.45,261.55,288.2,275.5,272.55,271.85,389.65,196.95,373930,101653693.0,7570,DHARMAJ
2024-11-14,EQ,287.3,296.0,277.65,283.1,289.7,288.2,284.54,389.65,196.95,136605,38868968.95,3780,DHARMAJ
2024-11-13,EQ,283.05,292.05,276.1,282.9,284.45,283.1,282.39,389.65,196.95,232768,65731385.9,6011,DHARMAJ
2024-11-12,EQ,305.95,310.0,281.1,302.3,284.75,282.9,294.07,389.65,196.95,385950,113495460.1,11846,DHARMAJ
2024-11-11,EQ,342.0,342.0,296.2,362.5,301.0,302.3,309.32,389.65,196.95,979084,302851489.75,20002,DHARMAJ
2024-11-08,EQ,354.45,375.4,350.15,352.2,359.0,362.5,361.88,389.65,196.95,223265,80796116.65,6208,DHARMAJ
2024-11-07,EQ,345.9,358.9,341.75,341.7,351.6,352.2,352.91,389.65,196.95,135468,47807829.95,4120,DHARMAJ
2024-11-06,EQ,327.45,344.65,327.45,326.25,340.45,341.7,338.61,389.65,196.95,104268,35306017.75,2855,DHARMAJ
2024-11-05,EQ,326.0,331.6,323.75,325.65,327.8,326.25,327.08,389.65,196.95,27219,8902671.55,1233,DHARMAJ
2024-11-04,EQ,333.2,335.65,318.05,333.2,327.45,325.65,324.36,389.65,196.95,47324,15349819.85,2094,DHARMAJ
2024-11-01,EQ,329.5,347.45,322.0,327.5,335.9,333.2,335.07,389.65,196.95,39053,13085328.25,1212,DHARMAJ
2024-10-31,EQ,322.2,336.0,322.2,327.5,326.75,327.5,330.15,389.65,196.95,39986,13201522.65,1491,DHARMAJ
2024-10-30,EQ,318.0,332.95,316.0,317.6,328.95,327.5,328.32,389.65,196.95,54464,17881381.55,2582,DHARMAJ
2024-10-29,EQ,314.7,321.15,310.6,312.7,318.0,317.6,314.69,389.65,196.95,63577,20007247.0,2399,DHARMAJ
2024-10-28,EQ,303.0,325.0,294.05,303.95,311.7,312.7,311.29,389.65,196.95,95807,29824204.6,4601,DHARMAJ
2024-10-25,EQ,308.05,309.7,291.0,308.1,304.0,303.95,299.72,389.65,196.95,91767,27504855.7,4024,DHARMAJ
2024-10-24,EQ,313.6,316.1,306.9,314.15,309.7,308.1,310.18,389.65,196.95,39509,12254882.4,2557,DHARMAJ
2024-10-23,EQ,304.05,316.8,300.0,306.8,314.0,314.15,309.99,389.65,196.95,42092,13048140.85,2521,DHARMAJ
2024-10-22,EQ,314.35,315.0,303.25,313.35,309.3,306.8,307.36,389.65,196.95,82381,25320599.45,3554,DHARMAJ
2024-10-21,EQ,329.0,332.85,310.0,330.75,314.15,313.35,319.61,389.65,196.95,74567,23832564.85,2989,DHARMAJ
2024-10-18,EQ,330.0,335.5,326.1,333.2,331.6,330.75,330.3,389.65,196.95,63316,20913125.0,2335,DHARMAJ
2024-10-17,EQ,348.75,348.85,332.0,347.9,336.4,333.2,338.55,389.65,196.95,67741,22933513.65,2897,DHARMAJ
2024-10-16,EQ,345.8,354.65,344.45,345.85,346.55,347.9,348.87,389.65,196.95,48710,16993390.4,2367,DHARMAJ
2024-10-15,EQ,363.45,363.45,344.7,358.4,346.8,345.85,351.47,389.65,196.95,60792,21366473.25,3324,DHARMAJ
2024-10-14,EQ,350.9,362.2,340.0,346.15,361.45,358.4,350.55,389.65,196.95,181762,63715842.0,5046,DHARMAJ
2024-10-11,EQ,327.55,358.0,322.35,326.55,346.35,346.15,345.58,389.65,196.95,294528,101784019.2,7959,DHARMAJ
2024-10-10,EQ,329.15,335.05,325.05,331.1,325.1,326.55,329.91,389.65,196.95,58368,19255994.45,2186,DHARMAJ
2024-10-09,EQ,322.35,339.0,319.8,317.6,331.75,331.1,328.4,389.65,196.95,51700,16978316.65,2516,DHARMAJ
2024-10-08,EQ,303.0,324.0,303.0,316.9,324.0,317.6,313.83,389.65,196.95,68816,21596839.0,2792,DHARMAJ
2024-10-07,EQ,316.6,326.2,300.05,319.75,324.0,316.9,310.07,389.65,196.95,133763,41476015.75,4726,DHARMAJ
2024-10-04,EQ,324.9,331.95,317.0,324.9,318.4,319.75,324.51,389.65,196.95,81769,26534670.7,2208,DHARMAJ
2024-10-03,EQ,330.65,332.65,321.3,338.2,325.4,324.9,327.24,389.65,196.95,67560,22108504.75,2209,DHARMAJ
2024-10-01,EQ,338.1,340.0,330.8,339.8,336.6,338.2,336.42,389.65,196.95,26645,8963932.3,1045,DHARMAJ
