DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,2299.5,2305.6,2250.5,2294.2,2263.5,2259.55,2275.8,3115.0,1366.0,110943,252483689.5,24158,DOMS
2025-01-23,EQ,2340.95,2404.05,2286.0,2359.55,2299.85,2294.2,2331.49,3115.0,1366.0,187479,437105419.35,38688,DOMS
2025-01-22,EQ,2455.0,2494.95,2320.2,2509.35,2350.0,2359.55,2381.54,3115.0,1366.0,245332,584268776.0,48121,DOMS
2025-01-21,EQ,2572.3,2572.3,2481.55,2548.8,2519.9,2509.35,2513.32,3115.0,1366.0,60004,150809130.2,14821,DOMS
2025-01-20,EQ,2536.15,2562.95,2498.6,2536.15,2549.2,2548.8,2539.16,3115.0,1366.0,67240,170733342.65,11832,DOMS
2025-01-17,EQ,2559.35,2564.2,2493.25,2544.9,2540.0,2536.15,2524.57,3115.0,1366.0,111391,281214324.85,16298,DOMS
2025-01-16,EQ,2549.8,2632.0,2522.6,2536.45,2546.65,2544.9,2564.02,3115.0,1366.0,254479,652489779.25,27482,DOMS
2025-01-15,EQ,2618.55,2618.55,2521.0,2577.25,2540.0,2536.45,2551.92,3115.0,1366.0,71708,182992898.35,19371,DOMS
2025-01-14,EQ,2620.0,2634.0,2562.2,2609.7,2581.0,2577.25,2592.01,3115.0,1366.0,135533,351302301.55,20411,DOMS
2025-01-13,EQ,2593.0,2645.95,2523.0,2626.25,2615.65,2609.7,2577.56,3115.0,1366.0,151345,390100272.35,27263,DOMS
2025-01-10,EQ,2764.75,2764.75,2603.05,2753.35,2625.0,2626.25,2631.22,3115.0,1309.0,188665,496419889.25,34088,DOMS
2025-01-09,EQ,2759.95,2799.95,2736.1,2747.85,2746.2,2753.35,2762.8,3115.0,1309.0,104231,287969906.0,19544,DOMS
2025-01-08,EQ,2790.4,2815.95,2730.05,2780.95,2740.05,2747.85,2756.74,3115.0,1309.0,121441,334781133.5,22501,DOMS
2025-01-07,EQ,2691.65,2813.0,2681.25,2718.15,2780.0,2780.95,2768.91,3115.0,1309.0,173129,479379171.55,29444,DOMS
2025-01-06,EQ,2769.95,2800.0,2676.1,2772.45,2682.75,2718.15,2728.52,3115.0,1309.0,227741,621395964.9,34834,DOMS
2025-01-03,EQ,2823.1,2827.75,2756.15,2813.3,2766.0,2772.45,2785.18,3115.0,1245.55,95463,265881871.15,15774,DOMS
2025-01-02,EQ,2725.4,2830.0,2704.0,2725.4,2812.55,2813.3,2777.37,3115.0,1245.55,194171,539283855.4,25036,DOMS
2025-01-01,EQ,2620.0,2740.0,2592.95,2621.4,2714.0,2725.4,2683.77,3115.0,1245.55,192641,517004179.55,20213,DOMS
2024-12-31,EQ,2610.0,2639.95,2588.85,2660.1,2620.0,2621.4,2613.79,3115.0,1245.55,112930,295175137.6,20379,DOMS
2024-12-30,EQ,2601.0,2682.75,2579.35,2601.3,2640.0,2660.1,2638.39,3115.0,1245.55,298753,788227165.4,32645,DOMS
2024-12-27,EQ,2557.0,2639.0,2536.0,2553.6,2581.35,2601.3,2594.95,3115.0,1245.0,305568,792933952.7,41826,DOMS
2024-12-26,EQ,2570.95,2570.95,2486.6,2564.25,2551.0,2553.6,2541.55,3115.0,1245.0,296186,752771729.05,32223,DOMS
2024-12-24,EQ,2526.75,2592.0,2526.75,2526.75,2556.0,2564.25,2560.49,3115.0,1245.0,372439,953626432.1,38841,DOMS
2024-12-23,EQ,2767.05,2786.0,2510.0,2781.0,2515.0,2526.75,2589.5,3115.0,1245.0,772496,2000375747.15,70399,DOMS
2024-12-20,EQ,2931.1,2949.6,2735.9,2930.3,2766.0,2781.0,2834.66,3115.0,1225.6,259035,734275601.6,33620,DOMS
2024-12-19,EQ,2900.0,2950.0,2840.0,3055.4,2930.95,2930.3,2885.69,3115.0,1225.6,3414277,9852534677.6,52599,DOMS
2024-12-18,EQ,3078.05,3100.0,2981.6,3052.05,3048.0,3055.4,3039.39,3115.0,1225.6,120477,366176205.6,19990,DOMS
2024-12-17,EQ,2875.05,3115.0,2875.05,2912.75,3050.0,3052.05,3059.42,3115.0,1225.6,517444,1583080158.5,59921,DOMS
2024-12-16,EQ,2971.75,2987.75,2901.35,2978.6,2902.5,2912.75,2929.73,3096.4,1225.6,70361,206138707.95,12962,DOMS
2024-12-13,EQ,2936.0,3004.0,2860.0,2976.55,2955.5,2978.6,2936.92,3096.4,1225.6,128920,378627554.5,22180,DOMS
2024-12-12,EQ,2987.0,3033.0,2955.1,2995.5,2972.05,2976.55,2993.36,3096.4,1225.6,67521,202114333.45,15254,DOMS
2024-12-11,EQ,2982.65,3042.7,2955.1,2962.2,2975.0,2995.5,3001.21,3096.4,1225.6,177681,533257271.75,23992,DOMS
2024-12-10,EQ,2955.95,2978.3,2918.8,2943.0,2964.0,2962.2,2955.56,3096.4,1225.6,57490,169914917.4,9430,DOMS
2024-12-09,EQ,2881.0,2992.0,2881.0,2913.45,2945.0,2943.0,2947.38,3096.4,1225.6,96327,283912582.55,18174,DOMS
2024-12-06,EQ,2929.6,2943.0,2882.0,2902.15,2916.5,2913.45,2913.56,3096.4,1225.6,72266,210551187.05,10584,DOMS
2024-12-05,EQ,2899.9,2917.9,2832.0,2856.15,2915.0,2902.15,2873.09,3096.4,1225.6,145055,416755925.15,17991,DOMS
