DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,240.9,245.05,226.0,237.9,229.2,228.2,235.66,593.7,226.0,166865,39323519.05,5485,ECOSMOBLTY
2025-01-23,EQ,250.0,250.85,236.0,250.0,238.9,237.9,243.23,593.7,234.25,156106,37969225.85,5094,ECOSMOBLTY
2025-01-22,EQ,260.7,261.0,242.8,256.85,250.15,250.0,250.38,593.7,234.25,157266,39376007.4,4565,ECOSMOBLTY
2025-01-21,EQ,264.95,283.0,254.9,263.7,259.9,256.85,270.19,593.7,234.25,607452,164127372.55,13862,ECOSMOBLTY
2025-01-20,EQ,256.45,288.25,253.55,252.65,264.3,263.7,272.77,593.7,234.25,730466,199246095.05,17541,ECOSMOBLTY
2025-01-17,EQ,253.5,257.85,250.15,252.7,252.1,252.65,253.77,593.7,234.25,54938,13941699.1,2079,ECOSMOBLTY
2025-01-16,EQ,255.0,258.9,248.15,249.7,253.0,252.7,253.5,593.7,234.25,89380,22658139.75,3275,ECOSMOBLTY
2025-01-15,EQ,255.5,265.55,248.35,255.5,248.75,249.7,252.91,593.7,234.25,112475,28446535.45,3757,ECOSMOBLTY
2025-01-14,EQ,240.1,259.8,236.75,236.55,256.35,255.5,249.09,593.7,234.25,167141,41633894.9,4861,ECOSMOBLTY
2025-01-13,EQ,248.35,250.5,234.25,251.15,236.0,236.55,240.29,593.7,234.25,169548,40741479.05,4672,ECOSMOBLTY
2025-01-10,EQ,262.3,262.3,249.1,263.0,251.4,251.15,253.42,593.7,249.1,96175,24372763.85,3772,ECOSMOBLTY
2025-01-09,EQ,270.5,270.9,260.55,269.8,262.3,263.0,264.78,593.7,258.8,66132,17510337.45,2353,ECOSMOBLTY
2025-01-08,EQ,265.7,271.95,258.8,264.65,271.0,269.8,265.09,593.7,258.8,164010,43478003.3,5242,ECOSMOBLTY
2025-01-07,EQ,266.0,269.9,261.8,266.25,265.75,264.65,264.88,593.7,261.8,127134,33674995.5,3527,ECOSMOBLTY
2025-01-06,EQ,287.0,287.9,263.35,286.85,266.0,266.25,273.22,593.7,263.35,216543,59163413.95,7304,ECOSMOBLTY
2025-01-03,EQ,291.0,296.55,285.7,288.3,287.0,286.85,290.95,593.7,275.3,102504,29823579.8,3425,ECOSMOBLTY
2025-01-02,EQ,292.0,296.9,287.15,286.85,288.6,288.3,290.67,593.7,275.3,100156,29112652.1,2888,ECOSMOBLTY
2025-01-01,EQ,283.5,290.0,281.0,280.4,290.0,286.85,284.59,593.7,275.3,64902,18470163.9,2183,ECOSMOBLTY
