DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,263.0,263.9,247.2,262.45,247.9,249.25,254.18,391.6,205.05,2363480,600748820.65,25373,EIEL
2025-01-23,EQ,257.6,272.7,254.8,257.25,262.9,262.45,264.72,391.6,205.05,4558811,1206805286.1,34000,EIEL
2025-01-22,EQ,266.0,267.0,248.05,265.1,257.5,257.25,254.79,391.6,205.05,3848910,980680559.35,41206,EIEL
2025-01-21,EQ,277.5,282.5,263.95,275.85,265.4,265.1,271.4,391.6,205.05,2582460,700869114.25,29462,EIEL
2025-01-20,EQ,278.0,279.85,269.3,275.95,276.0,275.85,274.53,391.6,205.05,2450432,672712151.4,24598,EIEL
2025-01-17,EQ,278.95,280.0,272.6,279.5,276.0,275.95,276.04,391.6,205.05,1954650,539559161.55,20183,EIEL
2025-01-16,EQ,282.65,285.4,276.95,276.7,279.45,279.5,281.0,391.6,205.05,2628164,738509036.8,28036,EIEL
2025-01-15,EQ,284.0,286.9,273.1,280.1,276.7,276.7,280.88,391.6,205.05,3968251,1114611890.2,30733,EIEL
2025-01-14,EQ,270.75,282.65,265.3,266.45,280.75,280.1,275.68,391.6,205.05,6513255,1795558015.75,51281,EIEL
2025-01-13,EQ,281.4,290.0,263.05,285.7,267.1,266.45,275.63,391.6,205.05,5261465,1450221385.95,46633,EIEL
2025-01-10,EQ,294.25,296.5,281.0,294.3,287.0,285.7,288.73,391.6,205.05,4979631,1437749698.7,45156,EIEL
2025-01-09,EQ,306.0,309.3,292.35,306.4,294.9,294.3,301.48,391.6,205.05,3660748,1103637963.15,37224,EIEL
2025-01-08,EQ,311.85,315.9,304.3,311.0,306.35,306.4,308.93,391.6,205.05,4554130,1406903850.75,41140,EIEL
2025-01-07,EQ,309.0,317.95,306.0,305.9,310.3,311.0,312.22,391.6,205.05,6629111,2069734130.95,49952,EIEL
2025-01-06,EQ,328.45,329.2,302.55,325.45,307.0,305.9,315.92,391.6,205.05,9669824,3054891103.65,85410,EIEL
2025-01-03,EQ,315.8,339.85,312.25,316.6,324.35,325.45,328.58,391.6,205.05,25011530,8218219815.35,213291,EIEL
2025-01-02,EQ,317.0,322.8,311.65,315.0,316.6,316.6,316.56,391.6,205.05,8114592,2568737509.45,78307,EIEL
2025-01-01,EQ,313.7,319.0,309.0,311.87,316.95,315.0,314.05,391.6,205.05,7709842,2421302551.55,66399,EIEL
2024-12-31,EQ,301.5,320.84,293.05,301.91,313.0,311.87,310.21,391.6,205.05,24080768,7469993668.95,219392,EIEL
2024-12-30,EQ,316.1,319.49,298.01,319.86,301.5,301.91,306.0,391.6,205.05,11628123,3558202199.85,125865,EIEL
2024-12-27,EQ,326.9,333.58,317.25,327.37,318.99,319.86,324.04,391.6,205.05,8675365,2811146239.42,94440,EIEL
2024-12-26,EQ,326.8,354.65,314.03,324.68,323.4,327.37,334.55,391.6,205.05,25680870,8591411506.18,255453,EIEL
2024-12-24,EQ,324.45,331.9,314.1,321.86,321.5,324.68,323.75,391.6,205.05,16867361,5460736328.26,168241,EIEL
2024-12-23,EQ,324.35,338.8,300.0,320.92,320.0,321.86,320.39,391.6,205.05,35161975,11265536839.28,308808,EIEL
2024-12-20,EQ,344.0,359.4,315.38,350.43,321.0,320.92,336.0,391.6,205.05,27479602,9233030303.93,258872,EIEL
2024-12-19,EQ,330.0,369.7,316.15,342.53,343.8,350.43,351.58,391.6,205.05,55127588,19381753592.26,459748,EIEL
2024-12-18,EQ,371.7,371.7,342.53,380.59,342.53,342.53,354.37,391.6,205.05,31587435,11193539336.44,227253,EIEL
2024-12-17,EQ,344.03,391.6,341.55,329.71,376.9,380.59,361.69,391.6,205.05,103795543,37541637130.59,704096,EIEL
2024-12-16,EQ,305.0,340.0,303.84,294.41,339.8,329.71,318.23,340.0,205.05,69407027,22087101734.7,463829,EIEL
2024-12-13,EQ,268.3,298.75,264.11,269.62,298.5,294.41,286.74,302.42,205.05,38029446,10904567250.16,270631,EIEL
2024-12-12,EQ,281.0,282.4,267.4,282.69,268.0,269.62,272.63,302.42,205.05,7531554,2053348597.25,74325,EIEL
2024-12-11,EQ,288.3,295.87,280.44,288.0,281.9,282.69,286.52,302.42,205.05,16036417,4594711023.01,140797,EIEL
2024-12-10,EQ,281.75,302.42,280.08,278.35,288.5,288.0,291.52,302.42,205.05,40680591,11859239781.17,320902,EIEL
2024-12-09,EQ,252.75,284.83,252.5,251.3,278.6,278.35,274.1,284.83,205.05,37086510,10165507194.77,287119,EIEL
2024-12-06,EQ,252.9,255.78,245.1,252.34,250.3,251.3,250.62,275.7,205.05,7370373,1847131196.99,77191,EIEL
2024-12-05,EQ,263.6,267.97,250.0,259.17,251.29,252.34,257.95,275.7,205.05,11454832,2954723542.27,108168,EIEL
2024-12-04,EQ,259.45,275.7,241.75,257.7,260.05,259.17,260.35,275.7,205.05,42216033,10990802339.81,329896,EIEL
2024-12-03,EQ,223.9,263.8,223.3,222.67,257.04,257.7,247.88,263.8,205.05,50582911,12538498033.12,341729,EIEL
2024-12-02,EQ,209.0,225.0,208.1,207.07,221.76,222.67,217.82,233.7,205.05,20833739,4537990738.51,160840,EIEL
2024-11-29,EQ,220.0,233.7,205.05,148.0,207.16,207.07,218.48,233.7,205.05,55409608,12105618400.14,443717,EIEL
