DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,170.85,170.85,154.5,168.31,158.0,159.34,161.54,282.0,129.3,178373,28813938.38,5444,ELIN
2025-01-23,EQ,168.0,172.58,165.3,167.98,165.5,168.31,168.02,282.0,129.3,92520,15545137.87,4017,ELIN
2025-01-22,EQ,172.0,172.89,165.2,171.89,166.75,167.98,167.59,282.0,129.3,64306,10776820.52,3174,ELIN
2025-01-21,EQ,175.39,181.76,170.2,173.98,171.9,171.89,175.93,282.0,129.3,133119,23419847.31,4143,ELIN
2025-01-20,EQ,178.39,178.4,172.7,176.7,173.77,173.98,174.07,282.0,129.3,133066,23162775.73,2446,ELIN
2025-01-17,EQ,172.88,177.47,172.82,174.6,175.1,176.7,174.96,282.0,129.3,58000,10147482.99,1755,ELIN
2025-01-16,EQ,175.25,177.99,173.1,172.66,175.0,174.6,175.52,282.0,129.3,105117,18450604.58,2460,ELIN
2025-01-15,EQ,174.4,177.94,169.65,172.01,173.0,172.66,173.63,282.0,129.3,96475,16751007.44,3237,ELIN
2025-01-14,EQ,169.95,175.0,167.3,167.86,172.06,172.01,171.57,282.0,129.3,158083,27122388.45,4758,ELIN
2025-01-13,EQ,180.0,182.24,162.61,181.38,169.0,167.86,171.19,282.0,129.3,270066,46232407.85,9169,ELIN
2025-01-10,EQ,188.5,188.74,175.02,188.2,182.0,181.38,182.45,282.0,129.3,229650,41899931.65,6722,ELIN
2025-01-09,EQ,195.25,198.42,186.1,197.66,187.7,188.2,190.84,282.0,129.3,145721,27808801.01,2757,ELIN
2025-01-08,EQ,201.0,201.05,195.21,202.71,197.99,197.66,197.64,282.0,129.3,109743,21689331.74,3062,ELIN
2025-01-07,EQ,199.45,204.9,196.81,196.5,203.6,202.71,201.98,282.0,129.3,119371,24110752.66,2962,ELIN
2025-01-06,EQ,206.9,208.39,195.5,204.85,197.0,196.5,200.69,282.0,129.3,134191,26930603.17,2900,ELIN
2025-01-03,EQ,203.9,209.03,202.51,202.62,205.25,204.85,206.18,282.0,129.3,87248,17988963.85,2492,ELIN
2025-01-02,EQ,208.99,209.62,200.9,207.6,203.0,202.62,205.08,282.0,129.3,189856,38935993.56,3757,ELIN
2025-01-01,EQ,210.7,212.76,207.25,209.71,208.0,207.6,209.44,282.0,129.3,85623,17933070.35,2249,ELIN
2024-12-31,EQ,197.4,215.65,197.04,199.96,209.85,209.71,207.38,282.0,129.3,336508,69786296.57,7632,ELIN
2024-12-30,EQ,207.8,209.7,199.0,206.78,199.11,199.96,202.11,282.0,129.3,133740,27029780.3,4110,ELIN
2024-12-27,EQ,209.97,213.8,205.35,208.79,207.24,206.78,209.19,282.0,129.3,76488,16000491.36,2331,ELIN
2024-12-26,EQ,209.69,215.0,207.48,207.97,209.34,208.79,210.14,282.0,129.3,130370,27395803.53,3002,ELIN
2024-12-24,EQ,208.8,215.9,206.99,207.9,209.1,207.97,211.81,282.0,129.3,119585,25329628.98,2709,ELIN
2024-12-23,EQ,215.6,222.01,205.91,213.33,209.0,207.9,212.45,282.0,129.3,193593,41128551.09,4446,ELIN
2024-12-20,EQ,223.37,224.79,212.39,223.37,214.48,213.33,216.71,282.0,129.3,211629,45862299.28,4083,ELIN
2024-12-19,EQ,212.95,224.35,211.6,213.74,223.92,223.37,219.78,282.0,129.3,242468,53290498.39,5745,ELIN
2024-12-18,EQ,213.15,224.5,212.84,212.29,215.0,213.74,217.08,282.0,129.3,378029,82063360.05,7813,ELIN
2024-12-17,EQ,215.94,221.0,211.0,215.76,211.7,212.29,215.09,282.0,129.3,150187,32303600.29,4805,ELIN
2024-12-16,EQ,221.4,228.66,213.21,219.33,214.52,215.76,219.86,282.0,129.3,219643,48290829.3,6175,ELIN
2024-12-13,EQ,216.59,225.11,211.35,216.59,220.0,219.33,216.02,282.0,129.3,100845,21784918.3,2547,ELIN
2024-12-12,EQ,221.1,223.7,215.6,221.28,217.47,216.59,218.41,282.0,129.3,67014,14636243.62,1979,ELIN
2024-12-11,EQ,224.8,225.39,220.1,223.74,221.63,221.28,222.8,282.0,129.3,73437,16362082.12,1756,ELIN
2024-12-10,EQ,220.05,235.0,220.02,223.93,223.11,223.74,226.8,282.0,129.3,245388,55654514.03,6863,ELIN
2024-12-09,EQ,227.59,230.29,221.35,227.69,223.97,223.93,226.3,282.0,129.3,90331,20442073.65,2543,ELIN
