DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,805.0,819.0,785.0,803.9,790.0,789.15,799.22,1016.0,356.15,289694,231529089.5,22391,EMSLIMITED
2025-01-23,EQ,786.0,816.0,785.0,791.25,803.6,803.9,806.49,1016.0,356.15,169791,136935577.4,15947,EMSLIMITED
2025-01-22,EQ,825.7,825.7,771.0,824.1,788.1,791.25,788.33,1016.0,356.15,369916,291614715.55,29359,EMSLIMITED
2025-01-21,EQ,856.0,875.0,819.55,852.5,828.0,824.1,846.68,1016.0,356.15,301538,255306328.0,24429,EMSLIMITED
2025-01-20,EQ,847.7,858.0,823.7,844.25,850.5,852.5,843.77,1016.0,356.15,243634,205570901.35,16966,EMSLIMITED
2025-01-17,EQ,855.0,861.7,838.1,856.95,846.55,844.25,848.88,1016.0,356.15,315989,268236647.4,25101,EMSLIMITED
2025-01-16,EQ,809.45,865.0,809.4,798.8,863.0,856.95,835.63,1016.0,356.15,748685,625625109.3,53081,EMSLIMITED
2025-01-15,EQ,802.05,812.35,790.15,796.45,799.7,798.8,802.02,1016.0,356.15,215072,172492225.05,14799,EMSLIMITED
2025-01-14,EQ,770.0,807.3,766.55,760.7,799.9,796.45,791.17,1016.0,356.15,299638,237065663.2,24240,EMSLIMITED
2025-01-13,EQ,808.0,811.95,748.85,807.15,763.85,760.7,780.13,1016.0,356.15,427230,333293331.4,33826,EMSLIMITED
2025-01-10,EQ,819.0,824.0,781.65,815.85,807.15,807.15,806.24,1016.0,356.15,389966,314404304.75,27576,EMSLIMITED
2025-01-09,EQ,834.15,838.55,811.25,834.35,818.95,815.85,821.79,1016.0,356.15,243729,200294530.25,18195,EMSLIMITED
2025-01-08,EQ,838.0,854.65,815.0,835.25,834.0,834.35,833.48,1016.0,356.15,652363,543729796.05,40121,EMSLIMITED
2025-01-07,EQ,811.95,842.0,811.9,812.95,834.3,835.25,833.79,1016.0,356.15,374501,312256272.6,20206,EMSLIMITED
2025-01-06,EQ,869.05,873.95,808.05,868.8,819.0,812.95,827.5,1016.0,356.15,580366,480250183.65,47141,EMSLIMITED
2025-01-03,EQ,867.6,889.0,865.05,867.6,870.05,868.8,877.36,1016.0,356.15,350199,307250872.4,20956,EMSLIMITED
2025-01-02,EQ,869.6,873.0,858.0,870.1,866.9,867.6,865.78,1016.0,356.15,260986,225956305.5,15358,EMSLIMITED
2025-01-01,EQ,851.65,873.95,848.75,851.65,870.0,870.1,863.72,1016.0,356.15,256437,221489154.45,15583,EMSLIMITED
2024-12-31,EQ,835.0,855.0,828.3,839.25,852.45,851.65,843.27,1016.0,356.15,262035,220965481.35,12964,EMSLIMITED
2024-12-30,EQ,870.0,870.0,835.2,873.15,841.5,839.25,850.02,1016.0,356.15,442583,376205351.2,20796,EMSLIMITED
2024-12-27,EQ,866.0,886.5,850.65,860.95,870.0,873.15,869.93,1016.0,356.15,677670,589525010.8,27320,EMSLIMITED
2024-12-26,EQ,918.45,918.45,855.0,919.75,859.1,860.95,874.74,1016.0,356.15,868581,759779821.3,36678,EMSLIMITED
2024-12-24,EQ,908.4,944.0,905.05,900.25,919.0,919.75,924.13,1016.0,356.15,850401,785878830.15,37559,EMSLIMITED
2024-12-23,EQ,916.85,923.9,876.75,901.75,905.0,900.25,899.85,1016.0,356.15,758946,682936628.2,28993,EMSLIMITED
2024-12-20,EQ,958.0,960.2,891.25,954.6,910.0,901.75,925.44,1016.0,356.15,828690,766902339.4,31271,EMSLIMITED
2024-12-19,EQ,932.0,968.8,932.0,971.05,954.65,954.6,954.36,1016.0,356.15,1005823,959921782.3,33043,EMSLIMITED
2024-12-18,EQ,972.0,1016.0,952.0,952.55,963.0,971.05,979.59,1016.0,356.15,4944835,4843927068.6,115477,EMSLIMITED
2024-12-17,EQ,867.0,969.9,862.0,861.8,963.85,952.55,928.17,969.9,356.15,3285226,3049237815.8,97777,EMSLIMITED
2024-12-16,EQ,864.5,881.9,855.05,861.7,863.4,861.8,866.98,944.9,356.15,396159,343459958.85,15077,EMSLIMITED
2024-12-13,EQ,883.0,884.8,844.9,887.4,862.4,861.7,861.06,944.9,356.15,533021,458965249.8,24907,EMSLIMITED
2024-12-12,EQ,884.95,914.0,870.4,881.65,879.7,887.4,894.12,944.9,356.15,1000187,894288202.0,34290,EMSLIMITED
2024-12-11,EQ,886.5,903.55,880.0,884.85,881.8,881.65,888.03,944.9,356.15,329641,292729675.3,16328,EMSLIMITED
2024-12-10,EQ,918.9,921.8,875.55,913.85,888.0,884.85,894.54,944.9,356.15,603394,539759980.05,26109,EMSLIMITED
2024-12-09,EQ,903.95,944.9,903.95,893.6,917.0,913.85,927.21,944.9,356.15,2192445,2032861297.65,56684,EMSLIMITED
2024-12-06,EQ,841.0,900.0,838.5,833.85,890.25,893.6,882.78,935.0,356.15,2358451,2081992550.9,68730,EMSLIMITED
2024-12-05,EQ,829.2,850.15,817.1,825.8,834.05,833.85,835.49,935.0,356.15,321555,268656143.55,15190,EMSLIMITED
2024-12-04,EQ,855.0,860.0,821.15,854.6,828.0,825.8,837.53,935.0,356.15,417903,350004866.25,24892,EMSLIMITED
2024-12-03,EQ,850.0,871.0,840.1,845.05,853.5,854.6,857.77,935.0,356.15,618779,530767968.75,29281,EMSLIMITED
2024-12-02,EQ,809.0,851.0,798.1,806.35,846.0,845.05,836.83,935.0,356.15,988930,827563715.6,39616,EMSLIMITED
2024-11-29,EQ,797.95,816.95,794.1,796.35,806.0,806.35,803.89,935.0,356.15,289630,232831779.2,13143,EMSLIMITED
2024-11-28,EQ,808.0,808.0,793.0,806.6,798.1,796.35,801.32,935.0,356.15,162601,130296095.5,9522,EMSLIMITED
2024-11-27,EQ,819.9,819.9,795.85,803.7,804.5,806.6,803.33,935.0,356.15,206169,165622475.0,12596,EMSLIMITED
2024-11-26,EQ,747.0,842.3,747.0,749.75,808.2,803.7,808.15,935.0,356.15,936622,756927868.2,46785,EMSLIMITED
2024-11-25,EQ,758.85,768.65,746.5,743.85,750.0,749.75,756.27,935.0,356.15,186181,140802978.85,11592,EMSLIMITED
2024-11-22,EQ,741.95,751.35,736.05,738.95,748.0,743.85,743.31,935.0,356.15,166160,123509095.25,9372,EMSLIMITED
2024-11-21,EQ,742.0,765.15,735.1,746.15,739.0,738.95,745.79,935.0,356.15,228725,170580344.65,15743,EMSLIMITED
2024-11-19,EQ,760.0,769.0,741.15,755.45,744.1,746.15,759.38,935.0,356.15,195759,148655193.05,12132,EMSLIMITED
2024-11-18,EQ,766.45,771.0,743.5,761.7,754.0,755.45,758.27,935.0,356.15,152771,115842385.05,10234,EMSLIMITED
2024-11-14,EQ,736.05,779.0,736.05,742.1,758.0,761.7,764.23,935.0,356.15,262071,200282438.5,17437,EMSLIMITED
2024-11-13,EQ,777.0,779.9,734.25,763.05,742.5,742.1,750.21,935.0,356.15,361880,271485911.4,30046,EMSLIMITED
2024-11-12,EQ,776.8,781.0,741.0,772.35,762.0,763.05,772.7,935.0,356.15,155103,119847784.85,10311,EMSLIMITED
2024-11-11,EQ,785.6,787.7,764.0,789.65,772.0,772.35,776.06,935.0,356.15,175423,136138844.2,11643,EMSLIMITED
2024-11-08,EQ,813.0,813.0,785.0,811.1,791.5,789.65,797.28,935.0,303.55,160062,127613785.95,10682,EMSLIMITED
2024-11-07,EQ,828.0,836.0,806.0,827.05,820.0,811.1,819.16,935.0,303.55,160145,131184120.3,10978,EMSLIMITED
2024-11-06,EQ,801.0,835.0,801.0,799.35,829.0,827.05,822.89,935.0,303.55,322314,265230163.4,16096,EMSLIMITED
2024-11-05,EQ,805.05,822.0,790.0,807.5,799.15,799.35,806.17,935.0,303.55,221058,178209441.4,14644,EMSLIMITED
2024-11-04,EQ,807.35,813.0,778.7,807.35,807.95,807.5,796.45,935.0,303.55,224610,178891330.2,20191,EMSLIMITED
2024-11-01,EQ,805.0,814.35,800.15,795.45,807.4,807.35,807.04,935.0,292.15,92000,74247255.05,6506,EMSLIMITED
2024-10-31,EQ,785.55,803.45,778.0,790.3,798.0,795.45,792.29,935.0,292.15,157812,125033193.8,7142,EMSLIMITED
2024-10-30,EQ,766.0,798.0,759.05,765.75,795.0,790.3,784.99,935.0,292.15,125791,98744842.2,6622,EMSLIMITED
2024-10-29,EQ,767.8,774.0,750.0,768.5,771.0,765.75,760.26,935.0,292.15,122326,92999165.4,6658,EMSLIMITED
2024-10-28,EQ,740.0,770.8,731.75,737.4,768.1,768.5,758.51,935.0,292.15,198192,150330300.1,10738,EMSLIMITED
