DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2023-02-02,EQ,119.55,125.2,118.25,119.6,118.5,120.3,122.22,136.75,75.0,692359,84616853.15,24136,EQUITAS
2023-02-01,EQ,123.0,125.65,117.1,121.7,120.25,119.6,122.77,136.75,75.0,1414455,173652112.2,19839,EQUITAS
2023-01-31,EQ,125.75,126.0,121.0,125.65,121.95,121.7,122.36,136.75,75.0,973860,119163909.35,10868,EQUITAS
2023-01-30,EQ,122.2,126.9,121.0,125.0,126.05,125.65,123.64,136.75,75.0,859416,106254967.05,10778,EQUITAS
2023-01-27,EQ,125.0,126.2,121.35,126.85,124.25,125.0,123.61,136.75,75.0,724162,89516947.85,7850,EQUITAS
2023-01-25,EQ,128.15,128.15,123.15,125.05,125.55,126.85,125.58,136.75,75.0,567202,71227213.95,7137,EQUITAS
2023-01-24,EQ,127.0,128.0,123.8,127.1,125.45,125.05,125.66,136.75,75.0,427772,53751693.25,7329,EQUITAS
2023-01-23,EQ,129.0,129.85,126.8,127.15,126.85,127.1,127.96,136.75,75.0,436720,55881187.55,7386,EQUITAS
2023-01-20,EQ,127.5,129.05,126.75,126.4,127.0,127.15,127.67,136.75,75.0,451903,57693079.75,4685,EQUITAS
2023-01-19,EQ,128.15,128.95,124.1,128.45,127.45,126.4,127.53,136.75,75.0,306228,39054713.6,4277,EQUITAS
2023-01-18,EQ,126.0,129.4,126.0,127.0,128.45,128.45,127.97,136.75,75.0,416439,53292834.85,7364,EQUITAS
2023-01-17,EQ,130.85,131.55,126.0,130.5,127.0,127.0,128.41,136.75,75.0,432654,55558608.05,6212,EQUITAS
2023-01-16,EQ,128.1,131.5,128.1,129.25,130.9,130.5,130.04,136.75,75.0,461327,59991379.4,7062,EQUITAS
2023-01-13,EQ,129.0,130.25,127.6,129.2,129.15,129.25,128.89,136.75,75.0,489232,63058340.6,6096,EQUITAS
2023-01-12,EQ,127.2,129.9,125.15,126.45,129.3,129.2,128.13,136.75,75.0,752744,96447632.3,8021,EQUITAS
2023-01-11,EQ,126.15,128.85,123.1,126.15,127.0,126.45,126.33,136.75,75.0,1211688,153078290.85,12293,EQUITAS
2023-01-10,EQ,129.15,129.15,122.9,128.5,126.1,126.15,125.24,136.75,75.0,899201,112614427.45,11449,EQUITAS
2023-01-09,EQ,135.0,135.0,126.8,131.95,129.5,128.5,130.26,136.75,75.0,1072807,139745745.3,13248,EQUITAS
2023-01-06,EQ,130.75,133.75,129.45,130.05,132.0,131.95,132.4,136.75,75.0,2429317,321646251.5,26180,EQUITAS
2023-01-05,EQ,132.2,133.45,128.4,131.2,129.85,130.05,131.35,136.75,75.0,2312010,303682856.95,18722,EQUITAS
2023-01-04,EQ,130.1,136.75,129.6,129.4,131.05,131.2,133.16,136.75,75.0,5619630,748310576.05,84072,EQUITAS
2023-01-03,EQ,129.3,131.4,126.75,129.4,129.9,129.4,129.55,131.4,75.0,2594187,336078977.25,28413,EQUITAS
2023-01-02,EQ,125.0,130.45,124.3,125.35,128.9,129.4,128.65,130.45,75.0,2249787,289428576.85,24180,EQUITAS
2022-12-30,EQ,125.0,126.9,123.55,124.65,124.7,125.35,125.5,130.0,75.0,1759704,220836509.25,23351,EQUITAS
2022-12-29,EQ,124.75,125.15,122.15,125.0,124.0,124.65,123.86,130.0,75.0,509425,63095062.05,6733,EQUITAS
2022-12-28,EQ,123.0,126.9,120.95,123.45,124.25,125.0,125.34,130.0,75.0,2740812,343543527.9,32750,EQUITAS
2022-12-27,EQ,120.0,124.35,118.6,117.65,123.75,123.45,122.11,130.0,75.0,1542899,188405305.85,22882,EQUITAS
2022-12-26,EQ,114.0,122.0,114.0,112.9,117.5,117.65,117.1,130.0,75.0,1484703,173865441.15,36759,EQUITAS
2022-12-23,EQ,118.4,118.4,110.45,119.35,114.25,112.9,113.94,130.0,75.0,736663,83932952.65,10820,EQUITAS
2022-12-22,EQ,122.0,122.6,116.6,121.65,119.35,119.35,119.05,130.0,75.0,2409240,286819296.65,13674,EQUITAS
2022-12-21,EQ,124.0,126.0,120.65,124.1,122.0,121.65,123.37,130.0,75.0,1675309,206678534.15,13795,EQUITAS
2022-12-20,EQ,125.05,127.1,122.95,125.85,124.0,124.1,124.96,130.0,75.0,871012,108843950.9,8886,EQUITAS
2022-12-19,EQ,126.15,126.45,123.6,125.6,125.95,125.85,125.48,130.0,75.0,709562,89036303.9,10908,EQUITAS
2022-12-16,EQ,125.35,130.0,124.1,127.85,125.35,125.6,127.18,135.0,75.0,2183867,277739878.6,16372,EQUITAS
