DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,233.97,243.99,226.63,232.38,243.99,243.99,238.54,530.0,169.4,440661,105113760.14,5939,EXICOM
2025-01-23,EQ,237.7,240.02,231.0,239.52,232.89,232.38,235.71,530.0,169.4,239882,56541460.13,8053,EXICOM
2025-01-22,EQ,245.05,245.9,232.44,244.68,238.5,239.52,236.9,530.0,169.4,277373,65709612.97,9472,EXICOM
2025-01-21,EQ,249.8,255.19,243.47,248.39,244.0,244.68,248.59,530.0,169.4,243554,60544050.59,6527,EXICOM
2025-01-20,EQ,251.4,254.5,243.12,248.78,249.7,248.39,248.35,530.0,169.4,360838,89614223.68,12963,EXICOM
2025-01-17,EQ,238.0,248.79,232.0,236.95,248.79,248.78,242.24,530.0,169.4,723369,175227459.23,12000,EXICOM
2025-01-16,EQ,242.0,246.27,236.1,237.19,237.0,236.95,239.33,530.0,169.4,248115,59381437.32,10550,EXICOM
2025-01-15,EQ,245.9,245.9,235.0,239.96,238.7,237.19,240.01,530.0,169.4,238528,57248487.36,7752,EXICOM
2025-01-14,EQ,242.02,247.75,238.08,243.2,240.5,239.96,241.7,530.0,169.4,314226,75946875.39,7290,EXICOM
2025-01-13,EQ,254.0,254.0,243.2,256.01,243.2,243.2,246.91,530.0,169.4,241606,59654197.76,6079,EXICOM
2025-01-10,EQ,275.71,275.71,251.9,262.59,257.9,256.01,264.22,530.0,169.4,1306835,345293309.95,20449,EXICOM
2025-01-09,EQ,262.59,262.59,262.59,250.09,262.59,262.59,262.59,530.0,169.4,52292,13731356.28,506,EXICOM
2025-01-08,EQ,248.8,250.09,248.0,238.19,250.09,250.09,249.87,530.0,169.4,75147,18777058.98,693,EXICOM
2025-01-07,EQ,242.45,243.25,236.21,240.11,238.1,238.19,238.72,530.0,169.4,260386,62159032.27,7172,EXICOM
2025-01-06,EQ,256.0,258.0,240.11,252.75,240.11,240.11,245.32,530.0,169.4,353438,86706909.28,10493,EXICOM
