DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,484.7,484.7,464.75,480.6,467.95,468.45,471.23,734.0,435.3,379946,179043078.65,31672,FIRSTCRY
2025-01-23,EQ,449.8,484.95,446.6,449.8,483.0,480.6,474.26,734.0,435.3,647261,306972038.3,33734,FIRSTCRY
2025-01-22,EQ,464.9,465.0,435.3,461.7,447.0,449.8,441.92,734.0,435.3,1613031,712836294.35,38650,FIRSTCRY
2025-01-21,EQ,482.0,493.5,460.05,481.0,465.0,461.7,469.4,734.0,460.05,496098,232870153.75,37282,FIRSTCRY
2025-01-20,EQ,491.05,494.9,478.0,490.5,481.4,481.0,484.19,734.0,478.0,219253,106161038.55,16559,FIRSTCRY
2025-01-17,EQ,494.95,497.95,486.8,494.6,490.0,490.5,490.88,734.0,482.55,326081,160067304.2,32460,FIRSTCRY
2025-01-16,EQ,498.0,499.0,484.05,486.05,497.0,494.6,492.25,734.0,482.55,547506,269508317.05,35606,FIRSTCRY
2025-01-15,EQ,506.4,507.85,483.25,498.4,484.6,486.05,493.88,734.0,482.55,544293,268815718.25,28788,FIRSTCRY
2025-01-14,EQ,503.5,513.75,482.55,502.35,498.95,498.4,496.59,734.0,482.55,2380126,1181950233.65,57883,FIRSTCRY
2025-01-13,EQ,540.0,540.0,498.0,544.25,500.0,502.35,512.32,734.0,498.0,627994,321730993.85,44415,FIRSTCRY
2025-01-10,EQ,559.0,561.0,533.3,554.7,540.9,544.25,544.0,734.0,514.5,1201463,653595624.55,41589,FIRSTCRY
2025-01-09,EQ,586.8,589.6,551.7,580.95,554.5,554.7,561.41,734.0,514.5,636225,357184811.9,32415,FIRSTCRY
2025-01-08,EQ,605.0,607.5,568.8,608.75,581.95,580.95,581.19,734.0,514.5,920420,534934528.55,52519,FIRSTCRY
2025-01-07,EQ,615.95,619.9,604.0,614.05,607.5,608.75,611.82,734.0,514.5,221537,135539809.4,15173,FIRSTCRY
2025-01-06,EQ,649.0,649.0,608.5,649.0,617.0,614.05,623.25,734.0,514.5,240694,150013000.2,16755,FIRSTCRY
2025-01-03,EQ,650.15,655.05,638.1,653.4,647.7,649.0,650.08,734.0,514.5,96761,62902289.75,8006,FIRSTCRY
2025-01-02,EQ,650.0,658.0,638.25,650.2,655.0,653.4,647.31,734.0,514.5,138672,89763472.0,8594,FIRSTCRY
2025-01-01,EQ,662.0,664.65,645.0,652.05,646.0,650.2,653.07,734.0,514.5,195834,127892895.4,11111,FIRSTCRY
2024-12-31,EQ,615.0,659.0,605.05,617.95,653.0,652.05,638.79,734.0,514.5,548624,350454223.5,15874,FIRSTCRY
2024-12-30,EQ,628.2,634.95,615.0,636.1,619.6,617.95,624.39,734.0,514.5,129291,80728094.4,8193,FIRSTCRY
2024-12-27,EQ,651.0,651.0,625.05,638.1,633.2,636.1,635.66,734.0,514.5,328077,208544489.5,16783,FIRSTCRY
2024-12-26,EQ,627.0,640.05,620.0,630.15,636.0,638.1,633.5,734.0,514.5,576228,365039804.65,18394,FIRSTCRY
2024-12-24,EQ,620.45,636.4,604.3,614.85,626.5,630.15,620.95,734.0,514.5,347344,215684620.5,15114,FIRSTCRY
2024-12-23,EQ,634.05,634.05,606.15,638.75,615.9,614.85,615.73,734.0,514.5,332593,204787318.3,17382,FIRSTCRY
2024-12-20,EQ,603.15,654.35,603.15,606.15,625.0,638.75,632.82,734.0,514.5,1998219,1264505506.55,36996,FIRSTCRY
2024-12-19,EQ,613.0,614.95,602.95,624.05,606.0,606.15,607.97,734.0,514.5,203943,123990623.2,15139,FIRSTCRY
