DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-11-21,EQ,29.4,29.4,29.4,30.9,29.4,29.4,29.4,83.1,21.05,12234,359679.6,92,FSC
2022-11-18,EQ,30.9,30.9,30.9,32.5,30.9,30.9,30.9,83.1,21.05,11348,350653.2,111,FSC
2022-11-17,EQ,34.1,35.2,32.5,34.2,32.5,32.5,33.52,83.1,21.05,123007,4123160.85,507,FSC
2022-11-16,EQ,34.2,34.2,34.2,32.6,34.2,34.2,34.2,83.1,21.05,52564,1797688.8,182,FSC
2022-11-15,EQ,32.6,32.6,32.6,31.05,32.6,32.6,32.6,83.1,21.05,72025,2348015.0,229,FSC
2022-11-14,EQ,30.85,31.05,30.3,28.25,31.05,31.05,30.98,83.1,21.05,110262,3415746.8,429,FSC
2022-11-11,EQ,27.9,28.25,26.25,25.7,28.25,28.25,28.09,83.1,21.05,105498,2963776.65,482,FSC
2022-11-10,EQ,26.15,26.65,25.3,25.65,25.7,25.7,26.1,83.1,21.05,56420,1472356.9,548,FSC
2022-11-09,EQ,25.0,26.15,23.05,23.8,25.7,25.65,25.22,83.1,21.05,106989,2698132.2,1025,FSC
2022-11-07,EQ,24.5,24.5,22.85,24.15,23.8,23.8,23.86,83.1,21.05,52994,1264610.25,697,FSC
2022-11-04,EQ,23.85,24.35,22.75,23.85,24.2,24.15,23.91,83.1,21.05,41869,1001174.15,386,FSC
2022-11-03,EQ,23.5,25.0,21.5,23.05,24.0,23.85,23.23,83.1,21.05,32954,765400.6,400,FSC
2022-11-02,EQ,23.75,23.9,21.75,23.55,23.7,23.05,23.04,83.1,21.05,22985,529551.3,430,FSC
2022-11-01,EQ,23.1,23.95,23.1,23.1,23.8,23.55,23.58,83.1,21.05,27503,648641.2,365,FSC
2022-10-31,EQ,22.75,23.6,22.15,22.45,23.15,23.1,22.92,83.1,21.05,20843,477741.55,330,FSC
2022-10-28,EQ,22.15,23.05,22.15,22.55,22.45,22.45,22.5,83.1,21.05,16364,368242.6,225,FSC
2022-10-27,EQ,22.15,23.6,22.15,22.9,22.25,22.55,22.78,83.1,21.05,16962,386414.7,366,FSC
2022-10-25,EQ,22.75,23.25,22.1,22.5,22.95,22.9,22.76,83.1,21.05,26793,609838.3,521,FSC
2022-10-24,EQ,24.0,24.0,21.05,23.35,22.55,22.5,22.58,83.1,21.05,61987,1399906.35,305,FSC
2022-10-21,EQ,24.25,24.5,23.25,23.7,23.25,23.35,23.64,94.0,23.0,33847,800000.25,322,FSC
2022-10-20,EQ,23.45,24.2,23.0,23.4,23.6,23.7,23.42,94.0,23.0,22579,528854.1,353,FSC
2022-10-19,EQ,24.0,24.55,23.25,23.7,23.45,23.4,23.56,94.0,23.0,33028,778271.6,374,FSC
2022-10-18,EQ,23.25,25.1,23.25,24.25,23.9,23.7,24.02,94.0,23.0,33631,807674.95,394,FSC
2022-10-17,EQ,24.5,25.6,23.0,24.65,24.5,24.25,24.43,94.0,23.0,28195,688916.65,340,FSC
2022-10-14,EQ,24.65,25.25,24.0,24.25,24.85,24.65,24.83,96.45,23.85,29361,729164.1,395,FSC
2022-10-13,EQ,25.5,25.5,23.85,25.15,25.0,24.25,24.31,96.45,23.85,38527,936441.0,532,FSC
2022-10-12,EQ,25.9,25.9,24.8,25.0,25.2,25.15,25.23,96.45,24.05,26521,669094.7,281,FSC
2022-10-11,EQ,24.05,25.25,24.05,24.75,25.25,25.0,24.7,96.45,24.05,31551,779369.45,353,FSC
2022-10-10,EQ,26.05,26.05,24.5,26.0,24.65,24.75,25.0,96.45,24.1,83963,2099384.9,842,FSC
2022-10-07,EQ,27.2,27.2,25.6,26.65,26.1,26.0,25.99,96.45,24.1,45719,1188256.5,437,FSC
2022-10-06,EQ,27.5,27.5,26.25,27.05,26.5,26.65,26.77,96.45,24.1,38920,1041756.85,448,FSC
2022-10-04,EQ,26.5,27.85,26.5,27.15,27.3,27.05,27.11,96.45,24.1,19329,523938.85,321,FSC
2022-10-03,EQ,26.8,27.55,26.5,26.25,27.2,27.15,27.18,96.45,24.1,17501,475593.35,290,FSC
2022-09-30,EQ,26.95,26.95,25.45,25.95,26.7,26.25,26.1,96.45,24.1,38676,1009329.1,485,FSC
2022-09-29,EQ,26.75,26.9,25.35,25.8,26.15,25.95,25.97,96.45,24.1,20326,527774.8,357,FSC
2022-09-28,EQ,25.35,26.7,25.35,25.75,26.15,25.8,25.94,96.45,24.1,17440,452410.25,291,FSC
2022-09-27,EQ,25.8,26.95,25.1,25.8,25.7,25.75,25.69,96.45,24.1,29959,769512.5,476,FSC
2022-09-26,EQ,27.9,27.9,25.3,26.6,25.3,25.8,26.06,96.45,24.1,56228,1465120.85,666,FSC
2022-09-23,EQ,27.6,27.6,25.8,27.05,27.0,26.6,26.48,96.45,24.1,33073,875699.5,565,FSC
2022-09-22,EQ,27.45,28.0,26.7,27.45,27.5,27.05,27.17,96.45,24.1,44462,1207921.8,470,FSC
