DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,192.89,192.95,185.02,191.48,185.49,185.47,187.74,273.8,182.45,209944,39415811.01,9205,GANDHAR
2025-01-23,EQ,191.5,193.95,190.71,191.94,191.88,191.48,192.1,273.8,182.45,66992,12869275.75,3502,GANDHAR
2025-01-22,EQ,195.58,196.69,190.0,195.04,192.2,191.94,191.46,273.8,182.45,148665,28463333.25,5196,GANDHAR
2025-01-21,EQ,198.15,201.09,193.3,198.15,195.59,195.04,197.23,273.8,182.45,118251,23323206.51,5359,GANDHAR
2025-01-20,EQ,197.01,200.3,196.0,196.49,198.0,198.15,197.94,273.8,182.45,85393,16902585.44,3467,GANDHAR
2025-01-17,EQ,201.5,201.5,195.52,199.23,196.98,196.49,197.87,273.8,182.45,148737,29430324.83,5583,GANDHAR
2025-01-16,EQ,198.0,202.9,197.0,196.0,200.0,199.23,198.75,273.8,182.45,116365,23127338.88,4608,GANDHAR
2025-01-15,EQ,201.4,201.4,195.02,198.88,196.0,196.0,197.6,273.8,182.45,140707,27804101.46,5525,GANDHAR
2025-01-14,EQ,194.9,200.0,192.1,192.08,200.0,198.88,195.78,273.8,182.45,142994,27995147.34,5212,GANDHAR
2025-01-13,EQ,199.61,201.0,191.0,201.46,191.8,192.08,194.87,273.8,182.45,324500,63233738.21,10973,GANDHAR
2025-01-10,EQ,207.0,207.68,200.01,206.54,202.0,201.46,202.49,273.8,182.45,206028,41719083.08,7972,GANDHAR
2025-01-09,EQ,209.0,211.68,205.56,209.73,206.8,206.54,208.1,273.8,182.45,120072,24986610.44,5530,GANDHAR
2025-01-08,EQ,212.95,212.95,207.33,211.99,209.9,209.73,209.59,273.8,182.45,155352,32559980.05,5333,GANDHAR
2025-01-07,EQ,211.56,212.75,209.0,210.04,212.08,211.99,211.18,273.8,182.45,118587,25043051.33,4477,GANDHAR
2025-01-06,EQ,218.0,219.33,208.58,219.33,211.75,210.04,212.33,273.8,182.45,235542,50012707.29,8038,GANDHAR
2025-01-03,EQ,216.05,223.01,216.05,216.59,219.0,219.33,220.19,281.85,182.45,209588,46149940.47,5612,GANDHAR
2025-01-02,EQ,215.91,217.89,215.37,215.17,217.17,216.59,216.33,281.85,182.45,111544,24130081.1,2829,GANDHAR
2025-01-01,EQ,212.7,216.0,212.7,212.72,215.9,215.17,215.05,281.85,182.45,62813,13507689.31,1631,GANDHAR
2024-12-31,EQ,212.02,214.31,211.11,212.04,212.7,212.72,212.63,281.85,182.45,119773,25467348.21,3648,GANDHAR
2024-12-30,EQ,215.0,216.32,211.46,215.93,211.8,212.04,212.7,281.85,182.45,165166,35130695.38,3855,GANDHAR
2024-12-27,EQ,220.0,220.0,214.0,218.05,216.3,215.93,216.03,286.6,182.45,132732,28673707.43,3865,GANDHAR
2024-12-26,EQ,217.0,219.51,214.49,217.5,217.5,218.05,217.62,286.6,182.45,211946,46122650.99,5583,GANDHAR
2024-12-24,EQ,215.1,220.0,213.48,215.7,217.5,217.5,215.36,286.6,182.45,231194,49790193.07,4376,GANDHAR
2024-12-23,EQ,222.6,222.6,212.55,219.33,215.85,215.7,216.22,286.6,182.45,293849,63536870.47,7036,GANDHAR
2024-12-20,EQ,227.98,227.98,218.62,225.82,219.0,219.33,222.17,304.0,182.45,288062,63999880.13,4930,GANDHAR
2024-12-19,EQ,223.96,229.99,222.99,225.31,225.6,225.82,226.75,304.0,182.45,551046,124947512.41,12204,GANDHAR
2024-12-18,EQ,224.06,228.69,222.01,224.04,225.0,225.31,226.17,304.0,182.45,299131,67653326.9,6458,GANDHAR
2024-12-17,EQ,225.83,231.79,223.25,225.7,224.7,224.04,226.93,304.0,182.45,383178,86955422.64,8020,GANDHAR
2024-12-16,EQ,230.31,233.45,225.01,232.21,225.8,225.7,228.3,304.0,182.45,258335,58976997.62,6154,GANDHAR
2024-12-13,EQ,232.35,237.89,230.0,232.0,231.9,232.21,233.5,319.8,182.45,723061,168835447.52,11982,GANDHAR
2024-12-12,EQ,234.82,237.59,230.65,234.82,233.5,232.0,232.99,319.8,182.45,327982,76415161.55,6377,GANDHAR
2024-12-11,EQ,240.5,241.99,234.2,239.75,234.66,234.82,237.1,319.8,182.45,290633,68909697.98,4805,GANDHAR
2024-12-10,EQ,241.25,244.4,237.56,241.16,240.32,239.75,240.86,319.8,182.45,600589,144659772.54,9768,GANDHAR
2024-12-09,EQ,240.0,242.4,235.29,238.81,240.26,241.16,239.62,319.8,182.45,583817,139891499.79,8613,GANDHAR
2024-12-06,EQ,233.46,242.4,229.11,233.46,238.8,238.81,237.73,319.8,182.45,969273,230427368.74,16833,GANDHAR
2024-12-05,EQ,239.0,242.5,232.0,237.71,233.25,233.46,238.1,319.8,182.45,889340,211751654.05,14832,GANDHAR
2024-12-04,EQ,231.2,239.5,230.48,230.4,238.07,237.71,236.15,319.8,182.45,1188862,280744880.7,16255,GANDHAR
2024-12-03,EQ,229.0,233.67,229.0,228.32,230.7,230.4,230.75,319.8,182.45,432435,99786030.27,7361,GANDHAR
2024-12-02,EQ,222.5,229.8,222.5,222.88,228.0,228.32,227.82,319.8,182.45,689635,157114269.55,9366,GANDHAR
2024-11-29,EQ,222.2,226.7,222.0,221.79,222.39,222.88,223.88,344.05,182.45,297205,66538256.5,6627,GANDHAR
