DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,136.2,139.9,130.2,135.53,130.8,131.53,134.08,153.7,77.05,996625,133624738.52,9516,GARUDA
2025-01-23,EQ,135.0,141.98,134.01,133.6,135.65,135.53,138.59,153.7,77.05,2717465,376605711.28,19923,GARUDA
2025-01-22,EQ,135.24,136.1,124.5,134.22,135.65,133.6,131.35,153.7,77.05,1884495,247533902.9,14466,GARUDA
2025-01-21,EQ,135.1,143.5,132.45,133.88,134.0,134.22,137.99,153.7,77.05,4528592,624901633.65,29830,GARUDA
2025-01-20,EQ,133.5,138.4,131.0,132.2,134.25,133.88,134.01,153.7,77.05,2035577,272782315.47,14963,GARUDA
2025-01-17,EQ,131.3,136.4,129.61,130.73,132.2,132.2,133.22,153.7,77.05,2631097,350524701.62,17606,GARUDA
2025-01-16,EQ,125.05,136.07,124.55,122.86,130.75,130.73,131.78,153.7,77.05,4807269,633486519.81,27719,GARUDA
2025-01-15,EQ,128.51,130.5,121.9,127.28,122.5,122.86,124.79,153.7,77.05,1194312,149041372.99,9098,GARUDA
2025-01-14,EQ,118.99,129.47,118.36,118.69,127.9,127.28,124.51,153.7,77.05,2016706,251105259.78,15104,GARUDA
2025-01-13,EQ,127.49,131.26,115.65,130.88,118.0,118.69,122.14,153.7,77.05,3162312,386260108.8,20345,GARUDA
2025-01-10,EQ,136.0,136.7,128.1,137.61,131.4,130.88,131.99,153.7,77.05,2178965,287605754.22,16151,GARUDA
2025-01-09,EQ,146.88,146.88,135.9,146.9,136.8,137.61,140.27,153.7,77.05,2459338,344963966.23,18334,GARUDA
2025-01-08,EQ,145.0,153.7,142.25,142.17,146.89,146.9,147.0,153.7,77.05,9726564,1429851128.9,69729,GARUDA
2025-01-07,EQ,128.76,145.99,128.01,127.21,144.88,142.17,138.25,145.99,77.05,6420672,887628378.59,37951,GARUDA
2025-01-06,EQ,134.48,139.32,125.65,133.77,126.99,127.21,133.19,139.4,77.05,4151301,552926193.63,28621,GARUDA
2025-01-03,EQ,131.26,135.55,129.01,131.36,134.25,133.77,132.24,139.4,77.05,2800350,370330513.9,17989,GARUDA
2025-01-02,EQ,133.94,134.7,130.5,133.64,131.0,131.36,132.25,139.4,77.05,1592246,210572178.01,11038,GARUDA
2025-01-01,EQ,133.5,138.9,130.61,133.46,134.0,133.64,134.2,139.4,77.05,3814548,511908148.29,25537,GARUDA
2024-12-31,EQ,128.96,134.85,126.0,129.47,133.0,133.46,131.34,139.4,77.05,4595040,603526192.91,30472,GARUDA
2024-12-30,EQ,129.39,139.4,124.85,127.28,130.5,129.47,133.14,139.4,77.05,8592312,1143957871.22,56571,GARUDA
2024-12-27,EQ,129.09,133.93,121.47,124.39,125.85,127.28,127.04,133.93,77.05,7916718,1005739875.38,49832,GARUDA
2024-12-26,EQ,113.0,129.8,109.23,112.93,124.98,124.39,122.67,129.8,77.05,11291004,1385023637.05,60863,GARUDA
2024-12-24,EQ,114.5,117.21,111.41,113.12,112.8,112.93,114.31,128.89,77.05,2099416,239974748.35,16047,GARUDA
2024-12-23,EQ,119.75,124.4,110.36,118.27,113.67,113.12,115.83,128.89,77.05,5040321,583838907.94,27476,GARUDA
2024-12-20,EQ,114.97,128.89,114.97,114.09,117.5,118.27,123.21,128.89,77.05,13936422,1717146445.58,76573,GARUDA
2024-12-19,EQ,108.0,119.7,106.65,102.92,113.66,114.09,114.38,120.99,77.05,15694237,1795062722.38,100853,GARUDA
2024-12-18,EQ,95.88,106.28,95.88,94.85,104.0,102.92,102.84,120.99,77.05,5787154,595165148.73,34929,GARUDA
2024-12-17,EQ,95.8,95.94,93.21,95.88,95.0,94.85,94.64,120.99,77.05,937837,88754447.63,4500,GARUDA
2024-12-16,EQ,95.58,98.99,95.25,95.58,95.7,95.88,97.02,120.99,77.05,472458,45837010.51,5849,GARUDA
2024-12-13,EQ,96.61,96.87,94.2,96.97,95.5,95.58,95.33,120.99,77.05,536208,51116555.51,4523,GARUDA
2024-12-12,EQ,98.9,101.5,96.7,98.63,97.09,96.97,98.77,120.99,77.05,511005,50473094.84,5744,GARUDA
2024-12-11,EQ,101.35,102.3,98.15,100.85,99.0,98.63,99.62,120.99,77.05,440090,43839681.79,5280,GARUDA
2024-12-10,EQ,104.4,105.77,100.42,103.83,100.85,100.85,102.02,120.99,77.05,682162,69592666.39,6547,GARUDA
2024-12-09,EQ,102.99,108.44,102.31,100.18,103.55,103.83,105.05,120.99,77.05,1798329,188917211.73,15187,GARUDA
2024-12-06,EQ,101.45,103.98,98.2,101.0,100.3,100.18,100.88,120.99,77.05,952436,96079493.33,9026,GARUDA
2024-12-05,EQ,103.9,107.5,100.05,103.06,100.3,101.0,103.34,120.99,77.05,2276169,235226393.25,18980,GARUDA
2024-12-04,EQ,96.69,104.15,94.0,92.93,103.71,103.06,100.39,120.99,77.05,4420723,443796862.66,31360,GARUDA
2024-12-03,EQ,95.0,95.0,92.45,94.35,92.5,92.93,93.61,120.99,77.05,314120,29403685.64,4393,GARUDA
2024-12-02,EQ,90.49,95.4,88.03,89.47,94.5,94.35,93.35,120.99,77.05,839813,78394283.66,9302,GARUDA
