DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,318.55,323.4,309.4,327.35,317.0,314.5,315.9,407.4,277.0,12899118,4074856202.3,187450,GODIGIT
2025-01-23,EQ,303.0,341.4,292.55,286.35,321.0,327.35,319.2,407.4,277.0,47284570,15093042475.1,521155,GODIGIT
2025-01-22,EQ,295.05,295.05,277.4,290.65,286.5,286.35,284.24,407.4,277.0,906785,257747271.75,28406,GODIGIT
2025-01-21,EQ,291.0,298.05,288.05,290.05,292.0,290.65,293.33,407.4,277.0,752222,220646408.85,21484,GODIGIT
2025-01-20,EQ,294.5,295.2,287.15,290.7,290.0,290.05,291.72,407.4,277.0,3300621,962862214.95,20645,GODIGIT
2025-01-17,EQ,291.9,308.75,286.5,291.9,292.1,290.7,296.89,407.4,277.0,7758486,2303433591.8,80490,GODIGIT
2025-01-16,EQ,287.45,302.45,287.45,286.2,291.3,291.9,295.95,407.4,277.0,609964,180520145.9,17750,GODIGIT
2025-01-15,EQ,289.95,291.8,285.0,287.0,286.05,286.2,288.32,407.4,277.0,229460,66157588.45,24041,GODIGIT
2025-01-14,EQ,282.2,288.75,279.55,278.5,287.05,287.0,282.77,407.4,277.0,861150,243508304.65,15181,GODIGIT
2025-01-13,EQ,281.0,286.55,277.0,285.15,279.0,278.5,282.1,407.4,277.0,749521,211440848.2,50508,GODIGIT
2025-01-10,EQ,297.85,298.5,283.8,297.25,285.0,285.15,287.6,407.4,278.55,306377,88114883.95,15230,GODIGIT
2025-01-09,EQ,304.4,304.4,288.35,303.75,297.85,297.25,295.51,407.4,278.55,1142545,337634962.5,46377,GODIGIT
2025-01-08,EQ,314.65,318.7,302.9,314.65,303.5,303.75,307.09,407.4,278.55,720460,221244296.3,29071,GODIGIT
2025-01-07,EQ,315.95,320.55,311.8,313.1,314.5,314.65,317.43,407.4,278.55,1285819,408156527.25,23509,GODIGIT
2025-01-06,EQ,328.65,328.65,311.2,327.7,313.9,313.1,318.79,407.4,278.55,447552,142675859.9,15804,GODIGIT
2025-01-03,EQ,333.75,335.95,326.3,333.8,328.9,327.7,329.38,407.4,278.55,801653,264046696.2,37009,GODIGIT
2025-01-02,EQ,328.5,337.95,327.45,327.25,333.45,333.8,332.94,407.4,278.55,3921609,1305651670.75,95188,GODIGIT
2025-01-01,EQ,320.0,353.75,319.55,318.05,328.6,327.25,339.44,407.4,278.55,31034499,10534316565.55,516802,GODIGIT
2024-12-31,EQ,322.85,324.0,314.5,325.05,318.5,318.05,319.01,407.4,278.55,1223169,390207553.85,15238,GODIGIT
2024-12-30,EQ,324.9,329.35,318.95,324.45,322.5,325.05,323.71,407.4,278.55,425555,137756610.15,17585,GODIGIT
2024-12-27,EQ,318.05,336.65,318.05,315.3,329.0,324.45,326.48,407.4,278.55,4556318,1487561283.3,105602,GODIGIT
2024-12-26,EQ,318.45,330.5,311.0,316.55,317.0,315.3,322.24,407.4,278.55,1207052,388960248.95,40107,GODIGIT
2024-12-24,EQ,327.95,328.45,310.1,328.15,316.65,316.55,319.0,407.4,278.55,783169,249831805.15,28267,GODIGIT
2024-12-23,EQ,335.0,336.65,323.25,341.85,327.25,328.15,329.98,407.4,278.55,776765,256314826.85,31850,GODIGIT
2024-12-20,EQ,335.0,351.7,328.1,331.3,338.0,341.85,342.03,407.4,278.55,15252694,5216942328.65,187857,GODIGIT
2024-12-19,EQ,334.85,337.8,330.0,341.8,331.35,331.3,333.27,407.4,278.55,191783,63914718.6,11530,GODIGIT
2024-12-18,EQ,348.0,350.0,336.3,348.0,338.6,341.8,341.47,407.4,278.55,729370,249059040.2,29754,GODIGIT
2024-12-17,EQ,336.2,352.9,334.85,336.2,348.95,348.0,348.47,407.4,278.55,1906675,664413010.0,63762,GODIGIT
2024-12-16,EQ,327.75,338.95,324.05,324.65,335.0,336.2,331.02,407.4,278.55,658432,217951156.15,36517,GODIGIT
2024-12-13,EQ,327.55,336.85,323.15,330.8,324.9,324.65,327.99,407.4,278.55,762566,250117531.4,45660,GODIGIT
2024-12-12,EQ,343.65,347.0,328.65,347.1,331.35,330.8,334.91,407.4,278.55,617089,206666437.85,30261,GODIGIT
2024-12-11,EQ,343.05,349.5,336.7,340.5,344.75,347.1,341.38,407.4,278.55,629129,214770982.15,20289,GODIGIT
2024-12-10,EQ,352.75,357.0,339.4,349.95,339.95,340.5,345.61,407.4,278.55,1666909,576096719.35,27055,GODIGIT
2024-12-09,EQ,349.65,359.6,345.4,346.85,351.15,349.95,351.79,407.4,278.55,540968,190306657.3,30280,GODIGIT
2024-12-06,EQ,341.7,350.0,340.6,339.9,346.9,346.85,344.88,407.4,278.55,350989,121048408.8,12696,GODIGIT
2024-12-05,EQ,345.95,348.0,337.85,344.25,339.95,339.9,342.9,407.4,278.55,484492,166132440.65,21722,GODIGIT
2024-12-04,EQ,353.0,353.7,341.0,348.3,343.3,344.25,347.24,407.4,278.55,517791,179795806.4,31887,GODIGIT
2024-12-03,EQ,345.7,350.0,341.15,343.65,349.0,348.3,345.38,407.4,278.55,411761,142212522.65,26932,GODIGIT
2024-12-02,EQ,339.35,345.0,336.4,342.8,341.0,343.65,341.01,407.4,278.55,414900,141486194.5,23589,GODIGIT
2024-11-29,EQ,333.75,344.55,333.55,336.55,340.0,342.8,340.61,407.4,278.55,526557,179348277.55,28904,GODIGIT
2024-11-28,EQ,337.7,343.7,330.8,334.5,333.65,336.55,337.31,407.4,278.55,1048955,353821000.6,42782,GODIGIT
2024-11-27,EQ,344.3,345.6,331.55,340.8,333.05,334.5,337.16,407.4,278.55,539180,181787362.4,29043,GODIGIT
2024-11-26,EQ,344.5,345.45,336.65,351.55,341.0,340.8,340.5,407.4,278.55,1065693,362873096.65,41479,GODIGIT
2024-11-25,EQ,322.0,366.0,320.0,318.6,346.0,351.55,345.56,407.4,278.55,6867957,2373311996.1,205128,GODIGIT
2024-11-22,EQ,325.0,325.15,314.4,325.9,319.5,318.6,317.67,407.4,278.55,828626,263226069.9,32625,GODIGIT
2024-11-21,EQ,319.7,329.0,310.35,315.85,324.1,325.9,321.54,407.4,278.55,1399558,450017361.5,60877,GODIGIT
2024-11-19,EQ,320.95,322.7,313.5,316.2,317.15,315.85,317.4,407.4,278.55,525549,166811578.5,83087,GODIGIT
2024-11-18,EQ,333.0,334.65,312.8,330.65,317.0,316.2,316.5,407.4,278.55,888731,281279829.65,55138,GODIGIT
2024-11-14,EQ,318.1,334.4,318.1,316.45,333.0,330.65,328.4,407.4,278.55,555788,182523149.45,27866,GODIGIT
2024-11-13,EQ,332.35,334.7,314.1,331.35,318.0,316.45,320.67,407.4,278.55,411563,131976427.2,26396,GODIGIT
2024-11-12,EQ,337.3,345.0,320.0,333.85,330.8,331.35,338.28,407.4,278.55,468684,158545551.45,24736,GODIGIT
2024-11-11,EQ,337.0,345.5,332.45,335.15,333.0,333.85,338.93,407.4,278.55,490558,166265235.85,25081,GODIGIT
2024-11-08,EQ,347.0,347.0,332.1,341.9,334.85,335.15,341.05,407.4,278.55,241503,82364170.25,12630,GODIGIT
2024-11-07,EQ,351.0,351.0,336.2,337.8,342.0,341.9,341.55,407.4,278.55,625863,213761277.5,25673,GODIGIT
2024-11-06,EQ,337.65,341.95,335.2,338.05,338.0,337.8,338.1,407.4,278.55,283904,95988111.75,12413,GODIGIT
2024-11-05,EQ,341.45,343.1,334.05,339.85,337.65,338.05,338.3,407.4,278.55,177278,59973335.7,11616,GODIGIT
2024-11-04,EQ,334.7,343.25,332.5,337.05,341.5,339.85,339.95,407.4,278.55,678866,230780498.95,54858,GODIGIT
2024-11-01,EQ,338.4,344.0,335.2,330.2,339.65,337.05,338.78,407.4,278.55,59395,20121749.5,3237,GODIGIT
2024-10-31,EQ,344.0,344.0,327.0,345.0,333.0,330.2,332.47,407.4,278.55,525948,174860419.65,33834,GODIGIT
2024-10-30,EQ,329.0,347.55,329.0,327.9,342.0,345.0,341.39,407.4,278.55,764926,261140440.9,26782,GODIGIT
2024-10-29,EQ,322.35,338.4,322.35,325.8,332.4,327.9,331.43,407.4,278.55,1053686,349226727.9,41811,GODIGIT
2024-10-28,EQ,320.7,335.25,320.7,319.75,325.0,325.8,329.93,407.4,278.55,1096612,361803739.15,66142,GODIGIT
2024-10-25,EQ,351.0,351.0,316.8,340.3,321.0,319.75,323.85,407.4,278.55,2865660,928030766.55,85055,GODIGIT
2024-10-24,EQ,346.5,346.5,336.75,347.55,340.55,340.3,341.93,407.4,278.55,173374,59281247.8,20401,GODIGIT
2024-10-23,EQ,342.0,350.0,338.95,347.3,347.55,347.55,346.29,407.4,278.55,362581,125558280.1,25618,GODIGIT
2024-10-22,EQ,361.0,361.0,343.5,358.1,349.95,347.3,347.19,407.4,278.55,1493599,518568509.95,33275,GODIGIT
2024-10-21,EQ,366.15,369.6,355.05,365.4,358.0,358.1,359.17,407.4,278.55,540049,193970083.25,23454,GODIGIT
2024-10-18,EQ,361.0,370.95,347.35,360.6,365.0,365.4,361.11,407.4,278.55,1632169,589385921.6,51602,GODIGIT
2024-10-17,EQ,367.0,374.0,358.75,368.2,359.2,360.6,365.99,407.4,278.55,186887,68398479.05,17073,GODIGIT
2024-10-16,EQ,368.0,373.95,365.0,367.7,366.75,368.2,368.37,407.4,278.55,450398,165912482.8,11781,GODIGIT
2024-10-15,EQ,372.85,376.0,365.0,372.85,367.8,367.7,370.63,407.4,278.55,160499,59485269.2,16029,GODIGIT
2024-10-14,EQ,373.85,376.7,371.05,370.15,372.5,372.85,373.88,407.4,278.55,145748,54492745.2,10798,GODIGIT
2024-10-11,EQ,370.2,378.5,366.6,374.9,370.5,370.15,371.46,407.4,278.55,283586,105340478.65,18898,GODIGIT
2024-10-10,EQ,382.85,382.85,372.55,382.9,374.0,374.9,377.09,407.4,278.55,173156,65296026.95,16251,GODIGIT
2024-10-09,EQ,377.0,395.85,377.0,376.9,379.75,382.9,386.11,407.4,278.55,507510,195955610.95,35767,GODIGIT
2024-10-08,EQ,376.8,380.0,374.05,381.45,376.0,376.9,376.44,407.4,278.55,414485,156029877.15,26064,GODIGIT
2024-10-07,EQ,377.0,383.9,372.2,377.65,381.0,381.45,379.23,407.4,278.55,963076,365228866.5,44339,GODIGIT
2024-10-04,EQ,396.95,396.95,373.05,398.4,378.2,377.65,384.1,407.4,278.55,1081270,415316601.7,41367,GODIGIT
2024-10-03,EQ,368.35,404.0,368.0,379.3,398.9,398.4,393.08,407.4,278.55,3019034,1186734412.8,87731,GODIGIT
2024-10-01,EQ,373.6,383.2,367.7,376.7,378.0,379.3,376.47,407.4,278.55,461644,173795107.7,31946,GODIGIT
2024-09-30,EQ,371.25,380.3,362.55,378.3,377.25,376.7,372.71,407.4,278.55,931783,347281084.85,42329,GODIGIT
2024-09-27,EQ,354.0,387.9,349.35,355.4,375.7,378.3,369.06,407.4,278.55,1533000,565770938.9,35783,GODIGIT
2024-09-26,EQ,361.8,361.85,350.45,361.8,355.0,355.4,353.37,407.4,278.55,635418,224538196.8,17586,GODIGIT
2024-09-25,EQ,370.45,371.65,359.05,370.25,360.05,361.8,365.31,407.4,278.55,348523,127319810.45,20874,GODIGIT
2024-09-24,EQ,380.0,380.05,363.65,379.2,370.45,370.25,369.54,407.4,278.55,432499,159826241.55,25371,GODIGIT
2024-09-23,EQ,361.0,382.9,357.4,358.7,378.25,379.2,375.39,407.4,278.55,3208681,1204514340.6,42948,GODIGIT
2024-09-20,EQ,346.0,361.6,345.1,345.8,358.9,358.7,356.51,407.4,278.55,734715,261930547.7,19318,GODIGIT
2024-09-19,EQ,359.75,360.5,339.1,357.7,345.7,345.8,346.41,407.4,278.55,629920,218213620.4,36727,GODIGIT
2024-09-18,EQ,370.0,376.0,356.0,371.25,359.8,357.7,368.07,407.4,278.55,1619745,596175568.85,65195,GODIGIT
2024-09-17,EQ,371.0,372.5,363.5,371.25,371.0,371.25,369.54,407.4,278.55,355507,131372637.7,23380,GODIGIT
2024-09-16,EQ,374.0,374.0,362.6,374.0,372.0,371.25,367.88,407.4,278.55,442569,162810578.45,22647,GODIGIT
2024-09-13,EQ,375.0,380.0,372.45,372.5,374.55,374.0,375.16,407.4,278.55,1151356,431946176.3,13134,GODIGIT
2024-09-12,EQ,377.0,377.0,369.6,373.55,375.0,372.5,371.55,407.4,278.55,504346,187390355.9,19823,GODIGIT
2024-09-11,EQ,379.3,380.9,370.45,379.3,374.9,373.55,374.3,407.4,278.55,649585,243140672.15,13404,GODIGIT
2024-09-10,EQ,386.95,390.3,378.0,386.8,380.5,379.3,383.08,407.4,278.55,579935,222161331.1,33872,GODIGIT
2024-09-09,EQ,388.9,390.3,380.65,389.05,386.8,386.8,386.57,407.4,278.55,414958,160411430.75,17552,GODIGIT
2024-09-06,EQ,393.05,404.75,387.0,392.15,387.2,389.05,396.45,407.4,278.55,1063605,421663309.75,33184,GODIGIT
2024-09-05,EQ,386.5,395.0,377.15,383.9,393.05,392.15,388.8,407.4,278.55,1118500,434873066.3,32930,GODIGIT
2024-09-04,EQ,387.7,407.4,381.25,393.6,384.25,383.9,391.67,407.4,278.55,2926126,1146088330.1,44894,GODIGIT
2024-09-03,EQ,391.4,398.0,389.35,392.65,393.5,393.6,392.25,398.75,278.55,1575747,618086384.5,23530,GODIGIT
2024-09-02,EQ,387.0,398.75,373.2,383.7,393.0,392.65,388.64,398.75,278.55,1769772,687805641.75,41492,GODIGIT
2024-08-30,EQ,373.7,390.9,369.6,370.15,388.9,383.7,381.53,390.9,278.55,6925614,2642345723.95,108670,GODIGIT
2024-08-29,EQ,376.6,379.4,366.0,373.9,375.0,370.15,370.94,383.4,278.55,714303,264961365.25,40130,GODIGIT
2024-08-28,EQ,365.0,375.0,364.4,367.3,373.0,373.9,371.66,383.4,278.55,813788,302450494.55,31145,GODIGIT
2024-08-27,EQ,370.0,378.95,360.75,369.4,368.0,367.3,369.23,383.4,278.55,3781628,1396284262.2,41508,GODIGIT
2024-08-26,EQ,369.0,370.55,360.05,365.15,370.0,369.4,366.35,383.4,278.55,1952125,715158850.35,41074,GODIGIT
2024-08-23,EQ,366.95,377.25,363.0,359.4,367.0,365.15,369.44,383.4,278.55,2479620,916068852.15,62790,GODIGIT
2024-08-22,EQ,360.0,367.0,357.6,358.25,358.8,359.4,361.23,383.4,278.55,741999,268029867.95,30330,GODIGIT
2024-08-21,EQ,350.0,383.4,348.15,355.75,358.5,358.25,362.72,383.4,278.55,7246000,2628260226.8,78070,GODIGIT
2024-08-20,EQ,348.6,363.3,344.45,344.5,355.9,355.75,359.05,375.0,278.55,3433783,1232910668.55,33267,GODIGIT
2024-08-19,EQ,353.85,356.0,341.25,349.85,346.75,344.5,343.99,375.0,278.55,1106650,380675520.85,40725,GODIGIT
2024-08-16,EQ,351.15,359.8,348.2,351.25,349.7,349.85,352.17,375.0,278.55,340742,119998474.45,18937,GODIGIT
2024-08-14,EQ,345.0,355.65,343.35,348.15,351.6,351.25,350.84,375.0,278.55,435649,152842370.85,26123,GODIGIT
2024-08-13,EQ,352.0,356.9,344.1,352.75,350.0,348.15,350.68,375.0,278.55,414658,145413842.3,21321,GODIGIT
2024-08-12,EQ,328.0,355.5,325.05,329.6,352.0,352.75,343.45,375.0,278.55,1032490,354607708.05,48970,GODIGIT
2024-08-09,EQ,332.45,332.45,324.7,329.8,330.0,329.6,329.52,375.0,278.55,767585,252938201.4,24754,GODIGIT
2024-08-08,EQ,329.0,331.4,322.3,326.5,328.15,329.8,328.55,375.0,278.55,380056,124867245.5,17142,GODIGIT
2024-08-07,EQ,326.0,332.65,321.0,321.0,325.0,326.5,329.0,375.0,278.55,889310,292584883.35,18641,GODIGIT
2024-08-06,EQ,323.0,331.4,315.75,326.55,322.4,321.0,325.03,375.0,278.55,2181287,708991151.2,18190,GODIGIT
2024-08-05,EQ,338.0,338.0,322.85,340.15,323.7,326.55,328.38,375.0,278.55,363066,119222508.2,18984,GODIGIT
2024-08-02,EQ,343.0,347.2,337.95,344.7,340.9,340.15,340.69,375.0,278.55,288114,98157365.3,20381,GODIGIT
2024-08-01,EQ,353.0,361.85,342.5,350.65,346.0,344.7,350.5,375.0,278.55,1097286,384599886.05,34660,GODIGIT
2024-07-31,EQ,362.4,370.6,347.15,359.95,350.55,350.65,360.18,375.0,278.55,4564379,1643984987.55,30565,GODIGIT
2024-07-30,EQ,353.15,363.9,351.45,352.05,360.0,359.95,359.85,375.0,278.55,1260239,453491884.3,27655,GODIGIT
2024-07-29,EQ,350.0,373.75,349.0,345.7,352.0,352.05,352.92,375.0,278.55,3965428,1399495818.6,35839,GODIGIT
2024-07-26,EQ,361.0,362.5,342.85,334.9,346.5,345.7,353.21,375.0,278.55,1949077,688432962.4,56629,GODIGIT
2024-07-25,EQ,341.95,342.0,333.0,345.65,337.0,334.9,336.98,375.0,278.55,221690,74704417.9,14263,GODIGIT
2024-07-24,EQ,340.0,350.0,337.2,338.8,345.25,345.65,348.05,375.0,278.55,645247,224580872.7,19552,GODIGIT
2024-07-23,EQ,346.95,346.95,324.85,343.95,337.55,338.8,336.79,375.0,278.55,335363,112945464.1,26238,GODIGIT
2024-07-22,EQ,344.15,350.3,338.65,344.15,344.85,343.95,345.12,375.0,278.55,297719,102747871.4,19392,GODIGIT
2024-07-19,EQ,355.0,363.95,341.0,340.4,344.2,344.15,351.36,375.0,278.55,1029064,361567812.0,36991,GODIGIT
