DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,248.5,251.45,242.6,248.0,245.8,243.85,246.03,547.0,222.5,1197429,294606850.5,10316,HONASA
2025-01-23,EQ,250.0,250.95,242.65,247.5,248.5,248.0,248.1,547.0,222.5,1654805,410555620.1,16686,HONASA
2025-01-22,EQ,251.7,251.7,243.3,248.05,246.55,247.5,247.18,547.0,222.5,305398,75488102.2,15587,HONASA
2025-01-21,EQ,253.0,253.0,244.3,251.25,249.0,248.05,249.17,547.0,222.5,275548,68657574.9,10586,HONASA
2025-01-20,EQ,250.0,253.0,246.4,246.9,251.8,251.25,250.93,547.0,222.5,315337,79126033.15,9398,HONASA
2025-01-17,EQ,247.7,249.3,245.15,246.65,247.0,246.9,247.05,547.0,222.5,268653,66369740.35,11462,HONASA
2025-01-16,EQ,245.05,247.65,244.1,242.75,246.5,246.65,246.08,547.0,222.5,309194,76087391.25,10001,HONASA
2025-01-15,EQ,246.0,249.6,242.05,244.25,242.8,242.75,245.32,547.0,222.5,775900,190345918.05,19615,HONASA
2025-01-14,EQ,241.0,246.4,240.0,241.15,245.2,244.25,241.32,547.0,222.5,912362,220174391.95,24350,HONASA
2025-01-13,EQ,242.6,244.7,238.35,241.75,242.0,241.15,240.29,547.0,222.5,1367270,328545860.75,33136,HONASA
2025-01-10,EQ,245.0,246.2,240.4,246.4,242.6,241.75,243.12,547.0,222.5,853747,207562689.6,28435,HONASA
2025-01-09,EQ,247.3,252.45,243.75,245.45,246.2,246.4,247.74,547.0,222.5,756077,187310206.9,21785,HONASA
2025-01-08,EQ,248.0,255.95,243.8,246.3,246.0,245.45,249.43,547.0,222.5,1292686,322432395.25,35972,HONASA
2025-01-07,EQ,244.45,248.4,244.15,244.7,245.5,246.3,245.74,547.0,222.5,2077851,510605256.1,21651,HONASA
2025-01-06,EQ,252.05,252.05,242.5,252.5,245.0,244.7,245.79,547.0,222.5,622365,152968459.4,27952,HONASA
2025-01-03,EQ,251.0,255.05,250.25,250.1,252.5,252.5,253.04,547.0,222.5,351327,88898049.4,11635,HONASA
2025-01-02,EQ,249.95,252.45,248.25,249.5,250.1,250.1,249.46,547.0,222.5,358756,89495969.0,13711,HONASA
2025-01-01,EQ,255.95,256.45,248.6,255.2,249.9,249.5,250.72,547.0,222.5,507078,127135296.75,11057,HONASA
2024-12-31,EQ,251.35,257.4,247.45,251.4,256.0,255.2,252.35,547.0,222.5,544373,137375138.0,12150,HONASA
2024-12-30,EQ,249.0,254.6,243.65,247.15,251.95,251.4,248.67,547.0,222.5,465187,115677655.65,16477,HONASA
