DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,1706.1,1710.35,1685.2,1705.1,1702.2,1705.3,1701.67,1970.0,1684.85,548666,933649192.65,67859,HYUNDAI
2025-01-23,EQ,1707.0,1715.0,1688.15,1702.5,1706.0,1705.1,1702.33,1970.0,1684.85,937567,1596047116.8,106216,HYUNDAI
2025-01-22,EQ,1759.0,1759.0,1684.85,1745.55,1704.7,1702.5,1707.08,1970.0,1684.85,1321964,2256701690.3,108492,HYUNDAI
2025-01-21,EQ,1784.6,1801.15,1738.1,1782.45,1740.0,1745.55,1761.09,1970.0,1688.5,1036378,1825153272.8,121267,HYUNDAI
2025-01-20,EQ,1789.2,1795.3,1761.05,1789.1,1784.6,1782.45,1785.35,1970.0,1688.5,993234,1773272153.2,80096,HYUNDAI
2025-01-17,EQ,1765.0,1815.0,1738.0,1817.1,1790.0,1789.1,1788.18,1970.0,1688.5,2441970,4366680039.05,185056,HYUNDAI
2025-01-16,EQ,1791.95,1824.9,1791.0,1795.5,1819.5,1817.1,1814.5,1970.0,1688.5,542776,984869653.8,32822,HYUNDAI
2025-01-15,EQ,1790.0,1818.0,1776.0,1782.05,1797.0,1795.5,1793.15,1970.0,1688.5,569286,1020812799.0,35921,HYUNDAI
2025-01-14,EQ,1766.95,1807.0,1764.1,1766.95,1790.0,1782.05,1792.52,1970.0,1688.5,330495,592418655.25,38547,HYUNDAI
2025-01-13,EQ,1768.4,1782.6,1747.15,1787.6,1764.15,1766.95,1768.21,1970.0,1688.5,433775,767004580.3,47413,HYUNDAI
2025-01-10,EQ,1781.0,1799.0,1774.4,1785.55,1790.0,1787.6,1787.62,1970.0,1688.5,543447,971474932.25,39619,HYUNDAI
2025-01-09,EQ,1802.0,1807.15,1766.0,1811.4,1788.4,1785.55,1780.3,1970.0,1688.5,445286,792742592.95,36764,HYUNDAI
2025-01-08,EQ,1820.0,1826.55,1800.05,1833.0,1805.0,1811.4,1811.27,1970.0,1688.5,289586,524517380.45,24711,HYUNDAI
2025-01-07,EQ,1803.05,1848.9,1803.05,1801.15,1827.0,1833.0,1828.75,1970.0,1688.5,925887,1693218283.2,64540,HYUNDAI
2025-01-06,EQ,1811.0,1849.0,1797.6,1828.65,1803.0,1801.15,1812.83,1970.0,1688.5,395362,716724754.8,39968,HYUNDAI
2025-01-03,EQ,1821.95,1834.4,1812.05,1818.65,1826.8,1828.65,1825.78,1970.0,1688.5,246250,449598124.65,24806,HYUNDAI
2025-01-02,EQ,1791.3,1854.0,1791.3,1799.4,1816.1,1818.65,1825.43,1970.0,1688.5,624221,1139472725.55,37118,HYUNDAI
2025-01-01,EQ,1800.0,1805.0,1791.0,1806.1,1798.0,1799.4,1799.54,1970.0,1688.5,130344,234559249.8,21329,HYUNDAI
2024-12-31,EQ,1794.95,1820.0,1786.55,1796.6,1806.0,1806.1,1802.08,1970.0,1688.5,231141,416534714.0,24184,HYUNDAI
2024-12-30,EQ,1781.4,1804.85,1776.0,1792.1,1797.0,1796.6,1797.19,1970.0,1688.5,211968,380945807.45,19351,HYUNDAI
2024-12-27,EQ,1777.8,1805.3,1776.0,1777.8,1794.0,1792.1,1790.36,1970.0,1688.5,223552,400238985.65,20844,HYUNDAI
2024-12-26,EQ,1765.2,1786.95,1750.0,1765.2,1776.2,1777.8,1770.91,1970.0,1688.5,257169,455422726.15,27651,HYUNDAI
2024-12-24,EQ,1762.1,1770.0,1749.35,1752.6,1766.0,1765.2,1759.85,1970.0,1688.5,192311,338438727.3,19927,HYUNDAI
2024-12-23,EQ,1779.55,1786.0,1738.0,1766.2,1755.0,1752.6,1753.3,1970.0,1688.5,335306,587892178.8,28431,HYUNDAI
2024-12-20,EQ,1793.25,1807.95,1758.0,1787.45,1772.05,1766.2,1772.94,1970.0,1688.5,531540,942390622.15,48135,HYUNDAI
2024-12-19,EQ,1785.15,1792.0,1766.0,1795.85,1785.0,1787.45,1779.61,1970.0,1688.5,430008,765247220.3,34097,HYUNDAI
2024-12-18,EQ,1820.5,1822.95,1790.0,1824.25,1795.0,1795.85,1799.49,1970.0,1688.5,324766,584413142.0,23637,HYUNDAI
2024-12-17,EQ,1817.4,1831.0,1802.05,1817.4,1820.0,1824.25,1819.62,1970.0,1688.5,312411,568470687.85,25919,HYUNDAI
2024-12-16,EQ,1772.0,1824.1,1766.25,1772.0,1823.25,1817.4,1797.29,1970.0,1688.5,545726,980826452.95,39662,HYUNDAI
2024-12-13,EQ,1800.0,1808.7,1760.0,1798.6,1772.0,1772.0,1774.73,1970.0,1688.5,569711,1011083812.15,50600,HYUNDAI
2024-12-12,EQ,1769.05,1861.0,1768.65,1823.4,1796.9,1798.6,1789.7,1970.0,1688.5,1048206,1875977587.45,57732,HYUNDAI
2024-12-11,EQ,1840.0,1840.0,1819.0,1833.45,1825.0,1823.4,1823.75,1970.0,1688.5,337783,616032624.75,28572,HYUNDAI
2024-12-10,EQ,1829.95,1842.95,1820.0,1826.65,1832.3,1833.45,1832.61,1970.0,1688.5,367019,672603426.8,34531,HYUNDAI
2024-12-09,EQ,1858.5,1871.0,1824.0,1858.5,1827.9,1826.65,1835.9,1970.0,1688.5,403251,740327038.85,34465,HYUNDAI
2024-12-06,EQ,1876.0,1880.0,1853.6,1878.05,1857.2,1858.5,1858.65,1970.0,1688.5,612872,1139115899.05,27778,HYUNDAI
2024-12-05,EQ,1875.9,1898.9,1866.3,1872.2,1876.0,1878.05,1879.76,1970.0,1688.5,506260,951646978.25,32392,HYUNDAI
2024-12-04,EQ,1840.25,1877.0,1840.25,1849.2,1873.0,1872.2,1861.53,1970.0,1688.5,640379,1192087359.65,34997,HYUNDAI
2024-12-03,EQ,1885.0,1889.85,1825.5,1880.9,1848.0,1849.2,1851.61,1970.0,1688.5,961607,1780518666.05,51459,HYUNDAI
2024-12-02,EQ,1875.0,1915.45,1870.25,1916.55,1883.0,1880.9,1890.27,1970.0,1688.5,476433,900588370.2,32315,HYUNDAI
2024-11-29,EQ,1905.2,1939.0,1897.05,1902.65,1911.0,1916.55,1918.94,1970.0,1688.5,1301843,2498160654.2,73881,HYUNDAI
2024-11-28,EQ,1890.0,1917.8,1874.15,1907.45,1900.0,1902.65,1895.27,1970.0,1688.5,692877,1313186690.85,65247,HYUNDAI
2024-11-27,EQ,1905.3,1926.6,1895.0,1880.0,1907.0,1907.45,1907.66,1970.0,1688.5,894423,1706250844.7,54428,HYUNDAI
2024-11-26,EQ,1854.9,1911.0,1853.35,1853.35,1882.45,1880.0,1888.71,1970.0,1688.5,825461,1559054634.6,70023,HYUNDAI
2024-11-25,EQ,1835.05,1860.0,1832.05,1830.2,1854.9,1853.35,1848.42,1970.0,1688.5,791187,1462444266.65,58865,HYUNDAI
2024-11-22,EQ,1825.55,1838.0,1811.25,1825.55,1831.0,1830.2,1828.82,1970.0,1688.5,436515,798305744.4,34969,HYUNDAI
2024-11-21,EQ,1819.95,1859.0,1786.05,1829.8,1825.05,1825.55,1831.11,1970.0,1688.5,1171989,2146038343.2,85356,HYUNDAI
2024-11-19,EQ,1733.0,1849.0,1729.0,1729.8,1825.0,1829.8,1817.81,1970.0,1688.5,1824631,3316836238.65,99461,HYUNDAI
2024-11-18,EQ,1751.9,1759.0,1688.5,1765.75,1728.1,1729.8,1716.09,1970.0,1688.5,1599438,2744774524.85,130689,HYUNDAI
2024-11-14,EQ,1749.95,1779.0,1716.1,1739.95,1763.05,1765.75,1753.0,1970.0,1714.0,580587,1017769579.1,45397,HYUNDAI
2024-11-13,EQ,1787.0,1795.0,1714.0,1803.95,1745.0,1739.95,1733.44,1970.0,1714.0,1500153,2600421133.6,119685,HYUNDAI
