DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,549.95,553.8,520.0,548.35,521.0,522.35,535.38,642.3,459.0,1355635,725779823.0,25900,IGIL
2025-01-23,EQ,523.9,563.0,523.7,520.4,547.7,548.35,547.02,642.3,459.0,3610776,1975149658.85,59655,IGIL
2025-01-22,EQ,512.95,526.0,503.3,509.5,523.65,520.4,515.46,642.3,459.0,3205134,1652105954.5,52162,IGIL
2025-01-21,EQ,524.0,535.5,505.65,522.0,512.8,509.5,517.87,642.3,459.0,2831202,1466203137.9,42893,IGIL
2025-01-20,EQ,528.0,537.4,509.5,518.1,522.0,522.0,522.78,642.3,459.0,2846036,1487859942.3,35129,IGIL
2025-01-17,EQ,535.0,542.9,515.05,546.1,519.0,518.1,528.06,642.3,459.0,3774660,1993255033.35,59937,IGIL
2025-01-16,EQ,550.0,568.4,542.0,540.05,544.1,546.1,552.39,642.3,459.0,1797526,992939356.4,37914,IGIL
2025-01-15,EQ,550.85,561.7,530.75,548.85,539.0,540.05,543.8,642.3,459.0,2198983,1195814875.65,37566,IGIL
2025-01-14,EQ,555.95,568.0,545.0,548.7,548.5,548.85,551.5,642.3,459.0,2485322,1370660952.35,37085,IGIL
2025-01-13,EQ,578.8,589.85,541.0,585.85,555.15,548.7,563.89,642.3,459.0,3469047,1956163908.85,67301,IGIL
2025-01-10,EQ,600.0,613.4,570.1,602.9,582.7,585.85,593.7,642.3,459.0,3433709,2038599701.0,54761,IGIL
2025-01-09,EQ,623.45,642.3,600.1,620.4,602.7,602.9,618.8,642.3,459.0,3252335,2012552261.15,65243,IGIL
2025-01-08,EQ,616.0,625.95,599.9,612.5,619.6,620.4,615.21,639.4,459.0,3646381,2243295864.65,93482,IGIL
2025-01-07,EQ,593.0,624.0,584.0,587.0,612.5,612.5,609.64,639.4,459.0,4204735,2563372901.25,97315,IGIL
2025-01-06,EQ,619.7,639.4,576.05,615.2,587.55,587.0,606.5,639.4,459.0,6920415,4197253671.95,141340,IGIL
2025-01-03,EQ,599.4,629.0,591.35,597.25,613.6,615.2,614.63,629.0,459.0,6118584,3760656530.75,101116,IGIL
2025-01-02,EQ,601.4,624.0,582.75,594.9,600.35,597.25,603.7,624.0,459.0,8248826,4979790961.4,110308,IGIL
2025-01-01,EQ,561.0,603.35,557.05,553.9,595.0,594.9,581.85,611.0,459.0,5350965,3113461896.2,84434,IGIL
2024-12-31,EQ,545.0,564.9,542.65,554.55,557.95,553.9,553.27,611.0,459.0,2846998,1575150049.1,64662,IGIL
2024-12-30,EQ,582.0,583.9,547.25,586.6,548.9,554.55,567.17,611.0,459.0,4709588,2671124496.0,112051,IGIL
2024-12-27,EQ,605.0,611.0,542.3,580.25,580.2,586.6,575.32,611.0,459.0,17364385,9990019505.2,413080,IGIL
2024-12-26,EQ,544.0,580.25,537.1,527.5,580.25,580.25,570.16,580.25,459.0,19265662,10984484238.0,179382,IGIL
2024-12-24,EQ,487.0,530.4,484.1,482.2,528.9,527.5,512.92,530.4,459.0,15928766,8170154069.15,176373,IGIL
2024-12-23,EQ,492.15,505.45,478.45,471.15,483.1,482.2,495.2,525.0,459.0,14769046,7313634305.75,202194,IGIL
2024-12-20,EQ,510.0,525.0,459.0,417.0,468.45,471.15,494.82,525.0,459.0,64151155,31743313790.35,719650,IGIL
