DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,1825.05,1842.95,1768.05,1821.3,1776.0,1779.8,1799.45,2189.0,1768.05,95611,172046983.05,8154,IKS
2025-01-23,EQ,1860.15,1860.15,1801.0,1848.5,1813.45,1821.3,1826.95,2189.0,1801.0,139262,254424494.15,12364,IKS
2025-01-22,EQ,1899.65,1899.65,1840.0,1884.95,1849.0,1848.5,1856.58,2189.0,1820.0,288851,536274563.7,15641,IKS
2025-01-21,EQ,1926.65,1934.95,1869.0,1925.65,1878.7,1884.95,1884.56,2189.0,1820.0,277868,523658855.65,14056,IKS
2025-01-20,EQ,1896.5,1940.0,1860.2,1871.95,1915.1,1925.65,1912.54,2189.0,1820.0,202137,386594301.7,15744,IKS
2025-01-17,EQ,1850.0,1885.7,1844.55,1862.85,1870.3,1871.95,1861.63,2189.0,1820.0,150659,280471128.95,14410,IKS
2025-01-16,EQ,1870.0,1904.7,1850.0,1917.95,1863.15,1862.85,1874.55,2189.0,1820.0,536053,1004858901.55,30278,IKS
2025-01-15,EQ,1945.0,1992.2,1910.0,1936.7,1919.0,1917.95,1942.56,2189.0,1820.0,317496,616754598.7,22910,IKS
2025-01-14,EQ,1876.95,1950.9,1868.05,1867.65,1938.0,1936.7,1920.44,2189.0,1820.0,197613,379503222.65,23529,IKS
2025-01-13,EQ,1886.0,1920.0,1855.15,1914.35,1856.0,1867.65,1886.12,2189.0,1820.0,385912,727874988.35,37144,IKS
2025-01-10,EQ,1958.0,1978.0,1889.75,1954.05,1912.0,1914.35,1927.86,2189.0,1820.0,258233,497838022.85,19268,IKS
2025-01-09,EQ,1947.0,1970.0,1924.9,1946.95,1966.0,1954.05,1947.11,2189.0,1820.0,200486,390367670.15,13751,IKS
2025-01-08,EQ,1979.9,1980.95,1921.85,1973.95,1940.0,1946.95,1949.97,2189.0,1820.0,215148,419532347.95,13498,IKS
2025-01-07,EQ,1878.35,1983.85,1871.05,1867.35,1975.0,1973.95,1945.18,2189.0,1820.0,534478,1039658038.8,29970,IKS
2025-01-06,EQ,1948.0,1948.0,1860.0,1939.1,1865.0,1867.35,1897.79,2189.0,1820.0,408946,776091814.3,20714,IKS
2025-01-03,EQ,1933.3,1967.2,1910.5,1936.35,1936.9,1939.1,1940.62,2189.0,1820.0,441187,856174729.9,33267,IKS
2025-01-02,EQ,1943.0,1951.25,1891.75,1943.25,1930.9,1936.35,1924.84,2189.0,1820.0,424457,817010524.05,21647,IKS
2025-01-01,EQ,1928.0,1974.9,1915.25,1919.5,1938.5,1943.25,1945.05,2189.0,1820.0,373589,726647579.65,22600,IKS
2024-12-31,EQ,1914.0,1957.9,1889.3,1910.85,1929.7,1919.5,1923.91,2189.0,1820.0,389435,749239071.55,25421,IKS
2024-12-30,EQ,2000.0,2025.0,1900.0,2005.6,1906.8,1910.85,1948.83,2189.0,1820.0,645421,1257813868.95,53931,IKS
2024-12-27,EQ,2150.0,2180.0,1971.65,2145.7,2007.1,2005.6,2046.47,2189.0,1820.0,1535790,3142944145.85,99082,IKS
2024-12-26,EQ,1928.75,2189.0,1910.7,1921.95,2129.0,2145.7,2079.19,2189.0,1820.0,3959964,8233499526.05,163695,IKS
2024-12-24,EQ,1899.75,1997.8,1891.5,1895.8,1928.0,1921.95,1947.23,2148.0,1820.0,1102995,2147783046.15,60052,IKS
2024-12-23,EQ,1911.0,1937.7,1820.0,1885.8,1886.0,1895.8,1878.73,2148.0,1820.0,1352484,2540954267.65,83304,IKS
2024-12-20,EQ,2095.0,2148.0,1862.85,1960.85,1906.0,1885.8,2012.24,2148.0,1852.1,3776155,7598543988.55,176605,IKS
2024-12-19,EQ,1900.0,2031.0,1852.1,1329.0,2030.0,1960.85,1905.9,2031.0,1852.1,16494444,31436714977.0,431218,IKS
