DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,665.0,665.0,653.05,662.4,659.7,658.8,658.89,736.3,470.1,220250,145119883.4,15552,INDGN
2025-01-23,EQ,662.85,664.0,654.5,658.7,662.2,662.4,660.08,736.3,470.1,315816,208462951.95,16411,INDGN
2025-01-22,EQ,655.5,666.05,652.9,659.3,657.55,658.7,660.13,736.3,470.1,768633,507400510.05,31052,INDGN
2025-01-21,EQ,677.7,681.7,656.0,673.75,660.0,659.3,665.41,736.3,470.1,453920,302043460.45,25611,INDGN
2025-01-20,EQ,657.95,676.2,646.65,651.45,673.9,673.75,666.47,736.3,470.1,604981,403199391.5,25799,INDGN
2025-01-17,EQ,644.45,657.5,626.55,640.15,654.5,651.45,645.55,736.3,470.1,470801,303924600.95,23063,INDGN
2025-01-16,EQ,659.0,659.5,635.4,650.45,638.5,640.15,640.77,736.3,470.1,313097,200624625.55,19566,INDGN
2025-01-15,EQ,635.15,653.5,633.6,632.75,650.0,650.45,647.02,736.3,470.1,800883,518184448.45,36752,INDGN
2025-01-14,EQ,600.0,635.0,600.0,603.35,634.5,632.75,621.72,736.3,470.1,459343,285580473.1,21620,INDGN
2025-01-13,EQ,601.95,609.4,587.4,614.9,601.0,603.35,601.81,736.3,470.1,720105,433369650.3,52591,INDGN
2025-01-10,EQ,629.45,631.4,604.45,629.05,615.5,614.9,618.53,736.3,470.1,849068,525173379.05,57955,INDGN
2025-01-09,EQ,631.05,639.0,622.3,630.6,628.0,629.05,632.2,736.3,470.1,475709,300741845.1,37664,INDGN
2025-01-08,EQ,624.8,638.5,615.85,621.6,629.1,630.6,628.44,736.3,470.1,944730,593703470.4,59429,INDGN
2025-01-07,EQ,598.85,624.7,595.0,591.65,624.5,621.6,617.78,736.3,470.1,1255318,775505657.85,85070,INDGN
2025-01-06,EQ,602.75,602.75,589.0,596.7,593.0,591.65,596.05,736.3,470.1,358115,213454740.6,23142,INDGN
2025-01-03,EQ,603.5,607.95,595.0,601.6,600.1,596.7,600.94,736.3,470.1,251609,151201822.55,11186,INDGN
2025-01-02,EQ,606.8,609.0,598.95,606.8,602.0,601.6,603.61,736.3,470.1,257877,155657035.75,12575,INDGN
2025-01-01,EQ,605.95,607.3,602.0,603.7,607.0,606.8,605.59,736.3,470.1,129545,78451280.15,6451,INDGN
2024-12-31,EQ,601.0,606.7,597.5,601.0,603.95,603.7,601.97,736.3,470.1,273133,164418175.6,10585,INDGN
2024-12-30,EQ,609.9,614.0,597.05,602.0,600.0,601.0,604.3,736.3,470.1,417417,252243540.25,20575,INDGN
2024-12-27,EQ,595.15,604.1,595.0,592.65,603.85,602.0,601.48,736.3,470.1,394792,237457821.25,14561,INDGN
2024-12-26,EQ,594.4,601.5,587.95,590.0,595.0,592.65,594.41,736.3,470.1,439137,261027523.7,17707,INDGN
2024-12-24,EQ,589.5,605.0,588.05,588.8,590.0,590.0,596.86,736.3,470.1,702768,419452920.1,28273,INDGN
2024-12-23,EQ,598.0,604.0,587.05,587.7,588.0,588.8,592.45,736.3,470.1,346567,205324618.45,14723,INDGN
2024-12-20,EQ,608.0,615.05,585.1,606.55,592.0,587.7,600.89,736.3,470.1,443045,266223202.0,20473,INDGN
2024-12-19,EQ,592.1,616.0,590.4,602.05,607.1,606.55,608.47,736.3,470.1,688145,418718203.8,23455,INDGN
2024-12-18,EQ,588.9,610.95,588.9,588.9,602.4,602.05,601.06,736.3,470.1,869257,522472019.3,24527,INDGN
2024-12-17,EQ,584.1,604.0,584.1,584.1,588.0,588.9,593.44,736.3,470.1,754454,447721680.45,19626,INDGN
2024-12-16,EQ,595.1,595.1,581.25,589.6,584.9,584.1,586.16,736.3,470.1,374399,219457999.05,15352,INDGN
2024-12-13,EQ,601.0,601.5,585.05,600.65,589.0,589.6,590.08,736.3,470.1,470202,277456238.25,19686,INDGN
2024-12-12,EQ,590.0,605.1,584.0,590.9,597.95,600.65,595.69,736.3,470.1,1143525,681186579.9,39183,INDGN
2024-12-11,EQ,591.2,595.0,585.5,590.75,590.7,590.9,590.76,736.3,470.1,425586,251417298.8,15681,INDGN
2024-12-10,EQ,595.0,601.7,586.0,593.1,589.0,590.75,592.32,736.3,470.1,701563,415548220.95,27108,INDGN
2024-12-09,EQ,621.2,624.5,590.0,620.4,591.9,593.1,603.05,736.3,470.1,1074948,648244561.35,40809,INDGN
2024-12-06,EQ,627.45,628.15,612.25,627.9,619.05,620.4,621.81,736.3,470.1,931300,579088794.05,22663,INDGN
2024-12-05,EQ,636.7,637.0,623.15,637.05,626.1,627.9,628.29,736.3,470.1,704538,442654014.9,22236,INDGN
2024-12-04,EQ,629.85,641.45,625.6,626.85,634.7,637.05,634.66,736.3,470.1,1710017,1085281971.1,35520,INDGN
2024-12-03,EQ,633.0,634.0,616.0,667.45,627.0,626.85,622.37,736.3,470.1,23339902,14526085415.4,116135,INDGN
2024-12-02,EQ,673.0,684.75,665.0,682.25,666.1,667.45,673.44,736.3,470.1,180920,121838824.35,13248,INDGN
2024-11-29,EQ,687.7,689.85,671.05,684.9,681.85,682.25,680.17,736.3,470.1,133214,90607652.85,10703,INDGN
2024-11-28,EQ,675.1,694.4,672.0,675.1,686.0,684.9,685.29,736.3,470.1,298128,204304363.45,19830,INDGN
2024-11-27,EQ,670.0,678.9,661.7,666.5,675.3,675.1,671.07,736.3,470.1,151017,101343030.95,9170,INDGN
2024-11-26,EQ,670.75,684.0,660.0,667.1,666.15,666.5,668.23,736.3,470.1,358561,239602418.0,13823,INDGN
2024-11-25,EQ,650.0,685.0,645.3,640.3,666.0,667.1,666.14,736.3,470.1,2832694,1886963517.7,49224,INDGN
2024-11-22,EQ,643.9,643.9,631.5,640.9,641.95,640.3,638.23,736.3,470.1,129246,82488996.95,11024,INDGN
2024-11-21,EQ,638.95,645.95,627.0,635.4,638.05,640.9,637.06,736.3,470.1,326344,207900274.65,28593,INDGN
2024-11-19,EQ,655.0,665.0,631.85,652.05,633.0,635.4,645.5,736.3,470.1,406113,262146784.6,25224,INDGN
2024-11-18,EQ,660.95,663.8,640.5,660.95,650.25,652.05,652.97,736.3,470.1,252241,164704691.0,19690,INDGN
2024-11-14,EQ,651.0,667.95,646.0,643.4,661.0,660.95,661.87,736.3,470.1,250109,165540860.5,29134,INDGN
2024-11-13,EQ,662.55,667.9,640.0,662.7,649.85,643.4,652.54,736.3,470.1,353277,230527359.8,26057,INDGN
2024-11-12,EQ,674.0,686.55,660.0,671.65,665.0,662.7,672.88,736.3,470.1,211238,142137823.35,16137,INDGN
2024-11-11,EQ,693.4,693.4,669.0,689.6,672.5,671.65,679.46,736.3,470.1,286976,194988062.6,24815,INDGN
2024-11-08,EQ,700.0,735.0,685.25,700.0,687.95,689.6,711.26,736.3,470.1,649319,461833168.35,38962,INDGN
2024-11-07,EQ,685.45,707.5,680.1,685.7,699.0,700.0,698.9,736.3,470.1,509524,356107015.35,29573,INDGN
2024-11-06,EQ,665.95,692.0,658.2,662.7,684.0,685.7,679.47,736.3,470.1,399290,271305761.3,24019,INDGN
2024-11-05,EQ,654.8,680.9,647.0,654.8,664.0,662.7,667.55,736.3,470.1,686925,458558879.05,37951,INDGN
2024-11-04,EQ,639.4,659.9,617.75,636.45,658.8,654.8,638.09,736.3,470.1,770064,491370199.8,33072,INDGN
2024-11-01,EQ,625.0,639.7,624.25,626.65,636.3,636.45,635.69,736.3,470.1,103961,66086733.65,3888,INDGN
2024-10-31,EQ,621.6,632.0,617.0,621.6,625.0,626.65,626.63,736.3,470.1,573622,359446645.25,31825,INDGN
2024-10-30,EQ,652.05,657.15,615.8,652.6,618.9,621.6,633.79,736.3,470.1,658833,417559298.95,34987,INDGN
2024-10-29,EQ,691.0,695.55,639.05,690.55,649.0,652.6,652.9,736.3,470.1,876151,572035638.75,50105,INDGN
2024-10-28,EQ,675.0,693.5,671.05,675.45,690.05,690.55,687.06,736.3,470.1,291957,200591362.75,22642,INDGN
2024-10-25,EQ,688.5,688.5,662.15,683.05,677.0,675.45,673.91,736.3,470.1,517897,349017334.9,22133,INDGN
2024-10-24,EQ,675.6,687.0,667.25,674.2,685.0,683.05,678.38,736.3,470.1,298129,202246092.5,19217,INDGN
2024-10-23,EQ,657.0,687.75,653.7,644.7,673.95,674.2,671.08,736.3,470.1,598989,401968197.35,39276,INDGN
2024-10-22,EQ,655.0,674.55,641.05,653.25,648.0,644.7,657.71,736.3,470.1,748931,492581898.35,48125,INDGN
2024-10-21,EQ,704.8,704.8,650.25,699.95,652.75,653.25,667.91,736.3,470.1,549429,366967676.7,34854,INDGN
2024-10-18,EQ,680.4,710.95,670.0,681.2,698.15,699.95,697.3,736.3,470.1,658236,458986245.95,38927,INDGN
2024-10-17,EQ,692.0,705.85,675.15,689.95,683.85,681.2,689.12,736.3,470.1,370459,255289034.45,24410,INDGN
2024-10-16,EQ,693.9,697.0,686.45,695.9,692.0,689.95,690.84,736.3,470.1,122604,84699218.7,11111,INDGN
2024-10-15,EQ,697.3,707.5,685.0,694.1,692.35,695.9,696.69,736.3,470.1,331758,231131664.1,27700,INDGN
2024-10-14,EQ,683.55,698.4,682.85,688.55,692.0,694.1,690.38,736.3,470.1,730189,504105855.3,16301,INDGN
2024-10-11,EQ,678.0,697.4,674.0,679.9,687.6,688.55,688.02,736.3,470.1,291797,200763509.15,20926,INDGN
2024-10-10,EQ,683.9,690.0,670.2,678.5,680.0,679.9,679.41,736.3,470.1,283813,192825592.55,19494,INDGN
2024-10-09,EQ,676.4,691.9,670.1,672.3,676.0,678.5,682.26,736.3,470.1,293031,199922753.65,21261,INDGN
2024-10-08,EQ,645.05,676.0,645.05,642.1,668.1,672.3,663.58,736.3,470.1,409289,271595325.3,25682,INDGN
2024-10-07,EQ,687.0,691.35,634.1,686.0,644.85,642.1,654.87,736.3,470.1,618980,405353714.35,44512,INDGN
2024-10-04,EQ,696.0,704.3,680.0,703.85,682.0,686.0,693.06,736.3,470.1,497561,344840425.5,32688,INDGN
2024-10-03,EQ,720.0,732.15,697.55,732.7,701.25,703.85,712.37,736.3,470.1,628927,448031074.35,32709,INDGN
2024-10-01,EQ,697.0,736.3,690.0,692.3,734.0,732.7,723.42,736.3,470.1,1872053,1354279983.5,95828,INDGN
