DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,624.95,636.6,618.0,619.75,632.4,633.7,627.3,799.0,521.0,26993,16932753.9,3307,INDIASHLTR
2025-01-23,EQ,645.0,645.0,616.15,637.4,619.8,619.75,619.39,799.0,521.0,273463,169379971.25,14634,INDIASHLTR
2025-01-22,EQ,643.3,646.8,621.85,644.6,630.0,637.4,631.58,799.0,521.0,70136,44296441.9,13056,INDIASHLTR
2025-01-21,EQ,651.9,663.95,642.35,658.5,646.3,644.6,650.62,799.0,521.0,222592,144821811.55,12437,INDIASHLTR
2025-01-20,EQ,668.0,672.8,656.2,660.15,659.9,658.5,662.71,799.0,521.0,107966,71549932.2,6458,INDIASHLTR
2025-01-17,EQ,660.0,666.0,641.2,654.65,665.0,660.15,653.53,799.0,521.0,94168,61541801.0,9133,INDIASHLTR
2025-01-16,EQ,650.6,656.95,631.6,650.6,656.95,654.65,648.85,799.0,521.0,181007,117446381.25,14390,INDIASHLTR
2025-01-15,EQ,650.0,660.0,629.9,640.4,652.0,650.6,640.59,799.0,521.0,193834,124167298.2,23808,INDIASHLTR
2025-01-14,EQ,650.0,650.0,633.0,644.45,640.0,640.4,639.22,799.0,521.0,77238,49371838.0,11477,INDIASHLTR
2025-01-13,EQ,655.1,671.75,638.1,670.4,646.5,644.45,648.62,799.0,521.0,78667,51025019.7,9917,INDIASHLTR
2025-01-10,EQ,693.95,693.95,655.7,686.05,669.0,670.4,667.94,799.0,521.0,83665,55883486.45,12431,INDIASHLTR
2025-01-09,EQ,696.55,697.5,682.0,689.65,687.0,686.05,689.0,799.0,521.0,52056,35866689.7,7491,INDIASHLTR
2025-01-08,EQ,695.0,705.35,685.5,685.55,688.0,689.65,693.11,799.0,521.0,46976,32559384.65,3302,INDIASHLTR
2025-01-07,EQ,697.0,699.35,671.1,697.55,685.0,685.55,683.4,799.0,521.0,98092,67035985.5,15326,INDIASHLTR
2025-01-06,EQ,698.55,720.15,690.0,698.55,700.0,697.55,698.33,799.0,521.0,69473,48514787.4,5558,INDIASHLTR
2025-01-03,EQ,691.55,701.2,691.0,697.9,700.0,698.55,698.17,799.0,521.0,23824,16633249.9,2064,INDIASHLTR
2025-01-02,EQ,701.0,703.5,694.5,701.0,697.45,697.9,697.95,799.0,521.0,22107,15429558.75,2212,INDIASHLTR
2025-01-01,EQ,708.0,708.0,688.05,705.0,702.0,701.0,697.72,799.0,521.0,31671,22097346.45,2611,INDIASHLTR
2024-12-31,EQ,705.1,707.0,693.85,705.85,703.85,705.0,704.34,799.0,521.0,202948,142944063.2,3129,INDIASHLTR
2024-12-30,EQ,712.95,717.0,697.5,704.4,707.95,705.85,705.9,799.0,521.0,179338,126594347.85,8174,INDIASHLTR
2024-12-27,EQ,685.1,713.0,685.1,691.25,710.0,704.4,700.87,799.0,519.15,74902,52496888.85,3710,INDIASHLTR
2024-12-26,EQ,700.0,700.0,685.55,690.4,693.0,691.25,690.27,799.0,519.15,50734,35020113.3,2813,INDIASHLTR
2024-12-24,EQ,692.0,701.1,681.75,684.85,693.0,690.4,692.68,799.0,519.15,47229,32714559.65,3747,INDIASHLTR
2024-12-23,EQ,718.0,718.0,679.95,702.25,685.0,684.85,690.47,799.0,519.15,96538,66656296.45,6406,INDIASHLTR
2024-12-20,EQ,697.1,722.0,696.05,704.1,699.6,702.25,709.26,799.0,519.15,128038,90811715.85,6158,INDIASHLTR
2024-12-19,EQ,684.4,710.0,684.4,699.6,704.0,704.1,700.48,799.0,519.15,247882,173636503.25,8636,INDIASHLTR
2024-12-18,EQ,701.95,706.9,695.0,699.8,699.0,699.6,699.4,799.0,519.15,40748,28499339.1,2252,INDIASHLTR
2024-12-17,EQ,695.0,705.9,692.0,699.6,702.9,699.8,697.85,799.0,519.15,91322,63729155.4,3399,INDIASHLTR
2024-12-16,EQ,709.5,709.5,697.0,701.95,698.0,699.6,701.81,799.0,519.15,61805,43375282.45,3730,INDIASHLTR
2024-12-13,EQ,694.0,710.25,682.3,697.65,700.0,701.95,691.69,799.0,519.15,201511,139384097.2,7920,INDIASHLTR
2024-12-12,EQ,701.85,707.05,690.25,701.85,697.9,697.65,694.48,799.0,519.15,184049,127818004.1,5907,INDIASHLTR
