DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,207.5,208.84,193.92,206.47,195.15,195.12,199.9,293.2,193.92,729711,145872759.61,18653,INDOFARM
2025-01-23,EQ,205.95,215.0,205.55,205.55,206.94,206.47,209.48,293.2,202.05,886889,185785650.75,21141,INDOFARM
2025-01-22,EQ,213.0,213.5,202.05,213.22,207.0,205.55,207.51,293.2,202.05,947616,196638699.2,24772,INDOFARM
2025-01-21,EQ,217.45,227.35,208.3,217.41,211.55,213.22,218.76,293.2,208.3,1129238,247035212.51,29475,INDOFARM
2025-01-20,EQ,225.99,227.09,216.22,225.39,216.7,217.41,219.91,293.2,216.22,667265,146736307.16,19221,INDOFARM
2025-01-17,EQ,231.8,232.91,224.0,233.57,225.5,225.39,227.92,293.2,220.2,615211,140218919.69,14998,INDOFARM
2025-01-16,EQ,238.8,248.75,231.0,236.32,231.9,233.57,239.2,293.2,220.2,1817161,434661660.79,40348,INDOFARM
2025-01-15,EQ,231.9,247.9,224.23,230.39,233.8,236.32,236.62,293.2,220.2,3949345,934474490.6,76519,INDOFARM
2025-01-14,EQ,227.97,234.59,220.4,226.04,230.8,230.39,228.55,293.2,220.2,2097805,479460411.12,38248,INDOFARM
2025-01-13,EQ,249.02,249.7,220.2,253.16,223.09,226.04,234.64,293.2,220.2,2530604,593788958.36,46849,INDOFARM
2025-01-10,EQ,257.0,263.0,245.01,263.2,252.99,253.16,253.07,293.2,245.01,2813860,712113916.19,57538,INDOFARM
2025-01-09,EQ,281.8,285.8,261.0,277.8,263.0,263.2,273.02,293.2,256.0,3404937,929604515.94,56598,INDOFARM
2025-01-08,EQ,276.44,293.2,275.0,273.69,278.29,277.8,284.05,293.2,256.0,8917270,2532974639.21,104443,INDOFARM
2025-01-07,EQ,256.0,287.0,256.0,215.0,275.49,273.69,276.65,287.0,256.0,24272789,6714946630.06,266353,INDOFARM
