DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,1060.5,1061.0,986.95,1068.85,1000.0,1003.0,1020.89,1260.0,421.35,96705,98725109.6,8799,INNOVACAP
2025-01-23,EQ,985.8,1099.0,985.8,1003.0,1060.0,1068.85,1059.15,1260.0,421.35,110563,117102595.3,8457,INNOVACAP
2025-01-22,EQ,1035.0,1035.0,952.65,1036.1,1010.0,1003.0,984.8,1260.0,421.35,110121,108447427.8,8103,INNOVACAP
2025-01-21,EQ,1016.65,1044.85,1003.25,1020.05,1035.0,1036.1,1022.54,1260.0,421.35,46308,47351667.4,8182,INNOVACAP
2025-01-20,EQ,1050.0,1061.4,1010.0,1034.45,1018.95,1020.05,1031.56,1260.0,421.35,48117,49635536.0,6218,INNOVACAP
2025-01-17,EQ,1039.0,1040.5,1011.8,1041.65,1032.65,1034.45,1026.74,1260.0,421.35,40633,41719673.3,4472,INNOVACAP
2025-01-16,EQ,1025.0,1058.05,995.0,1016.3,1035.0,1041.65,1025.49,1260.0,421.35,89774,92062384.05,9388,INNOVACAP
2025-01-15,EQ,1045.0,1068.0,976.2,1038.5,1010.0,1016.3,1001.82,1260.0,421.35,231915,232336824.55,20775,INNOVACAP
2025-01-14,EQ,1099.95,1099.95,1020.0,1015.7,1037.2,1038.5,1039.56,1260.0,421.35,72915,75799615.8,8434,INNOVACAP
2025-01-13,EQ,1072.85,1095.5,1008.05,1081.55,1034.4,1015.7,1042.46,1260.0,421.35,106429,110948040.05,10837,INNOVACAP
2025-01-10,EQ,1120.35,1144.75,1070.0,1120.35,1110.0,1081.55,1099.44,1260.0,421.35,108555,119349841.35,13124,INNOVACAP
2025-01-09,EQ,1173.0,1181.05,1111.4,1187.7,1120.0,1120.35,1139.33,1260.0,421.35,114673,130650585.75,15498,INNOVACAP
2025-01-08,EQ,1244.0,1260.0,1163.5,1240.0,1187.9,1187.7,1203.69,1260.0,421.35,127687,153695078.15,15072,INNOVACAP
2025-01-07,EQ,1203.0,1250.15,1202.15,1202.55,1233.0,1240.0,1233.68,1259.0,421.35,132989,164065814.8,13537,INNOVACAP
2025-01-06,EQ,1192.6,1259.0,1182.0,1182.95,1199.8,1202.55,1226.42,1259.0,421.35,299695,367553071.65,22608,INNOVACAP
2025-01-03,EQ,1160.0,1215.0,1150.0,1138.85,1181.5,1182.95,1180.8,1215.0,421.35,204927,241976850.35,16483,INNOVACAP
2025-01-02,EQ,1126.1,1165.0,1125.5,1109.45,1137.7,1138.85,1143.36,1176.0,421.35,127989,146337994.6,9878,INNOVACAP
2025-01-01,EQ,1115.4,1120.0,1096.95,1115.4,1119.0,1109.45,1106.97,1176.0,421.35,30551,33818897.9,2942,INNOVACAP
2024-12-31,EQ,1102.0,1129.95,1082.55,1098.8,1105.45,1115.4,1110.07,1176.0,421.35,64234,71304267.2,5210,INNOVACAP
2024-12-30,EQ,1081.05,1155.0,1081.05,1081.05,1108.0,1098.8,1121.44,1176.0,421.35,210563,236134045.75,14364,INNOVACAP
2024-12-27,EQ,1080.0,1107.9,1030.1,1056.2,1074.0,1081.05,1072.71,1176.0,421.35,165772,177825432.9,14137,INNOVACAP
