DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,800.55,807.85,798.05,798.95,807.0,804.2,803.26,922.45,672.05,56669,45520142.15,6276,ISEC
2025-01-23,EQ,795.0,802.95,792.85,800.9,797.45,798.95,799.33,922.45,672.05,31729,25361866.85,3282,ISEC
2025-01-22,EQ,796.0,806.7,791.15,796.65,799.15,800.9,798.89,922.45,672.05,116106,92756407.65,7634,ISEC
2025-01-21,EQ,813.1,820.25,794.0,818.45,798.35,796.65,803.4,922.45,672.05,107941,86720335.5,6769,ISEC
2025-01-20,EQ,814.5,825.7,807.05,813.85,817.5,818.45,819.0,922.45,672.05,261863,214465589.35,13259,ISEC
2025-01-17,EQ,825.0,833.25,807.0,824.05,814.7,813.85,812.13,922.45,672.05,86226,70026299.4,3457,ISEC
2025-01-16,EQ,823.1,834.05,820.0,826.65,825.75,824.05,825.16,922.45,672.05,257691,212636848.1,9567,ISEC
2025-01-15,EQ,830.4,833.0,820.05,828.5,825.0,826.65,826.78,922.45,672.05,88186,72910057.95,5263,ISEC
2025-01-14,EQ,817.05,831.7,815.5,816.8,830.95,828.5,823.29,922.45,672.05,140281,115492623.9,9235,ISEC
2025-01-13,EQ,824.3,825.6,810.6,827.55,819.35,816.8,817.88,922.45,672.05,288950,236327715.75,16212,ISEC
2025-01-10,EQ,832.1,838.8,823.5,839.4,823.5,827.55,830.51,922.45,672.05,94925,78836039.35,6046,ISEC
2025-01-09,EQ,833.0,842.75,828.5,840.15,841.75,839.4,834.4,922.45,672.05,218160,182032515.55,12600,ISEC
2025-01-08,EQ,845.0,852.45,833.5,848.25,844.95,840.15,841.48,922.45,672.05,125345,105474711.0,8374,ISEC
2025-01-07,EQ,847.0,853.7,840.4,839.35,852.0,848.25,848.6,922.45,672.05,162536,137927350.1,8029,ISEC
2025-01-06,EQ,838.05,844.5,832.75,838.0,836.0,839.35,838.44,922.45,672.05,172329,144488274.0,10283,ISEC
2025-01-03,EQ,860.0,861.9,835.85,861.9,839.0,838.0,843.4,922.45,672.05,333599,281355991.95,12386,ISEC
2025-01-02,EQ,852.0,864.25,852.0,857.6,857.0,861.9,860.6,922.45,672.05,115955,99790303.2,6951,ISEC
2025-01-01,EQ,856.35,861.5,840.55,856.35,858.1,857.6,854.38,922.45,672.05,219906,187882727.05,10411,ISEC
2024-12-31,EQ,861.4,861.4,850.15,863.65,856.85,856.35,855.37,922.45,672.05,164342,140573283.0,7899,ISEC
2024-12-30,EQ,842.0,877.95,842.0,853.9,865.0,863.65,862.74,922.45,672.05,1056180,911208921.05,28834,ISEC
2024-12-27,EQ,852.7,860.55,850.95,848.55,851.65,853.9,853.91,922.45,672.05,209451,178852444.5,8309,ISEC
2024-12-26,EQ,847.1,855.2,837.7,849.6,847.0,848.55,842.5,922.45,672.05,409297,344831975.9,11846,ISEC
2024-12-24,EQ,842.55,852.0,842.55,847.5,848.3,849.6,847.62,922.45,672.05,345343,292718580.95,8687,ISEC
2024-12-23,EQ,826.0,849.85,826.0,831.65,849.5,847.5,842.94,922.45,672.05,176993,149194022.4,12391,ISEC
2024-12-20,EQ,844.95,847.4,822.65,842.85,833.05,831.65,832.43,922.45,672.05,503711,419304809.3,15221,ISEC
2024-12-19,EQ,835.0,849.5,835.0,859.6,840.05,842.85,844.87,922.45,672.05,107680,90975894.5,7788,ISEC
2024-12-18,EQ,869.1,876.95,851.75,874.7,860.2,859.6,861.15,922.45,672.05,144155,124139316.5,6575,ISEC
2024-12-17,EQ,889.0,889.6,870.6,889.3,875.05,874.7,876.42,922.45,672.05,147960,129674741.8,5173,ISEC
2024-12-16,EQ,886.0,892.0,884.1,884.15,891.0,889.3,888.22,922.45,672.05,158166,140485787.2,7899,ISEC
2024-12-13,EQ,878.7,886.0,864.3,878.7,885.8,884.15,875.08,922.45,672.05,209704,183507903.7,9519,ISEC
2024-12-12,EQ,875.0,886.6,875.0,880.4,877.8,878.7,881.36,922.45,672.05,123493,108842298.7,6294,ISEC
2024-12-11,EQ,882.0,884.95,872.8,882.35,878.05,880.4,880.71,922.45,672.05,106370,93681325.35,6427,ISEC
2024-12-10,EQ,886.95,886.95,876.75,882.35,881.0,882.35,881.32,922.45,672.05,283375,249744054.5,12238,ISEC
2024-12-09,EQ,878.55,888.55,878.55,888.95,881.7,882.35,883.36,922.45,672.05,153049,135197826.55,10132,ISEC
2024-12-06,EQ,894.95,904.65,886.6,892.35,890.65,888.95,896.08,922.45,672.05,453822,406660155.95,16464,ISEC
2024-12-05,EQ,884.9,897.5,877.1,881.1,890.05,892.35,888.87,922.45,672.05,182807,162491891.55,9982,ISEC
2024-12-04,EQ,870.0,893.0,869.5,878.3,880.2,881.1,883.69,922.45,672.05,350642,309857640.2,15288,ISEC
2024-12-03,EQ,866.2,885.0,866.2,872.85,876.5,878.3,877.94,922.45,672.05,168987,148360590.15,7685,ISEC
2024-12-02,EQ,872.65,880.0,864.65,872.65,871.6,872.85,874.89,922.45,672.05,50839,44478687.15,3770,ISEC
2024-11-29,EQ,877.0,877.0,864.6,866.15,870.0,872.65,870.53,922.45,654.0,54715,47630968.5,3455,ISEC
2024-11-28,EQ,872.0,880.55,863.15,875.0,867.0,866.15,871.27,922.45,654.0,283271,246804704.4,11466,ISEC
2024-11-27,EQ,877.95,885.0,871.9,876.2,872.25,875.0,876.02,922.45,654.0,114393,100211102.7,4994,ISEC
2024-11-26,EQ,879.9,882.2,869.8,873.05,874.4,876.2,877.14,922.45,654.0,71558,62766222.05,7094,ISEC
2024-11-25,EQ,862.7,882.0,852.1,850.95,873.05,873.05,875.45,922.45,654.0,216696,189705937.3,13767,ISEC
2024-11-22,EQ,841.1,857.55,841.05,837.15,851.5,850.95,852.37,922.45,654.0,106738,90979819.9,9788,ISEC
2024-11-21,EQ,832.0,843.0,828.3,839.55,838.5,837.15,836.25,922.45,654.0,84463,70632233.05,7862,ISEC
2024-11-19,EQ,836.2,846.95,833.2,841.55,837.7,839.55,840.07,922.45,654.0,123910,104093025.25,8918,ISEC
2024-11-18,EQ,829.1,845.95,829.1,843.65,840.05,841.55,841.62,922.45,654.0,101861,85728222.1,5107,ISEC
2024-11-14,EQ,841.4,849.15,828.0,841.0,843.55,843.65,842.16,922.45,640.6,121996,102740493.05,6872,ISEC
2024-11-13,EQ,845.0,850.8,838.1,842.65,844.9,841.0,843.64,922.45,640.6,386558,326116843.1,10746,ISEC
2024-11-12,EQ,842.0,858.35,840.8,841.9,845.0,842.65,849.03,922.45,640.6,90408,76758658.2,4694,ISEC
2024-11-11,EQ,841.75,848.4,832.4,843.2,842.0,841.9,841.73,922.45,640.6,160808,135356632.0,12306,ISEC
2024-11-08,EQ,852.5,855.15,837.0,852.45,843.4,843.2,841.41,922.45,640.1,134927,113529541.1,7325,ISEC
2024-11-07,EQ,870.45,870.45,850.0,867.5,854.35,852.45,854.62,922.45,640.1,86915,74279560.15,5414,ISEC
2024-11-06,EQ,867.9,875.85,862.0,861.95,866.1,867.5,870.21,922.45,640.1,63777,55499595.6,3357,ISEC
2024-11-05,EQ,852.1,868.0,843.75,853.1,860.3,861.95,853.5,922.45,640.1,97764,83441529.8,4576,ISEC
2024-11-04,EQ,864.9,864.9,848.15,863.9,850.05,853.1,854.05,922.45,640.1,149594,127761243.35,9489,ISEC
2024-11-01,EQ,867.6,870.0,861.0,867.6,866.0,863.9,864.95,922.45,621.55,31840,27539864.05,2438,ISEC
2024-10-31,EQ,876.1,877.0,858.65,873.1,870.9,867.6,869.27,922.45,621.55,217230,188832201.4,8594,ISEC
2024-10-30,EQ,885.0,886.55,869.4,882.1,871.1,873.1,874.13,922.45,621.55,161552,141218136.35,6054,ISEC
2024-10-29,EQ,862.8,884.0,860.2,858.35,884.0,882.1,873.93,922.45,621.55,689100,602228063.35,16685,ISEC
2024-10-28,EQ,869.0,869.0,848.6,834.75,858.5,858.35,861.43,922.45,621.55,1035175,891729810.4,20614,ISEC
2024-10-25,EQ,830.0,849.0,820.1,836.25,834.35,834.75,830.64,922.45,621.55,275439,228791497.7,8701,ISEC
2024-10-24,EQ,840.8,845.1,830.0,836.8,838.05,836.25,836.27,922.45,621.55,147353,123226975.8,8406,ISEC
2024-10-23,EQ,845.7,846.8,826.1,845.9,838.0,836.8,835.02,922.45,621.55,276395,230794787.6,9535,ISEC
2024-10-22,EQ,843.0,864.9,841.75,849.8,846.8,845.9,850.83,922.45,621.55,675252,574526919.05,23300,ISEC
2024-10-21,EQ,862.0,864.9,844.15,859.85,849.85,849.8,851.57,922.45,621.55,152497,129861180.3,7975,ISEC
2024-10-18,EQ,833.5,862.7,831.1,845.4,860.25,859.85,851.64,922.45,621.55,174694,148776887.1,10554,ISEC
2024-10-17,EQ,875.0,877.95,843.2,872.9,846.65,845.4,852.42,922.45,621.55,128330,109390696.4,10358,ISEC
2024-10-16,EQ,851.95,877.6,845.0,847.55,865.0,872.9,861.86,922.45,621.55,350785,302327841.9,18519,ISEC
