DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-10,EQ,447.7,468.0,424.55,440.4,441.6,442.7,450.32,592.7,210.0,39381394,17734190812.0,528738,ITI
2025-01-09,EQ,480.9,489.4,431.55,479.5,439.0,440.4,453.07,592.7,210.0,16277374,7374759777.4,232513,ITI
2025-01-08,EQ,470.0,522.0,452.2,489.95,481.4,479.5,489.53,592.7,210.0,61472738,30092507410.95,788068,ITI
2025-01-07,EQ,575.15,592.7,489.95,544.35,489.95,489.95,531.86,592.7,210.0,21365884,11363574134.8,229981,ITI
2025-01-06,EQ,473.4,548.5,473.4,457.1,548.5,544.35,522.59,548.5,210.0,83978332,43885828391.4,1048920,ITI
2025-01-03,EQ,385.5,457.1,379.05,380.95,457.1,457.1,425.22,457.1,210.0,89246558,37949732622.1,871899,ITI
2025-01-02,EQ,384.75,394.2,375.05,381.75,382.9,380.95,380.87,413.85,210.0,12054836,4591360031.6,150550,ITI
2025-01-01,EQ,390.0,402.5,377.5,387.15,383.0,381.75,388.51,413.85,210.0,27842475,10817189327.15,350752,ITI
2024-12-31,EQ,378.55,413.85,371.2,379.2,386.1,387.15,392.14,413.85,210.0,82837891,32484332948.9,1115301,ITI
2024-12-30,EQ,327.7,389.0,325.7,328.2,375.1,379.2,372.48,404.0,210.0,58754985,21885309360.5,708626,ITI
2024-12-27,EQ,331.0,337.3,325.8,333.95,327.4,328.2,330.39,404.0,210.0,2879083,951224513.1,53543,ITI
2024-12-26,EQ,342.95,342.95,330.7,343.75,330.75,333.95,336.49,404.0,210.0,2147728,722688660.75,39185,ITI
2024-12-24,EQ,340.9,349.7,332.9,341.1,340.6,343.75,341.52,404.0,210.0,4676244,1597028245.45,88265,ITI
2024-12-23,EQ,345.05,347.95,333.1,341.65,341.7,341.1,340.28,404.0,210.0,4386210,1492542809.35,70176,ITI
