DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,575.5,583.95,552.55,574.2,561.3,560.3,571.35,897.25,550.0,16546,9453636.05,1540,JNKINDIA
2025-01-23,EQ,585.95,585.95,570.05,574.0,576.0,574.2,577.77,897.25,550.0,7911,4570766.2,1411,JNKINDIA
2025-01-22,EQ,583.8,589.0,573.0,589.85,578.2,574.0,577.13,897.25,550.0,17344,10009812.65,1430,JNKINDIA
2025-01-21,EQ,596.95,601.4,582.3,584.0,591.25,589.85,591.5,897.25,550.0,13813,8170387.25,1807,JNKINDIA
2025-01-20,EQ,595.5,601.95,580.0,596.25,584.7,584.0,586.69,897.25,550.0,19167,11245054.0,2017,JNKINDIA
2025-01-17,EQ,606.75,610.0,595.0,606.95,595.5,596.25,597.93,897.25,550.0,19610,11725401.6,1366,JNKINDIA
2025-01-16,EQ,612.05,634.0,597.0,611.4,606.65,606.95,608.82,897.25,550.0,31461,19154152.5,2184,JNKINDIA
2025-01-15,EQ,629.85,629.85,609.35,606.55,614.5,611.4,617.68,897.25,550.0,43991,27172209.85,3770,JNKINDIA
2025-01-14,EQ,574.3,632.6,571.6,575.1,622.15,606.55,598.99,897.25,550.0,67743,40577203.65,5973,JNKINDIA
2025-01-13,EQ,620.0,620.0,571.05,594.15,577.0,575.1,590.78,897.25,550.0,31162,18409926.45,3063,JNKINDIA
2025-01-10,EQ,608.25,611.2,591.65,612.05,593.05,594.15,599.1,897.25,550.0,18966,11362440.35,2256,JNKINDIA
2025-01-09,EQ,617.7,625.0,610.0,620.8,612.95,612.05,616.74,897.25,550.0,9631,5939793.3,1198,JNKINDIA
2025-01-08,EQ,640.0,641.9,613.2,625.7,624.8,620.8,623.72,897.25,550.0,26945,16806117.1,2232,JNKINDIA
2025-01-07,EQ,616.8,634.95,615.05,615.55,623.05,625.7,624.13,897.25,550.0,19616,12242880.05,2298,JNKINDIA
2025-01-06,EQ,643.0,650.7,611.05,649.4,616.9,615.55,624.71,897.25,550.0,28533,17824813.7,3784,JNKINDIA
2025-01-03,EQ,640.1,658.3,639.95,646.0,649.9,649.4,652.58,897.25,550.0,10125,6607350.2,1720,JNKINDIA
2025-01-02,EQ,665.0,665.0,637.4,660.75,648.7,646.0,645.0,897.25,550.0,30088,19406702.5,2410,JNKINDIA
2025-01-01,EQ,659.1,668.95,654.4,656.5,660.0,660.75,662.16,897.25,550.0,11834,7835988.75,1332,JNKINDIA
2024-12-31,EQ,644.4,662.1,628.05,640.0,654.0,656.5,644.0,897.25,550.0,21395,13778282.65,2023,JNKINDIA
2024-12-30,EQ,639.35,647.8,630.8,640.65,640.35,640.0,640.13,897.25,550.0,15149,9697304.9,1767,JNKINDIA
2024-12-27,EQ,631.1,649.45,631.1,640.7,644.0,640.65,639.87,897.25,550.0,17194,11001935.6,1671,JNKINDIA
2024-12-26,EQ,640.55,654.95,630.0,624.9,640.1,640.7,638.71,897.25,550.0,57264,36575109.75,4753,JNKINDIA
2024-12-24,EQ,650.25,659.9,620.0,647.85,627.65,624.9,638.2,897.25,550.0,61668,39356387.9,3407,JNKINDIA
2024-12-23,EQ,662.75,677.9,645.05,658.5,650.25,647.85,659.17,897.25,550.0,39758,26207104.9,2422,JNKINDIA
2024-12-20,EQ,698.0,710.0,653.4,683.4,662.8,658.5,673.7,897.25,550.0,71525,48186626.9,4271,JNKINDIA
2024-12-19,EQ,674.1,698.2,659.9,691.1,687.0,683.4,687.77,897.25,550.0,47441,32628730.15,3745,JNKINDIA
2024-12-18,EQ,690.15,704.4,685.0,684.7,692.3,691.1,694.46,897.25,550.0,77665,53934904.35,4387,JNKINDIA
2024-12-17,EQ,670.05,705.95,669.95,673.7,683.0,684.7,690.92,897.25,550.0,114813,79326403.75,7517,JNKINDIA
2024-12-16,EQ,640.1,702.0,640.1,639.0,674.0,673.7,676.93,897.25,550.0,193220,130797039.2,10705,JNKINDIA
2024-12-13,EQ,627.5,650.0,607.55,621.3,636.15,639.0,633.73,897.25,550.0,67499,42775850.95,4709,JNKINDIA
2024-12-12,EQ,618.9,661.2,615.35,618.9,619.15,621.3,640.22,897.25,550.0,116184,74383852.65,7843,JNKINDIA
2024-12-11,EQ,619.1,620.95,610.05,616.35,619.0,618.9,618.1,897.25,550.0,39890,24655832.5,3680,JNKINDIA
2024-12-10,EQ,610.95,626.0,610.1,610.8,619.0,616.35,618.09,897.25,550.0,44954,27785777.6,3476,JNKINDIA
2024-12-09,EQ,611.0,630.0,609.0,610.3,612.0,610.8,616.1,897.25,550.0,41990,25870223.55,2871,JNKINDIA
