DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,849.0,851.0,805.65,842.95,810.0,809.6,824.94,904.4,402.1,855552,705775452.1,26647,KRN
2025-01-23,EQ,831.0,904.4,820.05,831.1,845.0,842.95,868.34,904.4,402.1,2129402,1849054209.3,59028,KRN
2025-01-22,EQ,862.7,868.75,792.55,846.7,830.0,831.1,829.0,899.0,402.1,1838162,1523842898.75,51006,KRN
2025-01-21,EQ,840.0,899.0,824.9,828.75,848.1,846.7,874.96,899.0,402.1,4420204,3867523447.15,116995,KRN
2025-01-20,EQ,758.9,828.75,749.8,753.45,828.75,828.75,800.58,879.95,402.1,1727455,1382969653.15,53513,KRN
2025-01-17,EQ,732.1,777.0,714.05,732.25,750.25,753.45,753.39,879.95,402.1,947745,714025876.6,28286,KRN
2025-01-16,EQ,736.0,745.0,723.85,728.55,733.15,732.25,734.87,879.95,402.1,207314,152349489.9,9579,KRN
2025-01-15,EQ,737.8,757.65,721.55,735.3,725.65,728.55,741.88,879.95,402.1,407347,302201730.4,18269,KRN
2025-01-14,EQ,720.0,750.0,688.0,711.5,734.0,735.3,717.24,879.95,402.1,1088108,780434235.15,42358,KRN
2025-01-13,EQ,695.0,723.85,675.3,706.95,705.0,711.5,704.5,879.95,402.1,610312,429967418.7,24481,KRN
2025-01-10,EQ,731.0,732.0,702.0,731.2,712.9,706.95,711.96,879.95,402.1,440803,313834042.45,17507,KRN
2025-01-09,EQ,763.7,772.75,725.0,760.5,730.0,731.2,747.72,879.95,402.1,326407,244060886.95,11551,KRN
2025-01-08,EQ,778.0,778.0,747.55,775.4,761.95,760.5,759.35,879.95,402.1,390917,296843971.25,12185,KRN
2025-01-07,EQ,752.95,783.55,751.0,747.55,776.75,775.4,771.61,879.95,402.1,598382,461717661.65,16215,KRN
2025-01-06,EQ,798.0,815.55,741.95,795.5,753.4,747.55,776.92,879.95,402.1,864818,671894787.15,27082,KRN
2025-01-03,EQ,789.75,823.55,784.2,792.75,792.0,795.5,803.31,879.95,402.1,938229,753692713.65,22545,KRN
2025-01-02,EQ,784.0,804.0,770.65,769.7,789.0,792.75,788.36,879.95,402.1,1555800,1226531437.8,34770,KRN
2025-01-01,EQ,700.0,770.55,699.95,700.5,770.55,769.7,752.67,879.95,402.1,1508153,1135148314.95,38358,KRN
2024-12-31,EQ,695.3,714.5,687.0,700.7,703.0,700.5,701.46,879.95,402.1,452741,317578883.05,19307,KRN
2024-12-30,EQ,733.9,733.9,695.2,731.75,700.8,700.7,711.98,879.95,402.1,873251,621734894.55,37367,KRN
2024-12-27,EQ,706.35,767.0,705.5,704.2,735.0,731.75,740.46,879.95,402.1,1179314,873237212.9,34290,KRN
2024-12-26,EQ,715.0,722.0,698.1,717.55,702.35,704.2,707.73,879.95,402.1,245179,173519887.3,10102,KRN
2024-12-24,EQ,711.0,732.0,701.75,710.3,719.95,717.55,715.84,879.95,402.1,354608,253843989.6,13444,KRN
2024-12-23,EQ,708.85,732.8,704.0,703.45,709.0,710.3,716.65,879.95,402.1,453562,325044672.65,16279,KRN
2024-12-20,EQ,742.7,747.0,686.65,739.15,706.0,703.45,718.88,879.95,402.1,592047,425612003.35,19276,KRN
2024-12-19,EQ,735.0,753.65,710.0,759.55,740.25,739.15,742.51,879.95,402.1,368134,273344669.55,16374,KRN
2024-12-18,EQ,770.5,773.0,745.25,768.7,758.5,759.55,754.88,879.95,402.1,353917,267166518.75,15215,KRN
2024-12-17,EQ,788.0,794.95,762.65,786.85,765.85,768.7,777.02,879.95,402.1,399377,310324938.65,15798,KRN
2024-12-16,EQ,778.0,809.9,778.0,783.6,786.0,786.85,794.47,879.95,402.1,406821,323205245.1,11801,KRN
2024-12-13,EQ,776.0,795.0,770.0,798.0,786.4,783.6,782.47,879.95,402.1,456186,356953027.45,13426,KRN
2024-12-12,EQ,831.95,833.9,792.2,834.0,795.0,798.0,812.32,879.95,402.1,520543,422846489.75,16118,KRN
2024-12-11,EQ,834.85,844.8,828.8,835.35,831.85,834.0,835.94,879.95,402.1,277461,231940161.65,8255,KRN
2024-12-10,EQ,844.9,845.3,825.35,842.35,833.05,835.35,834.59,879.95,402.1,339291,283169045.3,8654,KRN
2024-12-09,EQ,849.0,860.25,837.0,847.6,840.45,842.35,847.3,879.95,402.1,551159,466995242.55,11998,KRN
2024-12-06,EQ,842.0,879.95,842.0,841.4,845.05,847.6,859.73,879.95,402.1,1417178,1218393894.5,25446,KRN
2024-12-05,EQ,823.5,862.55,816.1,823.95,839.95,841.4,840.2,862.55,402.1,1959997,1646783178.9,30690,KRN
2024-12-04,EQ,826.8,848.7,806.1,830.7,821.0,823.95,827.99,852.8,402.1,861389,713225199.8,22275,KRN
2024-12-03,EQ,831.8,852.8,821.0,828.35,824.0,830.7,835.01,852.8,402.1,1622534,1354824731.35,34060,KRN
2024-12-02,EQ,774.6,836.25,766.0,782.25,826.1,828.35,808.51,836.25,402.1,2035008,1645318447.2,38793,KRN
2024-11-29,EQ,746.75,790.0,733.9,745.6,777.0,782.25,769.45,821.95,402.1,1604110,1234276698.1,26034,KRN
2024-11-28,EQ,753.45,764.8,730.0,754.9,743.0,745.6,744.6,821.95,402.1,849534,632562190.35,18512,KRN
2024-11-27,EQ,747.0,769.8,744.05,742.7,751.55,754.9,757.24,821.95,402.1,945429,715915767.55,20095,KRN
2024-11-26,EQ,789.0,791.0,711.55,784.55,743.0,742.7,746.38,821.95,402.1,1914620,1429028282.5,43506,KRN
2024-11-25,EQ,809.0,819.75,768.05,790.5,782.2,784.55,797.47,821.95,402.1,1660676,1324341177.45,38090,KRN
2024-11-22,EQ,770.25,821.95,770.25,762.65,784.55,790.5,799.22,821.95,402.1,3675294,2937374977.8,78311,KRN
2024-11-21,EQ,732.0,777.95,693.0,737.1,762.95,762.65,746.03,798.75,402.1,2869650,2140843844.35,59376,KRN
2024-11-19,EQ,743.95,798.75,728.1,743.95,731.0,737.1,764.66,798.75,402.1,4229650,3234229843.1,86062,KRN
2024-11-18,EQ,659.4,753.0,640.0,652.2,735.25,743.95,707.68,753.0,402.1,5502251,3893813906.35,95480,KRN
2024-11-14,EQ,638.0,673.0,621.0,619.9,649.0,652.2,652.87,673.0,402.1,3455186,2255789444.25,60515,KRN
2024-11-13,EQ,613.2,644.5,590.0,609.9,620.5,619.9,618.45,657.3,402.1,1678649,1038164114.4,29534,KRN
2024-11-12,EQ,632.0,652.7,605.6,625.0,613.5,609.9,627.24,657.3,402.1,1494814,937601171.35,28141,KRN
2024-11-11,EQ,586.75,657.3,583.3,588.05,622.45,625.0,628.48,657.3,402.1,6321924,3973213671.3,145121,KRN
2024-11-08,EQ,577.05,636.0,574.05,592.85,584.2,588.05,607.27,636.75,402.1,5303979,3220953698.95,127883,KRN
2024-11-07,EQ,565.45,636.75,556.35,537.5,583.1,592.85,594.3,636.75,402.1,11280335,6703850518.2,309431,KRN
2024-11-06,EQ,455.0,537.5,451.05,447.95,537.5,537.5,506.25,537.5,402.1,4056581,2053644854.35,73711,KRN
2024-11-05,EQ,450.2,455.0,446.0,450.25,446.9,447.95,450.02,513.5,402.1,268145,120669405.65,8450,KRN
2024-11-04,EQ,466.9,467.0,448.0,467.85,449.1,450.25,451.2,513.5,402.1,636600,287235178.45,10989,KRN
2024-11-01,EQ,455.5,469.8,455.05,451.32,467.85,467.85,466.01,513.5,402.1,224338,104543821.6,7729,KRN
2024-10-31,EQ,458.0,463.6,447.07,456.03,452.5,451.32,455.78,513.5,402.1,500464,228103328.37,13516,KRN
2024-10-30,EQ,455.0,483.45,450.15,456.55,456.0,456.03,466.36,513.5,402.1,1086548,506719706.14,30540,KRN
2024-10-29,EQ,438.35,458.88,429.0,437.83,456.55,456.55,447.51,513.5,402.1,544344,243600926.95,15645,KRN
2024-10-28,EQ,442.9,449.0,434.0,428.16,434.15,437.83,441.85,513.5,402.1,451397,199448357.86,14563,KRN
2024-10-25,EQ,427.0,436.9,416.07,426.01,436.0,428.16,425.88,513.5,402.1,810397,345132434.4,18315,KRN
2024-10-24,EQ,436.0,439.0,420.15,435.43,423.45,426.01,430.34,513.5,402.1,265585,114291571.15,8627,KRN
2024-10-23,EQ,420.21,438.5,420.21,425.36,434.1,435.43,432.55,513.5,402.1,522421,225972299.34,17972,KRN
2024-10-22,EQ,454.0,455.0,422.0,450.13,423.3,425.36,433.32,513.5,402.1,516665,223880331.02,17988,KRN
2024-10-21,EQ,462.14,467.45,446.15,462.14,452.0,450.13,454.87,513.5,402.1,413276,187986635.79,14138,KRN
2024-10-18,EQ,452.7,468.4,439.0,453.27,462.0,462.14,456.48,513.5,402.1,817518,373182054.16,22024,KRN
2024-10-17,EQ,476.0,477.0,451.5,471.75,454.0,453.27,460.59,513.5,402.1,597455,275181472.28,17102,KRN
2024-10-16,EQ,484.0,487.19,466.74,483.7,470.0,471.75,474.76,513.5,402.1,933192,443038940.74,20882,KRN
2024-10-15,EQ,478.53,510.0,475.53,478.53,481.55,483.7,490.19,513.5,402.1,3122554,1530659322.33,63035,KRN
