DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,186.0,188.11,179.76,184.27,183.0,183.38,183.47,228.88,138.14,136148,24978993.85,3680,KRONOX
2025-01-23,EQ,185.95,186.2,180.0,184.24,185.75,184.27,182.85,228.88,138.14,141663,25902699.55,3769,KRONOX
2025-01-22,EQ,188.85,190.62,181.4,190.75,184.78,184.24,183.68,228.88,138.14,178098,32712258.16,4063,KRONOX
2025-01-21,EQ,186.45,196.0,185.12,184.58,188.8,190.75,191.09,228.88,138.14,387818,74108822.1,8150,KRONOX
2025-01-20,EQ,182.0,185.87,178.0,179.89,185.87,184.58,182.03,228.88,138.14,124678,22695267.01,2840,KRONOX
2025-01-17,EQ,178.93,180.59,177.62,180.86,179.5,179.89,179.25,228.88,138.14,70423,12623188.78,2441,KRONOX
2025-01-16,EQ,178.5,183.95,178.45,175.91,182.0,180.86,179.96,228.88,138.14,68953,12408639.55,2642,KRONOX
2025-01-15,EQ,180.0,182.24,174.14,179.44,176.74,175.91,177.15,228.88,138.14,167152,29611515.19,4001,KRONOX
2025-01-14,EQ,178.09,183.29,176.99,177.17,180.0,179.44,179.32,228.88,138.14,184239,33037092.96,4452,KRONOX
2025-01-13,EQ,185.5,186.56,174.32,187.09,177.2,177.17,179.85,228.88,138.14,166613,29965923.75,5713,KRONOX
2025-01-10,EQ,196.0,196.0,186.1,196.4,186.1,187.09,190.34,228.88,138.14,177116,33712486.88,4766,KRONOX
2025-01-09,EQ,198.0,203.47,195.0,198.66,195.34,196.4,199.28,228.88,138.14,148416,29576568.06,3184,KRONOX
2025-01-08,EQ,202.7,203.79,197.15,203.03,198.0,198.66,199.27,228.88,138.14,119612,23835084.95,3271,KRONOX
2025-01-07,EQ,196.79,204.74,196.0,198.98,203.69,203.03,201.11,228.88,138.14,238448,47953769.19,4623,KRONOX
2025-01-06,EQ,204.49,205.85,188.1,203.99,195.7,198.98,195.07,228.88,138.14,499567,97448311.98,8869,KRONOX
2025-01-03,EQ,202.0,209.97,202.0,202.86,204.5,203.99,205.7,228.88,138.14,203697,41901378.4,3742,KRONOX
2025-01-02,EQ,205.86,206.99,201.91,204.88,204.5,202.86,203.86,228.88,138.14,136356,27797269.48,4060,KRONOX
2025-01-01,EQ,199.69,206.42,198.59,199.74,204.5,204.88,203.39,228.88,138.14,198936,40462173.24,4014,KRONOX
2024-12-31,EQ,195.7,203.0,195.0,196.9,199.25,199.74,199.74,228.88,138.14,300880,60097820.66,5237,KRONOX
2024-12-30,EQ,200.01,201.59,195.2,200.9,197.6,196.9,197.76,228.88,138.14,310486,61400606.42,5579,KRONOX
2024-12-27,EQ,211.7,211.7,197.1,208.55,200.0,200.9,203.23,228.88,138.14,297075,60375858.37,5169,KRONOX
2024-12-26,EQ,212.35,215.79,205.5,212.82,209.1,208.55,208.94,228.88,138.14,293114,61242405.02,4664,KRONOX
2024-12-24,EQ,213.55,224.48,211.51,215.37,212.85,212.82,217.94,228.88,138.14,533321,116231185.7,7947,KRONOX
2024-12-23,EQ,211.45,220.0,208.4,210.58,214.55,215.37,215.87,228.88,138.14,364146,78607908.13,6226,KRONOX
2024-12-20,EQ,222.8,224.39,208.0,221.37,211.0,210.58,216.0,228.88,138.14,495490,107026464.43,8080,KRONOX
2024-12-19,EQ,210.0,228.75,208.66,212.15,221.0,221.37,222.82,228.88,138.14,1083912,241517256.15,15659,KRONOX
2024-12-18,EQ,219.12,219.3,210.1,219.12,213.1,212.15,214.81,228.88,138.14,241996,51982137.46,4924,KRONOX
2024-12-17,EQ,210.05,227.0,209.31,208.86,219.2,219.12,219.82,228.88,138.14,915875,201325599.59,11366,KRONOX
2024-12-16,EQ,213.45,215.77,207.86,212.02,209.09,208.86,211.13,228.88,138.14,183715,38788637.02,3966,KRONOX
2024-12-13,EQ,207.86,213.87,203.3,209.9,212.03,212.02,208.88,228.88,138.14,229540,47945231.78,4565,KRONOX
2024-12-12,EQ,216.22,219.78,207.63,217.33,208.8,209.9,212.33,228.88,138.14,382441,81205603.51,5552,KRONOX
2024-12-11,EQ,219.65,220.0,213.61,219.1,217.03,217.33,216.74,228.88,138.14,267321,57938236.14,4641,KRONOX
2024-12-10,EQ,223.64,228.88,216.06,219.29,218.0,219.1,221.51,228.88,138.14,675140,149547517.14,9861,KRONOX
2024-12-09,EQ,204.5,222.24,204.49,202.76,221.0,219.29,217.33,222.24,138.14,1315824,285963548.08,15825,KRONOX
2024-12-06,EQ,197.0,206.79,197.0,196.39,202.79,202.76,203.9,216.0,138.14,355679,72524069.36,4940,KRONOX
2024-12-05,EQ,203.04,204.04,195.35,203.04,197.64,196.39,199.34,216.0,138.14,227030,45256729.95,3332,KRONOX
2024-12-04,EQ,202.98,206.88,200.01,201.31,201.0,203.04,203.44,216.0,138.14,250327,50926491.19,5529,KRONOX
2024-12-03,EQ,210.8,212.99,200.15,210.6,201.5,201.31,205.53,216.0,138.14,386632,79465617.07,6184,KRONOX
