DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,187.0,189.76,180.78,188.35,184.0,183.24,185.61,270.89,158.0,92351,17140974.85,2932,KROSS
2025-01-23,EQ,191.0,193.42,187.15,190.26,188.45,188.35,189.74,270.89,158.0,77192,14646492.86,2600,KROSS
2025-01-22,EQ,196.95,197.41,186.8,195.95,190.7,190.26,190.9,270.89,158.0,113773,21718833.76,3218,KROSS
2025-01-21,EQ,196.02,197.29,193.15,195.38,196.32,195.95,195.62,270.89,158.0,85794,16782951.8,2192,KROSS
2025-01-20,EQ,197.85,199.0,195.1,195.54,196.03,195.38,196.43,270.89,158.0,61924,12163982.33,1893,KROSS
2025-01-17,EQ,194.5,198.9,192.21,192.4,195.2,195.54,196.52,270.89,158.0,139822,27477943.63,4231,KROSS
2025-01-16,EQ,192.47,198.28,191.37,191.52,194.5,192.4,192.99,270.89,158.0,120210,23199320.76,3122,KROSS
2025-01-15,EQ,190.65,192.69,187.69,189.84,191.9,191.52,190.4,270.89,158.0,134671,25641458.0,3483,KROSS
2025-01-14,EQ,186.49,190.65,183.14,183.28,190.65,189.84,186.88,270.89,158.0,146140,27311032.28,4127,KROSS
2025-01-13,EQ,190.66,192.73,181.39,190.66,183.7,183.28,186.54,270.89,158.0,261729,48821794.74,7667,KROSS
2025-01-10,EQ,202.99,204.16,187.89,203.81,191.05,190.66,193.62,270.89,158.0,529441,102511282.54,12267,KROSS
2025-01-09,EQ,208.99,210.0,202.46,208.96,202.99,203.81,206.64,270.89,158.0,148646,30715878.18,5217,KROSS
2025-01-08,EQ,210.45,210.45,205.03,209.65,208.4,208.96,208.07,270.89,158.0,233003,48481563.43,5255,KROSS
2025-01-07,EQ,211.8,214.9,208.11,211.79,209.0,209.65,210.52,270.89,158.0,298217,62780996.27,8201,KROSS
2025-01-06,EQ,220.0,220.49,207.13,218.84,215.0,211.79,213.19,270.89,158.0,358888,76513122.42,7925,KROSS
2025-01-03,EQ,214.98,222.5,214.5,213.73,219.1,218.84,219.28,270.89,158.0,282194,61880649.58,6314,KROSS
2025-01-02,EQ,215.57,217.66,213.0,215.56,214.5,213.73,214.82,270.89,158.0,137361,29507357.24,3005,KROSS
2025-01-01,EQ,215.0,217.0,213.25,213.07,215.31,215.56,215.65,270.89,158.0,136666,29471878.82,2606,KROSS
2024-12-31,EQ,215.5,216.0,211.33,216.26,213.2,213.07,213.37,270.89,158.0,320309,68343082.08,4645,KROSS
2024-12-30,EQ,221.2,226.5,215.49,223.81,215.99,216.26,220.86,270.89,158.0,354919,78387340.32,5664,KROSS
2024-12-27,EQ,225.0,229.9,220.01,223.95,224.0,223.81,225.68,270.89,158.0,482672,108931453.51,7087,KROSS
2024-12-26,EQ,214.8,225.02,213.42,216.72,224.23,223.95,220.86,270.89,158.0,503263,111152588.75,8902,KROSS
2024-12-24,EQ,209.0,217.9,209.0,209.2,217.9,216.72,213.58,270.89,158.0,333368,71199891.63,5493,KROSS
2024-12-23,EQ,218.84,218.84,208.72,216.98,209.33,209.2,211.97,270.89,158.0,289173,61294986.2,5839,KROSS
2024-12-20,EQ,223.45,223.79,215.0,222.0,215.1,216.98,219.82,270.89,158.0,561574,123445829.86,7232,KROSS
2024-12-19,EQ,217.25,222.98,213.11,217.2,222.0,222.0,218.28,270.89,158.0,496485,108372744.94,6426,KROSS
2024-12-18,EQ,225.0,230.36,212.6,223.18,218.26,217.2,220.26,270.89,158.0,916471,201860932.37,15381,KROSS
2024-12-17,EQ,222.95,225.0,220.5,221.12,222.6,223.18,222.55,270.89,158.0,300551,66887787.01,5276,KROSS
2024-12-16,EQ,219.98,223.0,219.11,217.9,220.95,221.12,221.58,270.89,158.0,288244,63869743.45,4225,KROSS
2024-12-13,EQ,221.08,222.01,214.75,221.08,219.59,217.9,217.55,270.89,158.0,406475,88429309.26,5885,KROSS
2024-12-12,EQ,219.9,225.67,219.89,219.57,221.19,221.08,222.69,270.89,158.0,628904,140049016.32,9022,KROSS
2024-12-11,EQ,229.7,229.7,218.61,229.02,219.3,219.57,221.67,270.89,158.0,1287679,285438681.52,19746,KROSS
2024-12-10,EQ,243.8,243.8,228.42,241.98,229.1,229.02,234.14,270.89,158.0,823866,192902311.69,11408,KROSS
2024-12-09,EQ,242.8,246.6,239.41,240.7,241.6,241.98,242.5,270.89,158.0,985652,239022954.38,13750,KROSS
2024-12-06,EQ,234.98,245.55,232.51,234.67,241.0,240.7,241.47,270.89,158.0,2504779,604825559.36,22974,KROSS
2024-12-05,EQ,235.5,239.37,232.33,233.12,234.99,234.67,236.16,270.89,158.0,1062244,250861425.16,11598,KROSS
2024-12-04,EQ,242.98,246.35,230.11,238.74,232.5,233.12,238.14,270.89,158.0,1703315,405631493.51,19364,KROSS
2024-12-03,EQ,234.0,243.0,228.16,231.74,238.26,238.74,236.69,270.89,158.0,2092382,495239917.36,29477,KROSS
2024-12-02,EQ,228.39,239.8,225.01,225.81,231.98,231.74,233.61,270.89,158.0,2630261,614442943.97,27667,KROSS
2024-11-29,EQ,219.65,229.9,217.2,219.72,225.1,225.81,225.82,270.89,158.0,1094675,247194933.82,17698,KROSS
2024-11-28,EQ,224.5,225.0,217.26,225.35,219.5,219.72,220.88,270.89,158.0,614014,135624205.66,13617,KROSS
2024-11-27,EQ,228.0,235.5,222.01,224.91,222.98,225.35,229.36,270.89,158.0,1590200,364730190.11,25242,KROSS
2024-11-26,EQ,212.9,227.99,212.01,212.02,226.9,224.91,221.47,270.89,158.0,1965561,435317283.95,32263,KROSS
2024-11-25,EQ,218.99,225.95,210.0,217.83,212.0,212.02,215.8,270.89,158.0,783302,169036598.84,17733,KROSS
2024-11-22,EQ,223.92,232.0,215.21,219.08,216.45,217.83,226.1,270.89,158.0,2815507,636578742.86,48586,KROSS
2024-11-21,EQ,203.88,225.69,199.77,203.28,220.45,219.08,218.83,270.89,158.0,3419814,748373199.77,62477,KROSS
2024-11-19,EQ,208.0,220.4,199.19,204.86,202.0,203.28,210.03,270.89,158.0,890712,187072303.89,14207,KROSS
2024-11-18,EQ,186.8,210.0,181.12,177.98,206.0,204.86,198.15,270.89,158.0,1217909,241328831.83,19952,KROSS
2024-11-14,EQ,175.01,183.0,175.01,176.87,177.56,177.98,179.69,270.89,158.0,178539,32081196.74,4359,KROSS
2024-11-13,EQ,186.11,189.0,175.76,190.39,177.0,176.87,180.04,270.89,158.0,392175,70606385.56,11125,KROSS
2024-11-12,EQ,201.0,202.65,188.78,198.7,190.23,190.39,194.78,270.89,158.0,208370,40585694.86,6765,KROSS
2024-11-11,EQ,196.8,206.0,195.0,199.35,198.14,198.7,200.75,270.89,158.0,293499,58920721.81,6400,KROSS
2024-11-08,EQ,209.5,209.54,198.0,209.75,199.22,199.35,203.6,270.89,158.0,405976,82658433.01,11761,KROSS
2024-11-07,EQ,211.52,219.65,207.0,211.52,208.69,209.75,213.82,270.89,158.0,1430596,305891409.76,28861,KROSS
2024-11-06,EQ,192.95,215.99,190.69,190.69,211.39,211.52,208.7,270.89,158.0,3466425,723434146.39,54462,KROSS
2024-11-05,EQ,176.5,194.8,176.24,177.14,190.0,190.69,187.89,270.89,158.0,791939,148793828.47,18529,KROSS
2024-11-04,EQ,184.99,184.99,176.25,181.19,177.06,177.14,178.25,270.89,158.0,240410,42851916.28,6764,KROSS
2024-11-01,EQ,170.0,184.0,168.6,167.77,181.7,181.19,179.36,270.89,158.0,341776,61299301.92,6167,KROSS
2024-10-31,EQ,169.03,172.69,165.15,169.48,167.95,167.77,168.99,270.89,158.0,174682,29520231.27,7115,KROSS
2024-10-30,EQ,163.0,171.8,163.0,164.88,169.98,169.48,168.75,270.89,158.0,242208,40871614.82,7741,KROSS
