DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,649.05,649.05,618.0,639.45,620.0,620.25,628.42,1021.95,618.0,23201,14580019.2,1875,KRYSTAL
2025-01-23,EQ,633.05,658.2,633.0,641.95,647.0,639.45,648.57,1021.95,627.95,46263,30004987.3,3492,KRYSTAL
2025-01-22,EQ,668.95,668.95,628.7,643.5,640.0,641.95,638.7,1021.95,627.95,44344,28322673.1,3285,KRYSTAL
2025-01-21,EQ,659.0,667.45,640.55,665.45,645.0,643.5,652.2,1021.95,627.95,45520,29688220.85,2486,KRYSTAL
2025-01-20,EQ,697.0,735.0,655.0,697.7,665.8,665.45,693.06,1021.95,627.95,136594,94667497.55,7483,KRYSTAL
2025-01-17,EQ,683.0,703.8,670.15,672.9,703.8,697.7,691.86,1021.95,627.95,54848,37947352.75,5216,KRYSTAL
2025-01-16,EQ,653.7,676.0,653.0,650.45,674.0,672.9,665.04,1021.95,627.95,23363,15537363.0,1503,KRYSTAL
2025-01-15,EQ,662.7,662.7,648.9,652.9,650.2,650.45,654.71,1021.95,627.95,12684,8304322.25,1240,KRYSTAL
2025-01-14,EQ,644.0,674.65,640.0,644.35,651.65,652.9,653.78,1021.95,627.95,59544,38928480.0,3436,KRYSTAL
2025-01-13,EQ,660.0,667.4,641.0,665.45,648.0,644.35,653.98,1021.95,627.95,32371,21169986.05,2610,KRYSTAL
2025-01-10,EQ,690.0,697.9,657.6,688.5,669.0,665.45,667.59,1021.95,627.95,33952,22666173.9,2339,KRYSTAL
2025-01-09,EQ,692.85,697.6,684.4,689.65,689.0,688.5,690.71,1021.95,627.95,12861,8883210.55,1815,KRYSTAL
2025-01-08,EQ,693.7,703.5,673.65,700.7,693.15,689.65,686.06,1021.95,627.95,61476,42176126.65,3377,KRYSTAL
2025-01-07,EQ,697.95,709.15,691.6,686.95,702.0,700.7,699.41,1021.95,627.95,24818,17357940.9,1942,KRYSTAL
2025-01-06,EQ,725.75,728.0,676.6,725.75,690.0,686.95,701.67,1021.95,627.95,74263,52108448.15,3582,KRYSTAL
2025-01-03,EQ,724.9,728.95,719.0,721.15,725.35,725.75,723.2,1021.95,627.95,17877,12928609.75,1385,KRYSTAL
2025-01-02,EQ,722.9,725.65,714.0,718.45,722.85,721.15,719.47,1021.95,627.95,28324,20378373.6,1454,KRYSTAL
2025-01-01,EQ,723.6,727.95,712.2,723.2,722.0,718.45,718.0,1021.95,627.95,15495,11125401.85,1197,KRYSTAL
2024-12-31,EQ,713.9,737.7,705.0,703.35,723.0,723.2,719.02,1021.95,627.95,43034,30942417.85,2541,KRYSTAL
2024-12-30,EQ,701.55,729.9,701.0,722.9,704.85,703.35,711.9,1021.95,627.95,34613,24640918.3,2487,KRYSTAL
2024-12-27,EQ,729.9,745.95,720.0,725.95,726.65,722.9,729.28,1021.95,627.95,27440,20011522.0,1394,KRYSTAL
2024-12-26,EQ,745.0,745.95,717.95,742.0,729.4,725.95,727.64,1021.95,627.95,29437,21419519.05,1799,KRYSTAL
2024-12-24,EQ,715.0,749.4,715.0,718.4,741.0,742.0,737.11,1021.95,627.95,30792,22696972.15,1868,KRYSTAL
2024-12-23,EQ,739.95,745.0,715.0,739.55,724.65,718.4,726.15,1021.95,627.95,47538,34519561.4,3075,KRYSTAL
2024-12-20,EQ,764.0,770.1,733.25,764.85,743.0,739.55,749.32,1021.95,627.95,52183,39101676.65,2581,KRYSTAL
2024-12-19,EQ,758.0,777.65,751.55,771.25,761.5,764.85,764.3,1021.95,627.95,37801,28891450.15,2289,KRYSTAL
2024-12-18,EQ,801.0,801.0,766.35,790.85,766.9,771.25,778.85,1021.95,627.95,90138,70203935.7,4141,KRYSTAL
2024-12-17,EQ,798.7,827.25,781.0,784.1,787.3,790.85,811.18,1021.95,627.95,334154,271059215.25,12324,KRYSTAL
2024-12-16,EQ,786.9,789.35,775.1,776.85,784.85,784.1,782.64,1021.95,627.95,42500,33262359.95,2050,KRYSTAL
2024-12-13,EQ,797.9,807.95,766.65,796.8,775.05,776.85,784.47,1021.95,627.95,99935,78395572.0,4537,KRYSTAL
2024-12-12,EQ,760.0,804.85,757.8,759.35,803.9,796.8,790.23,1021.95,627.95,210053,165990263.2,6846,KRYSTAL
2024-12-11,EQ,753.0,767.8,752.05,756.15,758.1,759.35,758.99,1021.95,627.95,34778,26396281.3,2250,KRYSTAL
2024-12-10,EQ,763.15,768.8,748.05,760.05,757.0,756.15,755.57,1021.95,627.95,35233,26621016.4,2060,KRYSTAL
2024-12-09,EQ,769.0,788.8,755.0,778.35,763.7,760.05,767.78,1021.95,627.95,60830,46703933.6,2712,KRYSTAL
2024-12-06,EQ,796.2,796.2,775.0,788.3,776.0,778.35,780.83,1021.95,627.95,48568,37923550.0,2753,KRYSTAL
2024-12-05,EQ,775.0,809.0,771.0,778.2,789.65,788.3,790.9,1021.95,627.95,244267,193190609.35,7257,KRYSTAL
2024-12-04,EQ,767.7,792.0,761.0,767.7,775.1,778.2,779.33,1021.95,627.95,85957,66988699.95,4142,KRYSTAL
2024-12-03,EQ,785.0,790.0,764.4,776.8,765.0,767.7,775.51,1021.95,627.95,45338,35160131.0,2786,KRYSTAL
2024-12-02,EQ,757.0,779.95,747.85,767.3,779.0,776.8,764.82,1021.95,627.95,76498,58507430.85,4652,KRYSTAL
2024-11-29,EQ,766.05,781.0,758.55,770.55,764.8,767.3,767.38,1021.95,627.95,60526,46446555.95,3364,KRYSTAL
2024-11-28,EQ,766.8,788.3,757.2,769.15,774.5,770.55,771.81,1021.95,627.95,71469,55160399.0,4009,KRYSTAL
2024-11-27,EQ,807.0,807.0,762.3,773.3,766.7,769.15,788.96,1021.95,627.95,200645,158301081.35,8539,KRYSTAL
2024-11-26,EQ,755.0,789.25,729.95,742.25,775.0,773.3,769.08,1021.95,627.95,503773,387441889.1,20055,KRYSTAL
2024-11-25,EQ,705.05,770.0,700.0,643.35,733.9,742.25,738.46,1021.95,627.95,865135,638868774.75,27106,KRYSTAL
2024-11-22,EQ,638.0,652.0,633.3,636.35,642.0,643.35,641.53,1021.95,627.95,18141,11637941.5,1456,KRYSTAL
2024-11-21,EQ,648.8,652.9,631.0,646.95,631.0,636.35,640.88,1021.95,627.95,33647,21563726.25,2465,KRYSTAL
2024-11-19,EQ,642.75,655.0,642.75,640.95,647.95,646.95,649.56,1021.95,627.95,33559,21798429.65,1299,KRYSTAL
2024-11-18,EQ,650.0,658.0,638.0,646.4,642.0,640.95,644.58,1021.95,627.95,19038,12271436.7,1507,KRYSTAL
2024-11-14,EQ,668.5,668.5,643.0,657.75,645.55,646.4,651.59,1021.95,627.95,20402,13293667.15,1992,KRYSTAL
2024-11-13,EQ,670.75,678.75,640.05,668.8,666.0,657.75,654.51,1021.95,627.95,43825,28683939.4,3072,KRYSTAL
2024-11-12,EQ,663.0,676.75,661.1,662.45,670.8,668.8,669.04,1021.95,627.95,27110,18137638.65,1808,KRYSTAL
2024-11-11,EQ,682.6,682.95,660.0,682.6,662.75,662.45,667.56,1021.95,627.95,36226,24182854.35,2740,KRYSTAL
2024-11-08,EQ,703.2,703.2,679.9,700.5,685.0,682.6,687.33,1021.95,627.95,29450,20241846.95,2040,KRYSTAL
2024-11-07,EQ,711.6,711.6,695.55,701.1,698.0,700.5,701.35,1021.95,627.95,19930,13977889.45,1616,KRYSTAL
2024-11-06,EQ,699.0,709.4,688.0,692.45,701.0,701.1,698.27,1021.95,627.95,42402,29607889.75,2489,KRYSTAL
2024-11-05,EQ,693.2,708.3,690.35,700.4,691.5,692.45,697.06,1021.95,627.95,27743,19338480.9,1911,KRYSTAL
2024-11-04,EQ,704.0,712.5,695.85,717.0,701.7,700.4,701.91,1021.95,627.95,31886,22381070.35,2526,KRYSTAL
2024-11-01,EQ,676.0,740.6,676.0,674.55,714.05,717.0,722.45,1021.95,627.95,217146,156876222.5,4494,KRYSTAL
2024-10-31,EQ,681.1,691.15,672.1,682.95,674.0,674.55,680.62,1021.95,627.95,52328,35615428.0,3086,KRYSTAL
2024-10-30,EQ,693.3,698.95,672.95,668.7,681.1,682.95,684.73,1021.95,627.95,187143,128142178.5,6419,KRYSTAL
2024-10-29,EQ,675.0,675.0,657.2,671.3,672.0,668.7,665.63,1021.95,627.95,25876,17223745.9,1902,KRYSTAL
2024-10-28,EQ,675.0,684.4,655.0,657.1,674.2,671.3,669.15,1021.95,627.95,55013,36811676.15,3052,KRYSTAL
2024-10-25,EQ,704.45,704.45,651.1,694.1,662.3,657.1,664.96,1021.95,627.95,88018,58528735.65,5129,KRYSTAL
2024-10-24,EQ,723.95,723.95,689.0,731.7,692.9,694.1,704.18,1021.95,627.95,83536,58824160.1,3960,KRYSTAL
2024-10-23,EQ,695.15,740.0,684.0,690.2,732.8,731.7,717.98,1021.95,627.95,87396,62748479.35,4417,KRYSTAL
2024-10-22,EQ,722.0,722.0,686.7,721.8,695.0,690.2,700.42,1021.95,627.95,84765,59370850.85,4561,KRYSTAL
2024-10-21,EQ,748.85,750.0,715.0,741.6,722.0,721.8,733.77,1021.95,627.95,67765,49724218.1,3372,KRYSTAL
2024-10-18,EQ,734.65,744.9,721.65,727.35,741.55,741.6,733.61,1021.95,627.95,46113,33829092.55,1907,KRYSTAL
2024-10-17,EQ,735.3,747.0,722.05,731.3,727.0,727.35,733.0,1021.95,627.95,107047,78465951.65,2709,KRYSTAL
2024-10-16,EQ,741.0,744.4,727.9,743.5,732.5,731.3,734.28,1021.95,627.95,96011,70498939.1,3314,KRYSTAL
2024-10-15,EQ,760.0,776.0,740.0,752.9,744.8,743.5,756.83,1021.95,627.95,127262,96315935.9,5453,KRYSTAL
2024-10-14,EQ,751.7,759.8,741.25,736.65,752.5,752.9,751.12,1021.95,627.95,65734,49374226.65,3226,KRYSTAL
2024-10-11,EQ,740.0,751.95,729.9,740.55,738.0,736.65,738.61,1021.95,627.95,33156,24489190.4,2511,KRYSTAL
2024-10-10,EQ,729.0,750.0,729.0,724.55,740.0,740.55,741.34,1021.95,627.95,20883,15481352.1,1553,KRYSTAL
2024-10-09,EQ,737.0,740.3,722.0,732.4,725.0,724.55,730.12,1021.95,627.95,36339,26531832.85,2141,KRYSTAL
2024-10-08,EQ,723.45,741.0,721.1,723.45,732.0,732.4,732.11,1021.95,627.95,32908,24092151.85,1971,KRYSTAL
2024-10-07,EQ,750.0,754.8,711.55,741.2,726.0,723.45,727.68,1021.95,627.95,52076,37894707.45,2690,KRYSTAL
2024-10-04,EQ,721.0,746.0,710.9,725.4,737.45,741.2,728.66,1021.95,627.95,58527,42646302.8,3062,KRYSTAL
2024-10-03,EQ,732.0,746.0,715.1,744.85,728.8,725.4,729.65,1021.95,627.95,42471,30988957.5,2853,KRYSTAL
2024-10-01,EQ,731.0,749.0,726.1,726.05,740.9,744.85,739.61,1021.95,627.95,45837,33901632.8,2645,KRYSTAL
2024-09-30,EQ,739.9,743.95,724.0,734.15,728.0,726.05,729.96,1021.95,627.95,64017,46729726.7,3646,KRYSTAL
2024-09-27,EQ,747.2,754.8,729.15,745.55,732.0,734.15,739.43,1021.95,627.95,47516,35134848.65,4228,KRYSTAL
2024-09-26,EQ,762.45,770.0,740.0,764.85,744.8,745.55,751.11,1021.95,627.95,69087,51891745.55,4624,KRYSTAL
2024-09-25,EQ,780.55,786.1,763.0,784.5,765.9,764.85,769.78,1021.95,627.95,60354,46459429.75,3648,KRYSTAL
2024-09-24,EQ,793.95,797.0,778.0,788.2,784.2,784.5,787.69,1021.95,627.95,47730,37596573.45,3371,KRYSTAL
2024-09-23,EQ,770.0,794.0,765.0,768.25,786.0,788.2,777.65,1021.95,627.95,69805,54284061.8,3638,KRYSTAL
2024-09-20,EQ,778.0,778.0,761.5,766.6,765.55,768.25,767.66,1021.95,627.95,41446,31816515.55,2452,KRYSTAL
2024-09-19,EQ,778.05,781.95,755.65,773.6,769.0,766.6,766.76,1021.95,627.95,61410,47086441.2,5294,KRYSTAL
2024-09-18,EQ,804.65,804.65,769.1,797.3,777.5,773.6,784.07,1021.95,627.95,108933,85411209.0,6874,KRYSTAL
2024-09-17,EQ,810.5,823.95,792.0,800.7,795.0,797.3,804.23,1021.95,627.95,105736,85035898.85,6710,KRYSTAL
2024-09-16,EQ,809.5,811.7,785.0,802.8,806.6,800.7,798.04,1021.95,627.95,84804,67676627.1,6654,KRYSTAL
2024-09-13,EQ,768.6,812.0,768.6,767.95,798.0,802.8,793.61,1021.95,627.95,163695,129910594.75,10267,KRYSTAL
2024-09-12,EQ,784.95,784.95,763.1,766.75,768.5,767.95,769.0,1021.95,627.95,74427,57234443.85,4727,KRYSTAL
2024-09-11,EQ,778.0,785.45,764.4,777.45,769.95,766.75,774.45,1021.95,627.95,74268,57517212.2,5404,KRYSTAL
2024-09-10,EQ,801.0,801.0,774.6,804.65,776.4,777.45,783.39,1021.95,627.95,154835,121295816.85,11043,KRYSTAL
2024-09-09,EQ,808.8,818.4,795.0,808.8,804.8,804.65,805.8,1021.95,627.95,91328,73592288.55,8165,KRYSTAL
2024-09-06,EQ,831.0,843.0,795.35,830.25,813.95,808.8,812.68,1021.95,627.95,299510,243404821.85,18410,KRYSTAL
2024-09-05,EQ,830.0,859.0,822.25,819.4,830.0,830.25,837.34,1021.95,627.95,534720,447739805.75,26303,KRYSTAL
2024-09-04,EQ,799.95,822.5,786.0,785.65,820.0,819.4,810.16,1021.95,627.95,606339,491230901.15,26428,KRYSTAL
2024-09-03,EQ,776.0,792.0,768.1,769.2,783.95,785.65,776.95,1021.95,627.95,134815,104744836.7,6752,KRYSTAL
2024-09-02,EQ,782.0,782.0,745.95,773.45,772.0,769.2,764.72,1021.95,627.95,224897,171983371.2,14559,KRYSTAL
2024-08-30,EQ,783.4,785.0,768.05,771.1,771.25,773.45,773.77,1021.95,627.95,81524,63080565.2,4930,KRYSTAL
2024-08-29,EQ,802.15,815.0,765.0,790.3,775.0,771.1,789.78,1021.95,627.95,289461,228610266.1,15452,KRYSTAL
2024-08-28,EQ,781.25,801.9,773.3,758.15,792.9,790.3,790.05,1021.95,627.95,374466,295846239.0,16660,KRYSTAL
2024-08-27,EQ,785.0,787.45,755.15,779.3,763.9,758.15,765.56,1021.95,627.95,107001,81915703.1,5935,KRYSTAL
2024-08-26,EQ,779.8,798.0,768.0,776.0,779.0,779.3,783.77,1021.95,627.95,120102,94132898.45,9663,KRYSTAL
