DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,421.9,427.0,395.0,421.05,397.0,398.1,408.98,698.3,395.0,7719506,3157122162.45,123596,MOBIKWIK
2025-01-23,EQ,437.9,454.5,418.0,440.6,421.35,421.05,435.28,698.3,418.0,9536986,4151275832.65,133022,MOBIKWIK
2025-01-22,EQ,460.25,460.25,433.05,461.2,439.0,440.6,441.61,698.3,433.05,8055227,3557261318.55,124444,MOBIKWIK
2025-01-21,EQ,481.75,483.2,453.35,479.2,455.0,461.2,467.89,698.3,440.0,7921629,3706484820.05,114712,MOBIKWIK
2025-01-20,EQ,476.05,491.5,463.0,471.3,478.1,479.2,477.03,698.3,440.0,14201470,6774488750.15,191495,MOBIKWIK
2025-01-17,EQ,477.0,488.4,461.15,472.85,474.3,471.3,472.25,698.3,440.0,17567583,8296247069.3,232575,MOBIKWIK
2025-01-16,EQ,480.0,503.15,459.0,466.55,472.9,472.85,482.89,698.3,440.0,28700118,13859142216.3,357036,MOBIKWIK
2025-01-15,EQ,531.0,531.0,456.1,529.5,469.15,466.55,480.04,698.3,440.0,28750850,13801522834.05,392737,MOBIKWIK
2025-01-14,EQ,521.0,544.8,513.35,509.85,532.0,529.5,529.65,698.3,440.0,18105940,9589741460.95,240890,MOBIKWIK
2025-01-13,EQ,544.95,551.35,504.65,551.2,515.45,509.85,527.28,698.3,440.0,11645406,6140374083.55,170369,MOBIKWIK
2025-01-10,EQ,575.7,587.8,539.0,573.95,547.0,551.2,567.4,698.3,440.0,12519650,7103704139.55,185957,MOBIKWIK
2025-01-09,EQ,614.0,617.3,562.25,615.05,569.8,573.95,591.25,698.3,440.0,9603714,5678219840.55,147986,MOBIKWIK
2025-01-08,EQ,603.0,626.8,595.05,609.85,615.0,615.05,611.74,698.3,440.0,25565223,15639251554.5,334612,MOBIKWIK
2025-01-07,EQ,565.1,637.8,553.7,561.1,607.5,609.85,600.26,698.3,440.0,61451586,36886999854.6,710482,MOBIKWIK
2025-01-06,EQ,601.6,602.7,552.45,600.35,562.6,561.1,573.31,698.3,440.0,9098194,5216102868.9,158685,MOBIKWIK
2025-01-03,EQ,618.9,619.9,595.45,615.8,598.0,600.35,604.0,698.3,440.0,7242917,4374741770.35,107720,MOBIKWIK
2025-01-02,EQ,620.0,629.8,605.55,605.1,618.3,615.8,613.75,698.3,440.0,11524128,7072932110.4,162476,MOBIKWIK
2025-01-01,EQ,595.55,615.75,585.65,586.15,610.95,605.1,602.73,698.3,440.0,28156104,16970640425.0,344625,MOBIKWIK
2024-12-31,EQ,593.0,621.95,578.1,604.3,590.3,586.15,595.18,698.3,440.0,18396475,10949271561.5,277181,MOBIKWIK
2024-12-30,EQ,629.9,658.0,577.0,627.8,591.75,604.3,631.78,698.3,440.0,36769939,23230518837.9,459019,MOBIKWIK
2024-12-27,EQ,625.0,672.8,592.5,638.65,622.95,627.8,635.74,698.3,440.0,79488019,50533583921.95,944730,MOBIKWIK
2024-12-26,EQ,595.0,698.3,586.0,608.9,623.5,638.65,656.51,698.3,440.0,97213223,63821553255.3,1090935,MOBIKWIK
2024-12-24,EQ,547.25,630.0,533.05,528.55,593.55,608.9,580.02,630.0,440.0,63364250,36752514819.05,660347,MOBIKWIK
2024-12-23,EQ,514.0,549.5,477.65,487.95,549.5,528.55,507.08,605.0,440.0,28550275,14477244324.1,335490,MOBIKWIK
2024-12-20,EQ,534.0,571.3,467.35,541.7,502.9,487.95,520.88,605.0,440.0,26356018,13728376383.6,351300,MOBIKWIK
2024-12-19,EQ,540.2,605.0,524.3,528.0,533.4,541.7,571.2,605.0,440.0,43541873,24870929653.65,578053,MOBIKWIK
2024-12-18,EQ,440.0,528.0,440.0,279.0,528.0,528.0,497.56,528.0,440.0,29575248,14715607031.05,423335,MOBIKWIK
