DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,171.8,172.88,169.04,172.54,169.99,169.44,170.47,266.8,161.35,43789,7464912.08,3181,MUTHOOTMF
2025-01-23,EQ,171.9,174.0,170.56,171.86,172.79,172.54,172.57,266.8,161.35,46741,8065913.75,2351,MUTHOOTMF
2025-01-22,EQ,170.3,174.3,167.7,170.53,173.03,171.86,169.77,266.8,161.35,95469,16207833.03,4898,MUTHOOTMF
2025-01-21,EQ,171.43,174.38,170.1,170.09,170.51,170.53,171.96,266.8,161.35,65114,11196968.91,3869,MUTHOOTMF
2025-01-20,EQ,172.46,172.46,167.51,171.17,171.65,170.09,170.52,266.8,161.35,102393,17460242.09,5201,MUTHOOTMF
2025-01-17,EQ,170.0,173.4,168.96,170.8,172.45,171.17,170.58,266.8,161.35,65266,11133293.99,3031,MUTHOOTMF
2025-01-16,EQ,170.65,171.99,170.0,169.45,171.5,170.8,171.15,266.8,161.35,48706,8335987.1,3194,MUTHOOTMF
2025-01-15,EQ,167.94,170.49,166.75,167.16,167.85,169.45,169.28,266.8,161.35,66535,11262717.04,3587,MUTHOOTMF
2025-01-14,EQ,166.2,168.73,165.57,163.94,168.24,167.16,167.25,266.8,161.35,110622,18501259.93,5141,MUTHOOTMF
2025-01-13,EQ,169.05,171.6,161.35,170.42,166.0,163.94,166.46,266.8,161.35,158848,26441630.68,11521,MUTHOOTMF
2025-01-10,EQ,173.92,174.48,169.2,173.92,171.5,170.42,171.43,266.8,169.2,152887,26209700.68,7938,MUTHOOTMF
2025-01-09,EQ,176.99,178.79,172.25,175.95,172.88,173.92,175.73,266.8,170.05,144501,25393585.97,5293,MUTHOOTMF
2025-01-08,EQ,174.53,183.35,174.53,174.49,176.7,175.95,178.11,266.8,170.05,335847,59816988.07,14659,MUTHOOTMF
2025-01-07,EQ,177.05,178.44,174.19,175.3,175.3,174.49,175.64,266.8,170.05,99666,17505642.49,4777,MUTHOOTMF
2025-01-06,EQ,170.05,181.6,170.05,181.33,175.0,175.3,176.61,266.8,170.05,132813,23455472.41,7482,MUTHOOTMF
2025-01-03,EQ,180.8,184.69,180.5,179.68,180.7,181.33,181.65,266.8,172.3,130579,23720025.28,4997,MUTHOOTMF
2025-01-02,EQ,176.0,181.0,176.0,176.66,180.5,179.68,179.39,266.8,172.3,118373,21234557.39,4631,MUTHOOTMF
2025-01-01,EQ,175.1,178.22,175.01,174.77,177.13,176.66,176.76,266.8,172.3,96384,17036799.96,4136,MUTHOOTMF
2024-12-31,EQ,174.24,176.62,172.51,173.38,174.75,174.77,174.56,266.8,172.3,111374,19441929.31,3250,MUTHOOTMF
2024-12-30,EQ,180.34,180.34,172.3,179.56,174.66,173.38,176.01,266.8,172.3,208895,36767429.08,6807,MUTHOOTMF
2024-12-27,EQ,179.25,180.08,179.1,179.58,179.26,179.56,179.48,281.0,179.1,82065,14729132.72,2812,MUTHOOTMF
2024-12-26,EQ,181.22,182.31,179.3,181.22,179.6,179.58,180.22,281.0,179.3,104583,18848251.06,3770,MUTHOOTMF
