DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,81.07,81.35,78.11,81.07,78.75,78.64,79.58,109.34,69.21,532376,42364774.96,11253,NIVABUPA
2025-01-23,EQ,79.0,81.7,79.0,79.53,80.7,81.07,80.87,109.34,69.21,592500,47913410.45,10053,NIVABUPA
2025-01-22,EQ,81.69,81.91,78.08,81.03,79.68,79.53,79.79,109.34,69.21,1144346,91302971.01,13257,NIVABUPA
2025-01-21,EQ,81.8,83.96,80.63,83.08,80.8,81.03,81.61,109.34,69.21,1067747,87134189.32,11279,NIVABUPA
2025-01-20,EQ,81.85,84.19,81.01,81.38,82.95,83.08,82.84,109.34,69.21,1528913,126655294.13,14195,NIVABUPA
2025-01-17,EQ,82.63,82.63,81.2,82.0,81.35,81.38,81.48,109.34,69.21,874489,71256184.33,7953,NIVABUPA
2025-01-16,EQ,79.0,82.8,78.95,78.65,82.19,82.0,81.72,109.34,69.21,2056749,168087217.27,18435,NIVABUPA
2025-01-15,EQ,78.9,79.0,77.8,77.37,78.88,78.65,78.46,109.34,69.21,730541,57320934.9,9158,NIVABUPA
2025-01-14,EQ,75.98,77.75,75.11,75.24,77.7,77.37,76.47,109.34,69.21,1072412,82012203.51,11259,NIVABUPA
2025-01-13,EQ,76.0,76.7,74.95,77.03,75.5,75.24,75.45,109.34,69.21,1582267,119382814.78,16250,NIVABUPA
2025-01-10,EQ,78.5,78.5,75.4,77.82,77.05,77.03,76.98,109.34,69.21,1021599,78641899.79,15015,NIVABUPA
2025-01-09,EQ,79.75,79.8,77.5,79.24,77.89,77.82,78.6,109.34,69.21,712900,56036747.41,9637,NIVABUPA
2025-01-08,EQ,80.42,80.89,78.75,80.42,79.15,79.24,79.33,109.34,69.21,945050,74974438.35,11130,NIVABUPA
2025-01-07,EQ,79.31,81.31,79.31,78.91,80.69,80.42,80.41,109.34,69.21,1339661,107719060.54,12273,NIVABUPA
