DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,113.5,115.8,111.39,113.17,113.06,112.32,113.16,155.35,109.41,8361164,946189319.03,59619,NTPCGREEN
2025-01-23,EQ,114.01,115.05,112.0,113.96,113.5,113.17,113.47,155.35,109.41,7242761,821808080.81,49775,NTPCGREEN
2025-01-22,EQ,117.8,117.98,112.65,117.41,114.15,113.96,114.37,155.35,109.41,8104767,926956217.57,73099,NTPCGREEN
2025-01-21,EQ,119.98,120.87,117.0,119.8,117.7,117.41,118.21,155.35,109.41,5049591,596934420.21,55294,NTPCGREEN
2025-01-20,EQ,121.5,121.7,119.35,120.99,119.69,119.8,119.89,155.35,109.41,4596484,551062445.31,57887,NTPCGREEN
2025-01-17,EQ,122.92,122.93,120.59,122.92,121.0,120.99,121.38,155.35,109.41,4466102,542083797.87,35108,NTPCGREEN
2025-01-16,EQ,122.0,123.48,120.4,119.94,123.1,122.92,122.08,155.35,109.41,10064953,1228725940.8,56205,NTPCGREEN
2025-01-15,EQ,122.64,123.9,117.74,120.98,119.0,119.94,120.22,155.35,109.41,17247764,2073531308.3,74116,NTPCGREEN
2025-01-14,EQ,110.8,120.98,110.76,109.99,120.98,120.98,116.66,155.35,109.41,16869986,1968076980.48,132236,NTPCGREEN
2025-01-13,EQ,114.0,114.87,109.41,116.32,110.55,109.99,112.19,155.35,109.41,15447722,1733022996.79,114852,NTPCGREEN
2025-01-10,EQ,121.24,121.3,115.52,120.92,115.66,116.32,117.49,155.35,111.5,18669068,2193444953.79,122673,NTPCGREEN
2025-01-09,EQ,125.77,125.9,120.21,125.45,120.94,120.92,121.82,155.35,111.5,12536030,1527164332.96,98128,NTPCGREEN
2025-01-08,EQ,125.49,127.5,124.0,123.93,125.1,125.45,125.54,155.35,111.5,10740596,1348334732.07,66407,NTPCGREEN
2025-01-07,EQ,124.65,125.49,122.1,124.26,124.25,123.93,124.3,155.35,111.5,12297678,1528607270.45,75732,NTPCGREEN
2025-01-06,EQ,131.6,132.95,123.05,128.17,123.8,124.26,127.41,155.35,111.5,21065723,2683977477.87,137139,NTPCGREEN
2025-01-03,EQ,128.34,132.08,127.78,127.95,128.1,128.17,129.49,155.35,111.5,10486510,1357924440.01,67766,NTPCGREEN
2025-01-02,EQ,128.0,128.8,126.9,127.62,127.95,127.95,127.75,155.35,111.5,7565976,966544041.39,67430,NTPCGREEN
2025-01-01,EQ,127.7,129.6,126.76,127.19,127.4,127.62,127.75,155.35,111.5,9948053,1270912939.74,128578,NTPCGREEN
2024-12-31,EQ,128.2,129.19,126.65,128.35,127.18,127.19,127.43,155.35,111.5,7381606,940665342.94,55680,NTPCGREEN
2024-12-30,EQ,130.98,133.98,127.6,129.84,128.0,128.35,130.56,155.35,111.5,13244049,1729089667.72,95103,NTPCGREEN
2024-12-27,EQ,126.0,133.3,124.3,126.03,130.85,129.84,129.77,155.35,111.5,28200821,3659587996.76,162657,NTPCGREEN
2024-12-26,EQ,130.0,130.99,125.3,133.01,125.5,126.03,126.7,155.35,111.5,35316396,4474448495.39,239703,NTPCGREEN
2024-12-24,EQ,134.81,135.0,132.0,134.51,132.55,133.01,133.15,155.35,111.5,5699949,758959218.62,44277,NTPCGREEN
2024-12-23,EQ,136.35,137.09,132.12,131.67,134.75,134.51,133.96,155.35,111.5,10403006,1393580441.72,65708,NTPCGREEN
2024-12-20,EQ,135.5,138.1,130.54,134.83,131.7,131.67,134.19,155.35,111.5,12281654,1648118712.11,90331,NTPCGREEN
2024-12-19,EQ,132.1,138.1,131.4,135.49,134.75,134.83,134.76,155.35,111.5,17244808,2323848845.75,102541,NTPCGREEN
2024-12-18,EQ,139.0,139.6,133.1,139.74,135.7,135.49,135.63,155.35,111.5,18506720,2509991498.61,139725,NTPCGREEN
2024-12-17,EQ,140.9,141.7,138.24,141.73,139.6,139.74,139.9,155.35,111.5,11805928,1651621482.3,91897,NTPCGREEN
2024-12-16,EQ,144.12,144.8,141.0,144.13,142.0,141.73,142.51,155.35,111.5,10733898,1529722934.62,72016,NTPCGREEN
2024-12-13,EQ,138.15,145.6,138.15,143.39,143.96,144.13,142.57,155.35,111.5,20380612,2905643918.66,108873,NTPCGREEN
2024-12-12,EQ,148.4,148.43,142.1,148.61,143.7,143.39,144.62,155.35,111.5,16241529,2348859533.24,111624,NTPCGREEN
2024-12-11,EQ,152.51,154.4,147.28,146.65,148.15,148.61,149.82,155.35,111.5,41058297,6151157317.38,190338,NTPCGREEN
2024-12-10,EQ,145.15,149.6,142.13,144.69,146.55,146.65,146.38,155.35,111.5,39282395,5749990325.76,164404,NTPCGREEN
2024-12-09,EQ,145.0,146.75,142.0,143.99,144.59,144.69,144.69,155.35,111.5,21477842,3107581237.9,138498,NTPCGREEN
2024-12-06,EQ,141.8,146.2,139.67,141.1,143.6,143.99,143.93,155.35,111.5,33774224,4861180933.68,191174,NTPCGREEN
2024-12-05,EQ,148.9,149.7,139.25,147.65,140.95,141.1,141.71,155.35,111.5,49314505,6988507379.01,294672,NTPCGREEN
2024-12-04,EQ,151.3,155.35,144.0,142.12,147.9,147.65,148.68,155.35,111.5,92484595,13750214125.99,478454,NTPCGREEN
