DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,73.34,73.75,71.0,73.49,71.09,71.34,72.02,157.4,66.66,14299599,1029842338.59,61118,OLAELEC
2025-01-23,EQ,74.79,74.79,73.17,74.31,73.35,73.49,73.82,157.4,66.66,11531639,851315594.71,43436,OLAELEC
2025-01-22,EQ,76.6,76.89,73.8,76.24,74.0,74.31,74.77,157.4,66.66,15524482,1160719953.78,60255,OLAELEC
2025-01-21,EQ,77.14,78.78,76.01,76.33,76.59,76.24,77.1,157.4,66.66,27328395,2106982088.42,76397,OLAELEC
2025-01-20,EQ,75.0,77.0,74.33,74.41,76.9,76.33,75.4,157.4,66.66,15293544,1153207749.0,53851,OLAELEC
2025-01-17,EQ,74.5,75.18,73.91,74.81,74.51,74.41,74.42,157.4,66.66,13403086,997465057.67,45375,OLAELEC
2025-01-16,EQ,75.0,75.48,74.01,73.25,75.18,74.81,74.83,157.4,66.66,16453514,1231217545.77,59067,OLAELEC
2025-01-15,EQ,73.9,75.6,72.1,72.88,72.94,73.25,73.67,157.4,66.66,28969720,2134225972.43,85740,OLAELEC
2025-01-14,EQ,71.5,73.47,70.39,70.18,73.0,72.88,72.21,157.4,66.66,34095762,2462160835.89,112793,OLAELEC
2025-01-13,EQ,71.0,72.83,70.0,73.39,70.57,70.18,71.46,157.4,66.66,32634298,2332144307.48,132850,OLAELEC
2025-01-10,EQ,75.5,76.5,72.7,75.66,73.45,73.39,74.51,157.4,66.66,38606186,2876679752.36,130349,OLAELEC
2025-01-09,EQ,79.4,79.6,75.27,79.51,75.7,75.66,77.08,157.4,66.66,24971633,1924924418.85,99427,OLAELEC
2025-01-08,EQ,77.0,80.15,75.16,79.16,78.97,79.51,77.39,157.4,66.66,61605465,4767934921.06,171869,OLAELEC
2025-01-07,EQ,78.9,81.18,78.55,77.95,79.0,79.16,79.62,157.4,66.66,30769069,2449753596.83,110708,OLAELEC
