DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,188.97,190.59,179.1,188.61,183.0,181.35,182.93,235.0,138.0,284891,52116309.46,6352,PARKHOTELS
2025-01-23,EQ,189.49,191.95,187.55,188.73,188.75,188.61,189.83,235.0,138.0,105089,19949277.12,1751,PARKHOTELS
2025-01-22,EQ,192.0,194.49,182.12,194.56,189.49,188.73,188.79,235.0,138.0,288672,54497820.66,5551,PARKHOTELS
2025-01-21,EQ,200.1,200.1,192.13,198.55,194.77,194.56,195.77,235.0,138.0,235258,46056987.35,4455,PARKHOTELS
2025-01-20,EQ,199.0,202.0,196.2,197.12,197.53,198.55,198.7,235.0,138.0,371569,73831882.06,4841,PARKHOTELS
2025-01-17,EQ,195.0,199.58,193.39,195.21,198.4,197.12,196.84,235.0,138.0,340294,66983820.4,4928,PARKHOTELS
2025-01-16,EQ,193.11,198.1,191.49,190.3,196.0,195.21,195.65,235.0,138.0,431981,84515899.03,6413,PARKHOTELS
2025-01-15,EQ,183.0,192.49,183.0,182.52,190.9,190.3,187.9,235.0,138.0,595571,111905326.98,8528,PARKHOTELS
2025-01-14,EQ,183.68,188.48,181.05,180.34,182.5,182.52,184.14,235.0,138.0,495213,91188500.93,6613,PARKHOTELS
2025-01-13,EQ,188.52,194.29,178.61,188.41,180.5,180.34,186.15,235.0,138.0,502436,93526930.68,7471,PARKHOTELS
2025-01-10,EQ,198.0,198.0,184.11,199.15,188.0,188.41,190.78,235.0,138.0,934895,178355614.2,12143,PARKHOTELS
2025-01-09,EQ,204.69,206.2,197.0,204.62,197.8,199.15,201.75,235.0,138.0,682309,137655231.4,8977,PARKHOTELS
2025-01-08,EQ,199.0,206.0,194.16,195.14,205.4,204.62,200.75,235.0,138.0,1578246,316837538.91,18720,PARKHOTELS
2025-01-07,EQ,192.28,200.0,189.5,190.16,195.01,195.14,193.65,235.0,138.0,1392839,269720683.43,11316,PARKHOTELS
2025-01-06,EQ,205.0,205.9,188.28,203.27,190.0,190.16,195.69,235.0,138.0,1222307,239198544.61,13498,PARKHOTELS
2025-01-03,EQ,198.44,205.5,197.0,197.04,203.5,203.27,202.16,235.0,138.0,2204658,445684438.21,29444,PARKHOTELS
2025-01-02,EQ,192.65,201.0,191.39,190.32,197.0,197.04,197.39,235.0,138.0,1813272,357921738.3,20243,PARKHOTELS
2025-01-01,EQ,187.5,193.0,183.62,184.34,189.0,190.32,188.06,235.0,138.0,1144861,215301323.47,16123,PARKHOTELS
2024-12-31,EQ,184.5,186.88,182.06,184.6,186.8,184.34,184.52,235.0,138.0,402850,74334140.33,5502,PARKHOTELS
2024-12-30,EQ,180.45,187.39,179.31,180.45,183.95,184.6,184.85,235.0,138.0,902309,166789322.04,13906,PARKHOTELS
2024-12-27,EQ,183.0,183.28,179.0,179.82,179.5,180.45,180.17,235.0,138.0,177458,31973091.02,3172,PARKHOTELS
2024-12-26,EQ,179.99,182.29,176.67,179.87,180.0,179.82,179.0,235.0,138.0,166927,29880098.23,2605,PARKHOTELS
2024-12-24,EQ,181.0,184.99,178.13,179.83,178.75,179.87,179.9,235.0,138.0,416391,74907053.9,5624,PARKHOTELS
2024-12-23,EQ,180.2,184.31,177.55,179.1,179.7,179.83,181.16,235.0,138.0,383566,69486052.77,4968,PARKHOTELS
2024-12-20,EQ,191.4,191.4,176.1,186.31,179.3,179.1,182.73,235.0,138.0,316522,57838272.85,6394,PARKHOTELS
2024-12-19,EQ,184.0,188.49,182.26,186.87,187.4,186.31,185.59,235.0,138.0,613501,113858976.25,9467,PARKHOTELS
2024-12-18,EQ,189.3,190.07,184.42,187.87,186.64,186.87,187.26,235.0,138.0,284383,53254568.45,5375,PARKHOTELS
2024-12-17,EQ,193.01,194.84,186.8,194.14,186.8,187.87,190.27,235.0,138.0,288019,54802069.53,2940,PARKHOTELS
2024-12-16,EQ,194.7,199.0,192.0,194.7,194.44,194.14,195.58,235.0,138.0,540331,105676370.83,5610,PARKHOTELS
2024-12-13,EQ,195.15,196.95,191.0,194.39,195.0,194.7,194.25,235.0,138.0,776365,150805739.28,13105,PARKHOTELS
2024-12-12,EQ,193.57,196.2,188.75,192.11,195.0,194.39,192.28,235.0,138.0,524294,100809630.99,9609,PARKHOTELS
2024-12-11,EQ,192.0,194.71,188.21,189.1,191.6,192.11,191.25,235.0,138.0,717123,137150692.22,13445,PARKHOTELS
2024-12-10,EQ,193.81,193.81,187.15,192.03,189.49,189.1,189.43,235.0,138.0,451635,85553164.35,8277,PARKHOTELS
2024-12-09,EQ,195.99,201.0,190.1,194.66,191.11,192.03,195.86,235.0,138.0,819426,160495234.4,12221,PARKHOTELS
2024-12-06,EQ,186.44,198.24,186.44,188.57,194.25,194.66,194.39,235.0,138.0,1833873,356477927.98,19272,PARKHOTELS
2024-12-05,EQ,189.11,191.37,183.5,189.23,188.0,188.57,186.2,235.0,138.0,813751,151522231.1,9477,PARKHOTELS
2024-12-04,EQ,185.9,193.8,182.81,184.48,186.9,189.23,189.16,235.0,138.0,1372805,259682198.25,19647,PARKHOTELS
2024-12-03,EQ,190.03,192.9,183.16,189.15,185.0,184.48,187.18,235.0,138.0,1423143,266385186.44,20707,PARKHOTELS
2024-12-02,EQ,176.8,191.15,174.1,175.76,189.2,189.15,184.52,235.0,138.0,2062320,380544509.94,23901,PARKHOTELS
2024-11-29,EQ,165.55,177.5,164.96,163.94,176.1,175.76,174.11,235.0,138.0,1929033,335860318.47,17205,PARKHOTELS
