DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,586.35,592.85,565.0,586.35,569.0,566.35,574.96,848.0,565.0,512042,294402681.7,16373,PNGJL
2025-01-23,EQ,592.7,601.6,585.0,589.95,586.4,586.35,592.96,848.0,581.0,186216,110419484.2,6820,PNGJL
2025-01-22,EQ,601.05,603.1,581.0,600.1,594.0,589.95,589.54,848.0,581.0,239729,141330952.3,16001,PNGJL
2025-01-21,EQ,611.95,618.85,596.0,611.7,600.0,600.1,604.05,848.0,591.55,347949,210177067.65,11310,PNGJL
2025-01-20,EQ,639.8,639.8,609.0,636.4,611.85,611.7,616.04,848.0,591.55,362857,223533894.05,13255,PNGJL
2025-01-17,EQ,632.0,643.0,625.65,631.95,635.3,636.4,637.22,848.0,591.55,402006,256166855.3,17793,PNGJL
2025-01-16,EQ,605.0,636.3,603.25,600.15,630.5,631.95,626.95,848.0,591.55,517267,324298218.05,14679,PNGJL
2025-01-15,EQ,609.7,613.95,594.05,604.75,597.0,600.15,603.55,848.0,591.55,365734,220737147.25,14647,PNGJL
2025-01-14,EQ,615.0,625.0,592.5,607.25,605.0,604.75,604.27,848.0,591.55,752167,454513943.15,34255,PNGJL
2025-01-13,EQ,620.15,630.0,591.55,636.9,608.0,607.25,609.08,848.0,591.55,719321,438125633.15,26096,PNGJL
2025-01-10,EQ,666.0,670.0,630.0,661.2,640.0,636.9,640.06,848.0,611.0,502811,321830302.65,25985,PNGJL
2025-01-09,EQ,689.95,692.0,651.0,673.05,666.0,661.2,665.29,848.0,611.0,872010,580141620.15,26121,PNGJL
2025-01-08,EQ,689.0,690.0,665.25,690.75,673.15,673.05,672.73,848.0,611.0,324100,218030297.8,13840,PNGJL
2025-01-07,EQ,675.45,695.1,667.15,668.0,689.0,690.75,685.41,848.0,611.0,370231,253760850.65,13076,PNGJL
2025-01-06,EQ,699.0,699.0,658.0,690.9,668.9,668.0,672.21,848.0,611.0,521078,350272404.75,30175,PNGJL
2025-01-03,EQ,700.0,701.45,686.2,690.35,692.15,690.9,690.48,848.0,611.0,428149,295627074.6,23339,PNGJL
2025-01-02,EQ,671.5,693.95,666.45,664.55,691.5,690.35,685.11,848.0,611.0,880628,603331095.05,20588,PNGJL
2025-01-01,EQ,671.8,676.65,660.0,665.35,664.9,664.55,668.36,848.0,611.0,398457,266313659.95,16582,PNGJL
2024-12-31,EQ,671.0,672.8,661.1,670.95,665.0,665.35,665.89,848.0,611.0,316139,210514910.6,13650,PNGJL
2024-12-30,EQ,702.0,703.85,666.45,696.45,671.0,670.95,675.29,848.0,611.0,564219,381010864.0,26235,PNGJL
2024-12-27,EQ,686.85,705.45,680.7,684.45,698.0,696.45,694.57,848.0,611.0,430830,299239721.95,17471,PNGJL
2024-12-26,EQ,699.55,707.0,681.1,695.45,684.0,684.45,689.7,848.0,611.0,271922,187544435.05,12893,PNGJL
2024-12-24,EQ,705.75,705.8,690.05,702.4,696.5,695.45,697.28,848.0,611.0,180515,125870392.35,8075,PNGJL
2024-12-23,EQ,713.2,715.0,688.1,706.4,705.05,702.4,702.91,848.0,611.0,348485,244952654.8,13470,PNGJL
2024-12-20,EQ,719.5,732.0,700.0,719.9,707.0,706.4,713.31,848.0,611.0,392675,280097511.2,16256,PNGJL
2024-12-19,EQ,709.0,726.9,709.0,726.05,720.0,719.9,719.37,848.0,611.0,390062,280598500.7,13296,PNGJL
2024-12-18,EQ,722.45,729.7,708.1,720.15,723.0,726.05,721.28,848.0,611.0,510449,368175003.85,15748,PNGJL
2024-12-17,EQ,713.8,723.75,710.65,709.45,718.5,720.15,717.78,848.0,611.0,410152,294400607.6,11915,PNGJL
2024-12-16,EQ,739.8,741.5,704.45,734.6,712.5,709.45,719.64,848.0,611.0,932986,671413683.8,34372,PNGJL
2024-12-13,EQ,735.0,739.45,719.0,744.95,735.0,734.6,730.32,848.0,611.0,595264,434731821.35,18576,PNGJL
2024-12-12,EQ,750.05,750.95,733.6,750.95,745.0,744.95,742.72,848.0,611.0,641285,476294543.85,19985,PNGJL
2024-12-11,EQ,744.15,758.8,738.0,739.85,749.35,750.95,749.57,848.0,611.0,861314,645618191.45,23682,PNGJL
2024-12-10,EQ,755.0,764.0,727.75,759.85,741.0,739.85,742.41,848.0,611.0,1647086,1222816765.4,60462,PNGJL
2024-12-09,EQ,780.0,830.0,739.5,769.2,747.0,759.85,793.31,848.0,611.0,4666837,3702230611.35,108125,PNGJL
2024-12-06,EQ,743.9,778.0,736.8,731.45,773.0,769.2,761.54,848.0,611.0,1180890,899298009.55,42695,PNGJL
2024-12-05,EQ,760.0,763.0,719.95,752.3,732.2,731.45,734.09,848.0,611.0,710792,521786992.0,29185,PNGJL
2024-12-04,EQ,748.45,774.0,746.1,736.1,748.1,752.3,758.96,848.0,611.0,1226873,931145749.25,44060,PNGJL
2024-12-03,EQ,725.85,743.6,721.05,719.3,742.05,736.1,732.58,848.0,611.0,1146819,840133241.75,31255,PNGJL
2024-12-02,EQ,676.95,736.95,675.05,681.2,725.25,719.3,714.8,848.0,611.0,983665,703127291.1,37779,PNGJL
2024-11-29,EQ,684.0,686.5,669.6,679.6,681.9,681.2,678.27,848.0,611.0,196899,133549952.5,10140,PNGJL
2024-11-28,EQ,679.0,688.5,670.35,674.25,678.9,679.6,681.83,848.0,611.0,245585,167446430.25,10163,PNGJL
2024-11-27,EQ,668.25,679.2,660.65,666.45,674.5,674.25,671.04,848.0,611.0,303133,203414431.55,15332,PNGJL
2024-11-26,EQ,643.25,671.0,641.45,647.15,665.0,666.45,657.75,848.0,611.0,457505,300921909.1,21437,PNGJL
2024-11-25,EQ,628.7,668.4,628.0,614.1,649.1,647.15,649.17,848.0,611.0,856560,556051101.25,28410,PNGJL
2024-11-22,EQ,645.0,647.65,611.0,644.5,616.0,614.1,625.28,848.0,611.0,747715,467528130.8,34381,PNGJL
2024-11-21,EQ,669.6,669.6,643.0,670.35,645.8,644.5,650.79,848.0,643.0,353810,230257240.1,26476,PNGJL
2024-11-19,EQ,687.4,695.1,663.2,682.5,663.5,670.35,680.16,848.0,663.2,409321,278405143.75,21890,PNGJL
2024-11-18,EQ,695.8,695.85,676.1,688.55,678.1,682.5,682.61,848.0,676.1,277371,189336458.2,14080,PNGJL
2024-11-14,EQ,697.45,701.2,686.15,691.3,690.95,688.55,690.28,848.0,681.1,287794,198658769.25,20687,PNGJL
2024-11-13,EQ,705.0,722.85,685.0,707.0,695.4,691.3,701.33,848.0,681.1,673806,472562371.95,32155,PNGJL
2024-11-12,EQ,720.0,725.8,700.55,716.7,702.0,707.0,714.24,848.0,681.1,194413,138858183.35,11013,PNGJL
2024-11-11,EQ,726.0,730.0,711.85,721.2,717.55,716.7,718.48,848.0,681.1,192145,138052279.8,8431,PNGJL
2024-11-08,EQ,741.9,741.9,715.0,742.15,725.0,721.2,724.94,848.0,681.1,225739,163646770.3,9763,PNGJL
2024-11-07,EQ,749.0,758.9,737.05,743.65,738.3,742.15,746.09,848.0,681.1,345278,257606827.9,13348,PNGJL
2024-11-06,EQ,710.05,750.0,706.6,707.3,743.8,743.65,737.39,848.0,681.1,557116,410810461.5,19613,PNGJL
2024-11-05,EQ,711.95,717.85,700.4,712.55,706.0,707.3,707.55,848.0,681.1,254278,179915375.85,12447,PNGJL
2024-11-04,EQ,722.95,723.0,708.0,722.45,710.0,712.55,713.42,848.0,681.1,208864,149008482.4,9696,PNGJL
2024-11-01,EQ,718.25,725.0,717.65,715.6,723.0,722.45,722.78,848.0,681.1,105548,76287938.65,7529,PNGJL
2024-10-31,EQ,713.05,725.95,705.0,716.15,706.05,715.6,713.21,848.0,681.1,358558,255728287.9,12419,PNGJL
2024-10-30,EQ,700.6,720.0,698.7,700.6,712.65,716.15,708.9,848.0,681.1,310580,220170501.45,13011,PNGJL
2024-10-29,EQ,728.85,729.0,695.8,724.15,700.0,700.6,704.54,848.0,681.1,431975,304345647.6,17524,PNGJL
2024-10-28,EQ,701.95,729.8,690.55,699.35,725.85,724.15,709.24,848.0,681.1,374480,265595945.45,16549,PNGJL
2024-10-25,EQ,700.25,707.0,685.0,707.95,702.85,699.35,696.56,848.0,681.1,320208,223044958.5,17062,PNGJL
2024-10-24,EQ,697.0,715.0,695.0,694.5,706.5,707.95,702.83,848.0,681.1,328506,230882796.45,14249,PNGJL
2024-10-23,EQ,707.95,720.7,688.85,707.15,692.05,694.5,703.51,848.0,681.1,564535,397153830.05,30437,PNGJL
2024-10-22,EQ,742.8,744.85,703.1,741.2,708.0,707.15,714.33,848.0,681.1,463253,330914013.55,39494,PNGJL
2024-10-21,EQ,752.7,759.65,734.05,748.8,738.0,741.2,745.36,848.0,681.1,286687,213685041.1,12284,PNGJL
2024-10-18,EQ,748.0,754.4,729.25,750.45,750.0,748.8,745.36,848.0,681.1,232309,173152727.15,10910,PNGJL
2024-10-17,EQ,776.0,778.8,745.1,773.45,745.1,750.45,757.09,848.0,681.1,300197,227275785.35,18903,PNGJL
2024-10-16,EQ,780.0,787.05,768.0,760.9,773.0,773.45,776.74,848.0,681.1,541117,420305653.1,19210,PNGJL
2024-10-15,EQ,754.75,766.7,754.0,751.35,764.0,760.9,761.25,848.0,681.1,499304,380095406.3,14758,PNGJL
2024-10-14,EQ,767.0,774.2,747.0,744.2,752.0,751.35,760.78,848.0,681.1,594889,452576786.5,20069,PNGJL
2024-10-11,EQ,754.05,757.45,734.6,750.85,745.35,744.2,743.26,848.0,681.1,293037,217802500.9,9671,PNGJL
2024-10-10,EQ,751.1,764.8,748.0,750.0,751.5,750.85,754.11,848.0,681.1,514506,387994573.95,18323,PNGJL
2024-10-09,EQ,750.05,756.95,736.05,739.7,750.05,750.0,747.94,848.0,681.1,684085,511656375.2,19631,PNGJL
2024-10-08,EQ,722.0,746.0,702.3,709.45,743.0,739.7,726.07,848.0,681.1,825963,599707385.65,22988,PNGJL
2024-10-07,EQ,756.8,769.0,695.0,756.8,707.45,709.45,721.92,848.0,681.1,1455824,1050990681.4,46403,PNGJL
2024-10-04,EQ,778.5,782.4,745.5,769.55,756.35,756.8,762.99,848.0,681.1,934389,712934115.35,27696,PNGJL
2024-10-03,EQ,761.0,794.6,755.0,766.85,769.85,769.55,775.72,848.0,681.1,1467249,1138173492.4,41930,PNGJL
2024-10-01,EQ,756.9,785.0,750.0,749.15,769.95,766.85,765.17,848.0,681.1,1173640,898036208.85,43255,PNGJL
2024-09-30,EQ,767.8,772.0,742.0,766.75,744.0,749.15,753.49,848.0,681.1,606278,456825548.65,24536,PNGJL
2024-09-27,EQ,781.0,781.0,761.05,771.65,764.8,766.75,769.83,848.0,681.1,446129,343443501.95,16173,PNGJL
