DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,1042.0,1062.2,971.15,1036.45,999.0,999.35,1008.48,1388.0,802.1,2155689,2173976218.45,94552,PREMIERENE
2025-01-23,EQ,1030.0,1056.35,1011.0,1038.8,1039.0,1036.45,1032.48,1388.0,802.1,3033184,3131700231.75,140595,PREMIERENE
2025-01-22,EQ,1180.0,1180.0,1023.1,1176.05,1035.0,1038.8,1064.66,1388.0,802.1,3153329,3357231601.0,153972,PREMIERENE
2025-01-21,EQ,1192.75,1212.0,1170.0,1193.95,1175.65,1176.05,1187.06,1388.0,802.1,1158878,1375662492.85,79465,PREMIERENE
2025-01-20,EQ,1148.0,1199.0,1145.05,1140.9,1191.0,1193.95,1181.71,1388.0,802.1,1358542,1605408345.05,60692,PREMIERENE
2025-01-17,EQ,1169.1,1169.1,1134.25,1170.45,1144.85,1140.9,1146.49,1388.0,802.1,655244,751231872.0,35982,PREMIERENE
2025-01-16,EQ,1160.0,1183.5,1156.85,1147.0,1170.0,1170.45,1171.14,1388.0,802.1,1200386,1405820324.05,44943,PREMIERENE
2025-01-15,EQ,1166.1,1179.0,1126.65,1116.0,1146.0,1147.0,1152.02,1388.0,802.1,2772232,3193658918.75,106302,PREMIERENE
2025-01-14,EQ,1122.0,1137.3,1086.1,1095.9,1120.0,1116.0,1114.2,1388.0,802.1,1977483,2203318347.7,107495,PREMIERENE
2025-01-13,EQ,1115.0,1170.95,1090.55,1127.1,1099.5,1095.9,1132.37,1388.0,802.1,2321556,2628850193.8,102140,PREMIERENE
2025-01-10,EQ,1200.0,1209.8,1116.0,1212.0,1126.0,1127.1,1152.85,1388.0,802.1,2187068,2521371795.3,123413,PREMIERENE
2025-01-09,EQ,1252.0,1252.0,1201.15,1255.65,1204.15,1212.0,1220.06,1388.0,802.1,1242117,1515453868.2,66400,PREMIERENE
2025-01-08,EQ,1295.0,1304.9,1220.25,1305.15,1252.75,1255.65,1256.88,1388.0,802.1,1908335,2398544139.4,84206,PREMIERENE
2025-01-07,EQ,1280.0,1311.0,1271.25,1274.75,1308.0,1305.15,1294.74,1388.0,802.1,1112019,1439780742.05,48541,PREMIERENE
2025-01-06,EQ,1334.0,1339.0,1263.55,1324.7,1265.0,1274.75,1297.54,1388.0,802.1,1770229,2296937700.65,119828,PREMIERENE
2025-01-03,EQ,1336.0,1379.0,1317.3,1327.8,1326.95,1324.7,1354.27,1388.0,802.1,2433129,3295103587.6,85086,PREMIERENE
2025-01-02,EQ,1331.65,1341.6,1309.7,1332.6,1335.5,1327.8,1323.19,1388.0,802.1,1264813,1673588052.0,48490,PREMIERENE
2025-01-01,EQ,1357.0,1384.0,1325.0,1353.1,1329.8,1332.6,1353.64,1388.0,802.1,1609505,2178685700.6,61319,PREMIERENE
2024-12-31,EQ,1330.0,1360.05,1300.0,1334.6,1356.0,1353.1,1331.94,1388.0,802.1,1810356,2411286825.75,66506,PREMIERENE
2024-12-30,EQ,1310.5,1364.8,1297.5,1310.35,1335.0,1334.6,1338.66,1388.0,802.1,2341595,3134590016.9,76863,PREMIERENE
2024-12-27,EQ,1285.0,1324.8,1281.75,1285.95,1309.0,1310.35,1308.62,1388.0,802.1,1703857,2229692888.4,46337,PREMIERENE
2024-12-26,EQ,1328.8,1335.0,1274.8,1320.2,1285.0,1285.95,1301.86,1388.0,802.1,1910072,2486641046.7,56577,PREMIERENE
2024-12-24,EQ,1322.45,1338.5,1307.7,1321.65,1320.0,1320.2,1321.82,1388.0,802.1,1395348,1844404963.25,43463,PREMIERENE
2024-12-23,EQ,1312.4,1339.0,1284.8,1296.4,1318.0,1321.65,1312.67,1388.0,802.1,1909099,2506019999.65,54271,PREMIERENE
2024-12-20,EQ,1320.9,1355.05,1289.0,1295.4,1296.35,1296.4,1324.62,1388.0,802.1,3591672,4757594357.95,94302,PREMIERENE
2024-12-19,EQ,1259.0,1317.35,1252.1,1290.5,1297.9,1295.4,1294.98,1388.0,802.1,2151769,2786502030.65,61061,PREMIERENE
2024-12-18,EQ,1327.6,1333.3,1278.0,1323.95,1294.7,1290.5,1294.52,1388.0,802.1,2050792,2654800541.75,60755,PREMIERENE
2024-12-17,EQ,1373.0,1388.0,1320.0,1373.5,1324.0,1323.95,1355.75,1388.0,802.1,2517300,3412820608.5,66849,PREMIERENE
2024-12-16,EQ,1299.75,1381.0,1295.75,1294.85,1370.05,1373.5,1353.37,1381.0,802.1,5096000,6896769050.15,124634,PREMIERENE
2024-12-13,EQ,1307.0,1316.75,1264.0,1307.35,1293.25,1294.85,1288.14,1348.9,802.1,3163298,4074779842.7,93975,PREMIERENE
2024-12-12,EQ,1336.1,1348.9,1295.0,1329.15,1301.0,1307.35,1325.01,1348.9,802.1,3193266,4231095462.9,77540,PREMIERENE
2024-12-11,EQ,1290.0,1344.5,1290.0,1281.3,1324.0,1329.15,1321.73,1344.5,802.1,5097261,6737187396.4,115911,PREMIERENE
2024-12-10,EQ,1300.0,1334.85,1251.4,1291.6,1280.0,1281.3,1288.92,1334.85,802.1,4235642,5459387031.6,105056,PREMIERENE
2024-12-09,EQ,1267.6,1325.0,1265.05,1263.75,1294.0,1291.6,1299.66,1329.0,802.1,3827579,4974562510.2,92288,PREMIERENE
2024-12-06,EQ,1272.95,1304.1,1256.05,1273.4,1267.9,1263.75,1277.18,1329.0,802.1,3061584,3910189805.75,73693,PREMIERENE
2024-12-05,EQ,1302.0,1329.0,1259.0,1284.6,1267.4,1273.4,1295.44,1329.0,802.1,6023408,7802963827.3,134318,PREMIERENE
2024-12-04,EQ,1214.0,1296.0,1202.05,1214.8,1288.0,1284.6,1260.0,1296.0,802.1,6995299,8814087098.4,155953,PREMIERENE
2024-12-03,EQ,1246.0,1251.7,1195.0,1243.7,1210.0,1214.8,1215.56,1278.0,802.1,4478213,5443525400.1,111300,PREMIERENE
2024-12-02,EQ,1235.0,1278.0,1182.1,1222.95,1245.0,1243.7,1236.82,1278.0,802.1,7664138,9479137089.45,214678,PREMIERENE
2024-11-29,EQ,1142.75,1242.0,1125.0,1137.45,1241.4,1222.95,1186.04,1267.95,802.1,6446974,7646374246.25,128865,PREMIERENE
2024-11-28,EQ,1102.05,1168.8,1102.05,1111.0,1140.05,1137.45,1139.97,1267.95,802.1,5990868,6829424043.75,137920,PREMIERENE
2024-11-27,EQ,1111.0,1149.0,1093.1,1100.85,1114.0,1111.0,1120.25,1267.95,802.1,2506692,2808126313.3,63180,PREMIERENE
2024-11-26,EQ,1129.0,1137.0,1097.0,1095.9,1098.1,1100.85,1114.34,1267.95,802.1,2939791,3275935624.3,66291,PREMIERENE
2024-11-25,EQ,1087.0,1104.85,1052.2,1061.4,1102.0,1095.9,1082.67,1267.95,802.1,2663046,2883206321.4,73580,PREMIERENE
2024-11-22,EQ,1093.0,1109.9,1050.0,1085.45,1061.5,1061.4,1075.63,1267.95,802.1,2134800,2296261824.15,65469,PREMIERENE
2024-11-21,EQ,1081.0,1123.0,1067.65,1093.8,1081.75,1085.45,1093.02,1267.95,802.1,3480938,3804741635.35,90576,PREMIERENE
2024-11-19,EQ,1064.05,1137.9,1050.0,1085.1,1086.9,1093.8,1100.73,1267.95,802.1,5523677,6080066142.75,154867,PREMIERENE
2024-11-18,EQ,985.0,1097.9,969.45,968.95,1067.0,1085.1,1056.29,1267.95,802.1,6860406,7246581080.85,165939,PREMIERENE
2024-11-14,EQ,990.0,1009.2,957.1,982.7,970.0,968.95,982.85,1267.95,802.1,2200387,2162655698.75,65276,PREMIERENE
2024-11-13,EQ,1029.0,1049.95,975.05,1028.65,981.7,982.7,1006.62,1267.95,802.1,2890543,2909689555.65,101169,PREMIERENE
2024-11-12,EQ,1045.8,1086.3,1024.7,1040.6,1028.0,1028.65,1057.46,1267.95,802.1,3596126,3802775407.4,101518,PREMIERENE
2024-11-11,EQ,1100.0,1100.0,1001.0,1127.95,1040.05,1040.6,1036.98,1267.95,802.1,7238299,7505973501.95,204806,PREMIERENE
2024-11-08,EQ,1101.65,1143.0,1083.05,1093.1,1123.5,1127.95,1116.5,1267.95,802.1,3522594,3932980030.05,96066,PREMIERENE
2024-11-07,EQ,1165.0,1176.95,1085.0,1189.1,1095.95,1093.1,1128.94,1267.95,802.1,3856973,4354288029.3,116766,PREMIERENE
2024-11-06,EQ,1200.0,1245.0,1170.0,1168.15,1190.6,1189.1,1205.49,1267.95,802.1,7807522,9411861155.6,181560,PREMIERENE
2024-11-05,EQ,1073.65,1185.0,1061.35,1075.65,1179.0,1168.15,1143.44,1267.95,802.1,7614525,8706733022.5,221724,PREMIERENE
2024-11-04,EQ,1103.35,1119.65,1045.0,1075.95,1071.4,1075.65,1079.13,1267.95,802.1,3707097,4000434298.6,104520,PREMIERENE
2024-11-01,EQ,1033.8,1090.0,1032.55,1021.2,1086.05,1075.95,1066.57,1267.95,802.1,1301411,1388043904.2,35114,PREMIERENE
2024-10-31,EQ,1000.4,1034.4,998.05,1001.65,1029.0,1021.2,1016.33,1267.95,802.1,1803848,1833302272.85,62486,PREMIERENE
2024-10-30,EQ,950.0,1019.7,948.15,952.75,998.0,1001.65,999.33,1267.95,802.1,2344186,2342612273.65,89282,PREMIERENE
2024-10-29,EQ,964.85,968.0,945.9,960.25,951.9,952.75,954.4,1267.95,802.1,800779,764260467.25,32585,PREMIERENE
2024-10-28,EQ,952.85,982.0,922.85,945.05,960.0,960.25,955.38,1267.95,802.1,2051338,1959807453.7,71294,PREMIERENE
2024-10-25,EQ,985.0,992.45,925.1,978.35,945.0,945.05,947.76,1267.95,802.1,2223957,2107778559.0,78254,PREMIERENE
2024-10-24,EQ,1014.95,1018.5,975.05,998.85,979.85,978.35,994.95,1267.95,802.1,941634,936881507.1,32965,PREMIERENE
2024-10-23,EQ,1000.0,1034.8,991.75,997.65,999.9,998.85,1009.42,1267.95,802.1,1831265,1848520342.2,58334,PREMIERENE
2024-10-22,EQ,1048.9,1050.45,991.0,1042.3,1002.0,997.65,1014.33,1267.95,802.1,1319705,1338621603.4,50727,PREMIERENE
2024-10-21,EQ,1100.0,1106.0,1035.1,1094.65,1038.8,1042.3,1066.29,1267.95,802.1,1225626,1306872678.6,47973,PREMIERENE
2024-10-18,EQ,1076.0,1111.95,1055.1,1084.1,1087.3,1094.65,1087.05,1267.95,802.1,1676203,1822121634.0,77174,PREMIERENE
2024-10-17,EQ,1144.7,1144.7,1078.8,1135.35,1081.0,1084.1,1102.64,1267.95,802.1,1842194,2031280071.2,55168,PREMIERENE
2024-10-16,EQ,1135.0,1150.95,1125.7,1148.25,1128.0,1135.35,1136.99,1267.95,802.1,1369581,1557201464.0,42068,PREMIERENE
