DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,302.35,303.55,296.05,302.35,297.8,298.5,299.34,635.4,290.0,14523,4347292.9,1101,RISHABH
2025-01-23,EQ,295.2,307.8,295.2,297.95,305.0,302.35,302.59,635.4,290.0,47309,14315397.65,1192,RISHABH
2025-01-22,EQ,304.55,304.55,290.0,303.8,297.95,297.95,295.89,635.4,290.0,61698,18256075.75,2275,RISHABH
2025-01-21,EQ,308.15,313.7,302.45,307.55,304.45,303.8,307.06,635.4,302.45,34394,10560956.6,1951,RISHABH
2025-01-20,EQ,310.8,310.8,306.8,307.65,307.1,307.55,308.38,635.4,306.0,31311,9655572.0,1685,RISHABH
2025-01-17,EQ,307.25,309.9,306.05,308.05,307.3,307.65,307.85,635.4,306.0,17095,5262757.0,1040,RISHABH
2025-01-16,EQ,307.85,317.05,306.45,306.4,307.15,308.05,308.79,635.4,306.0,26021,8034906.95,1392,RISHABH
2025-01-15,EQ,314.0,314.0,306.0,308.4,306.2,306.4,307.43,635.4,306.0,39808,12238133.75,1815,RISHABH
2025-01-14,EQ,310.6,313.7,306.25,309.0,309.9,308.4,309.4,635.4,306.05,40590,12558519.25,2235,RISHABH
2025-01-13,EQ,316.95,318.7,306.05,316.6,311.0,309.0,311.82,635.4,306.05,29004,9043949.15,2280,RISHABH
2025-01-10,EQ,327.55,329.3,315.0,327.55,317.2,316.6,318.27,635.4,315.0,32404,10313113.5,2140,RISHABH
2025-01-09,EQ,328.5,335.0,324.0,326.75,325.6,327.55,327.82,635.4,318.05,26916,8823521.1,1904,RISHABH
2025-01-08,EQ,333.2,333.2,325.0,331.45,329.0,326.75,327.83,635.4,318.05,21792,7143975.2,1797,RISHABH
2025-01-07,EQ,331.0,335.0,327.3,326.7,331.0,331.45,331.24,635.4,318.05,18336,6073599.9,1377,RISHABH
2025-01-06,EQ,343.2,343.2,324.5,341.45,330.0,326.7,331.13,635.4,318.05,27033,8951363.8,1770,RISHABH
2025-01-03,EQ,344.4,349.7,339.1,342.6,341.2,341.45,344.47,635.4,318.05,19492,6714376.7,1289,RISHABH
2025-01-02,EQ,343.1,345.6,339.95,341.3,342.1,342.6,342.46,635.4,318.05,18358,6286961.5,1106,RISHABH
2025-01-01,EQ,338.15,345.95,337.0,336.85,341.0,341.3,340.87,635.4,318.05,17128,5838341.9,1134,RISHABH
2024-12-31,EQ,341.75,342.4,333.55,341.55,337.45,336.85,336.76,635.4,318.05,15314,5157090.95,837,RISHABH
2024-12-30,EQ,339.0,360.1,333.75,333.75,341.45,341.55,344.37,635.4,318.05,56661,19512382.1,2551,RISHABH
2024-12-27,EQ,340.4,340.4,331.95,338.65,334.4,333.75,334.98,635.4,318.05,24832,8318254.95,1425,RISHABH
2024-12-26,EQ,335.75,346.0,330.05,331.2,337.25,338.65,337.95,635.4,318.05,27554,9311891.55,1606,RISHABH
2024-12-24,EQ,330.0,338.1,330.0,332.05,332.05,331.2,333.44,635.4,318.05,20915,6973826.3,1255,RISHABH
2024-12-23,EQ,336.5,344.0,328.3,335.05,332.0,332.05,333.74,635.4,318.05,28075,9369813.85,1811,RISHABH
2024-12-20,EQ,345.45,356.15,332.0,345.45,336.7,335.05,341.38,635.4,318.05,40413,13796155.4,2169,RISHABH
2024-12-19,EQ,350.05,351.95,344.55,352.2,346.0,345.45,346.94,635.4,318.05,33060,11469694.1,1560,RISHABH
2024-12-18,EQ,351.1,356.9,350.1,352.85,353.9,352.2,352.48,635.4,318.05,15195,5355993.8,1091,RISHABH
2024-12-17,EQ,357.95,362.95,350.0,359.45,350.7,352.85,355.56,635.4,318.05,32635,11603674.55,1604,RISHABH
