DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,1285.9,1319.95,1245.0,1285.95,1248.0,1248.9,1263.27,1901.95,1245.0,38740,48939257.75,7148,RRKABEL
2025-01-23,EQ,1279.0,1293.85,1266.0,1271.85,1283.0,1285.95,1284.25,1901.95,1255.05,26078,33490586.2,4202,RRKABEL
2025-01-22,EQ,1293.3,1299.35,1255.05,1293.3,1270.0,1271.85,1268.09,1901.95,1255.05,39609,50227893.9,9418,RRKABEL
2025-01-21,EQ,1290.0,1320.0,1280.7,1278.65,1293.8,1293.3,1304.19,1901.95,1275.0,147918,192912908.9,18041,RRKABEL
2025-01-20,EQ,1295.0,1304.95,1275.0,1291.95,1280.05,1278.65,1285.07,1901.95,1275.0,73213,94083982.35,8849,RRKABEL
2025-01-17,EQ,1317.0,1331.8,1288.55,1315.8,1294.9,1291.95,1304.34,1901.95,1288.55,56236,73351039.85,7696,RRKABEL
2025-01-16,EQ,1321.9,1335.8,1311.1,1314.95,1320.45,1315.8,1321.47,1901.95,1296.0,39123,51699823.9,6341,RRKABEL
2025-01-15,EQ,1338.85,1345.0,1313.0,1319.1,1315.6,1314.95,1317.11,1901.95,1296.0,81768,107697742.35,4692,RRKABEL
2025-01-14,EQ,1315.5,1329.95,1296.0,1308.75,1325.2,1319.1,1312.03,1901.95,1296.0,84027,110245839.85,11285,RRKABEL
2025-01-13,EQ,1349.85,1355.0,1300.0,1360.6,1310.0,1308.75,1326.36,1901.95,1300.0,69075,91618036.0,11230,RRKABEL
2025-01-10,EQ,1382.25,1386.45,1353.55,1385.55,1359.0,1360.6,1361.61,1901.95,1310.3,71554,97428552.0,10938,RRKABEL
2025-01-09,EQ,1399.25,1400.3,1380.0,1399.25,1380.9,1385.55,1386.92,1901.95,1310.3,89673,124369350.4,6569,RRKABEL
