DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2019-11-13,EQ,3.5,3.55,3.35,3.5,3.35,3.35,3.4,9.35,3.35,5760839,19590005.4,2364,RUCHISOYA
2019-11-11,EQ,3.7,3.7,3.45,3.55,3.55,3.5,3.54,9.35,3.35,2287395,8096618.9,1435,RUCHISOYA
2019-11-08,EQ,3.5,3.6,3.45,3.6,3.6,3.55,3.47,9.35,3.35,3976237,13806405.85,1978,RUCHISOYA
2019-11-07,EQ,3.9,3.9,3.6,3.75,3.6,3.6,3.75,9.35,3.35,4895335,18367625.95,2318,RUCHISOYA
2019-11-06,EQ,3.75,3.75,3.65,3.6,3.75,3.75,3.74,9.35,3.35,513515,1922415.25,391,RUCHISOYA
2019-11-05,EQ,3.45,3.6,3.35,3.45,3.6,3.6,3.52,9.35,3.35,1190614,4190235.6,646,RUCHISOYA
2019-11-04,EQ,3.6,3.6,3.45,3.6,3.45,3.45,3.49,9.35,3.35,3057480,10677145.5,1548,RUCHISOYA
2019-11-01,EQ,3.6,3.6,3.5,3.6,3.6,3.6,3.57,9.35,3.35,922091,3294200.4,780,RUCHISOYA
2019-10-31,EQ,3.7,3.75,3.6,3.75,3.65,3.6,3.65,9.35,3.35,1843188,6725264.45,1125,RUCHISOYA
2019-10-30,EQ,3.85,3.9,3.7,3.8,3.75,3.75,3.82,9.35,3.35,1588342,6075251.8,1129,RUCHISOYA
2019-10-29,EQ,3.7,3.8,3.65,3.65,3.8,3.8,3.74,9.35,3.35,2051547,7680607.9,1210,RUCHISOYA
2019-10-27,EQ,3.55,3.7,3.5,3.55,3.7,3.65,3.64,9.35,3.35,283104,1030182.45,622,RUCHISOYA
2019-10-25,EQ,3.6,3.6,3.45,3.55,3.5,3.55,3.53,9.35,3.35,1794908,6329174.15,1002,RUCHISOYA
2019-10-24,EQ,3.55,3.65,3.55,3.6,3.55,3.55,3.6,9.35,3.35,1195680,4304898.9,689,RUCHISOYA
2019-10-23,EQ,3.65,3.7,3.55,3.65,3.6,3.6,3.63,9.35,3.35,1083852,3933221.3,980,RUCHISOYA
2019-10-22,EQ,3.65,3.75,3.6,3.7,3.65,3.65,3.65,9.35,3.35,1266448,4617301.25,919,RUCHISOYA
2019-10-18,EQ,3.8,3.8,3.65,3.8,3.75,3.7,3.69,9.35,3.35,1807620,6670290.05,1278,RUCHISOYA
2019-10-17,EQ,3.8,3.9,3.75,3.75,3.75,3.8,3.82,9.35,3.35,1345418,5139851.1,921,RUCHISOYA
2019-10-16,EQ,3.6,3.75,3.55,3.6,3.75,3.75,3.7,9.35,3.35,1593790,5891318.95,1194,RUCHISOYA
2019-10-15,EQ,3.65,3.7,3.6,3.7,3.6,3.6,3.64,9.35,3.35,1344774,4895441.1,865,RUCHISOYA
2019-10-14,EQ,3.95,3.95,3.7,3.85,3.7,3.7,3.8,9.35,3.35,2341703,8905754.85,1496,RUCHISOYA
2019-10-11,EQ,4.2,4.2,3.8,4.0,3.95,3.85,3.99,9.35,3.35,4246473,16937113.3,2464,RUCHISOYA
2019-10-10,EQ,4.0,4.0,4.0,3.85,4.0,4.0,4.0,9.35,3.35,196729,786916.0,207,RUCHISOYA
2019-10-09,EQ,3.85,3.85,3.8,3.7,3.85,3.85,3.85,9.35,3.35,461858,1777728.25,475,RUCHISOYA
2019-10-07,EQ,3.65,3.7,3.45,3.55,3.7,3.7,3.63,9.35,3.35,1642869,5964691.3,1149,RUCHISOYA
2019-10-04,EQ,3.55,3.6,3.4,3.45,3.6,3.55,3.49,9.35,3.35,2055681,7179646.95,1196,RUCHISOYA
2019-10-03,EQ,3.5,3.55,3.4,3.45,3.5,3.45,3.48,9.35,3.35,2297831,8003194.6,1507,RUCHISOYA
2019-10-01,EQ,3.5,3.65,3.35,3.5,3.5,3.45,3.49,9.35,3.35,3993668,13953403.95,3111,RUCHISOYA
2019-09-30,EQ,3.5,3.8,3.5,3.65,3.5,3.5,3.54,9.35,3.35,8249052,29225704.15,4112,RUCHISOYA
2019-09-27,EQ,3.65,3.7,3.65,3.8,3.65,3.65,3.65,9.35,3.35,1123209,4099807.9,1099,RUCHISOYA
2019-09-26,EQ,3.85,3.85,3.8,4.0,3.8,3.8,3.81,9.35,3.35,2778574,10584268.0,1870,RUCHISOYA
2019-09-25,EQ,4.15,4.15,4.0,4.2,4.0,4.0,4.03,9.35,3.35,4438548,17878618.6,2522,RUCHISOYA
2019-09-24,EQ,4.25,4.55,4.2,4.4,4.2,4.2,4.33,9.35,3.35,5229429,22622909.65,3339,RUCHISOYA
2019-09-23,EQ,4.4,4.55,4.4,4.6,4.4,4.4,4.41,9.35,3.35,1457919,6427038.75,1436,RUCHISOYA
2019-09-20,EQ,4.6,5.0,4.6,4.8,4.6,4.6,4.75,9.35,3.35,6738536,32014178.0,3230,RUCHISOYA
2019-09-19,EQ,4.8,4.8,4.8,5.05,4.8,4.8,4.8,9.35,3.35,492926,2366044.8,725,RUCHISOYA
2019-09-18,EQ,5.05,5.2,5.05,5.3,5.05,5.05,5.07,9.35,3.35,3447912,17475789.1,1305,RUCHISOYA
