DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-09,EQ,52.6,53.15,50.79,52.05,51.11,51.1,51.63,56.4,27.02,14742898,761150579.55,49356,SAGILITY
2025-01-08,EQ,54.1,55.0,51.17,53.87,52.05,52.05,52.34,56.4,27.02,41622829,2178389842.59,79700,SAGILITY
2025-01-07,EQ,52.3,53.87,51.19,51.31,53.87,53.87,52.95,56.4,27.02,15303034,810285657.26,24762,SAGILITY
2025-01-06,EQ,54.27,54.27,50.7,52.82,51.78,51.31,52.44,56.4,27.02,44937799,2356696636.21,96766,SAGILITY
2025-01-03,EQ,51.77,52.82,51.43,50.31,52.82,52.82,52.53,56.4,27.02,22189970,1165700414.8,24570,SAGILITY
2025-01-02,EQ,46.66,50.31,46.56,47.92,50.31,50.31,49.22,56.4,27.02,37520037,1846776154.61,41851,SAGILITY
2025-01-01,EQ,48.5,49.09,47.92,50.45,47.92,47.92,48.14,56.4,27.02,33261883,1601105167.5,45204,SAGILITY
2024-12-31,EQ,53.22,53.5,50.45,53.11,50.45,50.45,51.65,56.4,27.02,27456496,1418028862.58,73564,SAGILITY
2024-12-30,EQ,55.29,56.4,52.0,53.86,53.18,53.11,54.64,56.4,27.02,51662517,2822900735.46,154650,SAGILITY
2024-12-27,EQ,52.19,53.86,49.37,51.3,53.86,53.86,52.11,53.86,27.02,57359747,2988778175.85,116534,SAGILITY
2024-12-26,EQ,50.7,51.37,50.1,48.93,51.37,51.3,51.15,51.37,27.02,48639179,2487947857.7,63201,SAGILITY
2024-12-24,EQ,47.9,48.93,47.75,46.6,48.93,48.93,48.66,48.93,27.02,23966758,1166317437.24,29711,SAGILITY
2024-12-23,EQ,47.0,47.25,44.3,45.17,46.73,46.6,46.14,47.25,27.02,26655334,1229936969.38,58184,SAGILITY
2024-12-20,EQ,45.45,46.09,44.9,43.9,45.22,45.17,45.84,46.09,27.02,73236427,3357132435.18,93579,SAGILITY
2024-12-19,EQ,41.5,45.29,41.46,43.5,43.91,43.9,43.58,45.46,27.02,27142706,1182875229.62,64306,SAGILITY
2024-12-18,EQ,42.8,45.46,42.3,43.3,43.65,43.5,43.93,45.46,27.02,43115561,1894009737.6,71694,SAGILITY
2024-12-17,EQ,43.82,43.82,42.5,41.74,43.15,43.3,43.68,43.82,27.02,50540496,2207554903.26,39164,SAGILITY
2024-12-16,EQ,40.4,41.74,40.17,39.76,41.74,41.74,41.04,43.48,27.02,13155239,539869464.68,33930,SAGILITY
2024-12-13,EQ,40.75,41.0,38.76,40.81,39.76,39.76,39.35,43.48,27.02,34558847,1359720487.4,68485,SAGILITY
2024-12-12,EQ,43.48,43.48,40.72,42.87,40.72,40.81,41.91,43.48,27.02,17707128,742163337.62,54667,SAGILITY
2024-12-11,EQ,42.19,43.25,40.14,42.26,42.8,42.87,41.33,43.48,27.02,64407849,2662036191.05,90438,SAGILITY
2024-12-10,EQ,43.48,43.48,41.56,41.41,42.59,42.26,43.18,43.48,27.02,68989556,2979294565.69,73427,SAGILITY
2024-12-09,EQ,39.49,41.41,38.8,39.44,41.41,41.41,40.81,41.41,27.02,26238430,1070881831.03,38077,SAGILITY
2024-12-06,EQ,39.59,39.59,38.47,37.71,39.49,39.44,39.43,39.59,27.02,63412532,2500565622.3,54186,SAGILITY
2024-12-05,EQ,36.27,37.71,36.1,35.92,37.71,37.71,37.12,37.77,27.02,13708920,508934127.05,28467,SAGILITY
2024-12-04,EQ,35.7,36.3,35.49,35.65,35.92,35.92,35.89,37.77,27.02,10380833,372548907.01,57384,SAGILITY
2024-12-03,EQ,36.7,36.8,34.9,36.61,35.68,35.65,35.69,37.77,27.02,22831502,814797783.44,45123,SAGILITY
2024-12-02,EQ,37.3,37.75,36.15,37.02,36.54,36.61,37.03,37.77,27.02,27803725,1029694174.1,61423,SAGILITY
2024-11-29,EQ,35.0,37.77,34.91,34.87,37.0,37.02,36.85,37.77,27.02,49755966,1833486416.32,102376,SAGILITY
2024-11-28,EQ,34.5,36.14,33.54,34.49,34.71,34.87,34.86,36.14,27.02,72672440,2533084696.41,118168,SAGILITY
2024-11-27,EQ,34.0,34.69,32.33,31.54,34.35,34.49,33.95,34.69,27.02,103883169,3526345895.98,114816,SAGILITY
2024-11-26,EQ,30.3,31.54,29.9,28.68,31.54,31.54,30.87,32.87,27.02,66359636,2048245249.76,61265,SAGILITY
2024-11-25,EQ,28.74,29.0,28.12,28.02,28.95,28.68,28.52,32.87,27.02,7629162,217598019.18,22916,SAGILITY
2024-11-22,EQ,28.16,28.9,27.76,28.26,28.02,28.02,28.17,32.87,27.02,7280226,205090270.95,21582,SAGILITY
2024-11-21,EQ,29.07,29.15,27.85,29.25,28.25,28.26,28.26,32.87,27.02,15111152,427017272.32,48586,SAGILITY
2024-11-19,EQ,29.99,30.1,28.7,29.53,29.07,29.25,29.49,32.87,27.02,12537333,369778780.46,31075,SAGILITY
2024-11-18,EQ,28.9,30.1,28.26,28.51,29.49,29.53,29.32,32.87,27.02,17665144,517942917.87,32169,SAGILITY
2024-11-14,EQ,28.01,29.8,27.8,28.58,28.84,28.51,28.56,32.87,27.02,20806989,594244273.21,74953,SAGILITY
2024-11-13,EQ,29.29,29.29,27.02,29.32,28.66,28.58,28.22,32.87,27.02,26357328,743931333.38,76333,SAGILITY
2024-11-12,EQ,31.06,32.87,28.95,30.0,29.1,29.32,31.12,32.87,28.95,270448925,8415334670.44,325433,SAGILITY
