DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,695.75,697.55,671.65,695.75,674.5,674.35,678.03,808.8,650.0,302860,205347974.2,13981,SAILIFE
2025-01-23,EQ,702.0,708.4,688.55,692.2,695.1,695.75,699.15,808.8,650.0,297864,208252766.3,18068,SAILIFE
2025-01-22,EQ,712.95,717.65,682.55,712.65,694.85,692.2,693.01,808.8,650.0,475704,329669113.65,22687,SAILIFE
2025-01-21,EQ,737.7,746.7,705.55,727.7,714.0,712.65,720.56,808.8,650.0,496800,357975411.9,29189,SAILIFE
2025-01-20,EQ,715.3,734.0,711.5,716.45,725.5,727.7,725.74,808.8,650.0,234343,170070978.5,14864,SAILIFE
2025-01-17,EQ,719.9,724.55,711.05,716.85,715.5,716.45,716.81,808.8,650.0,219219,157138576.2,11697,SAILIFE
2025-01-16,EQ,712.25,728.35,712.25,710.35,717.5,716.85,719.88,808.8,650.0,356248,256456660.3,18836,SAILIFE
2025-01-15,EQ,718.95,728.8,702.1,729.05,710.0,710.35,711.19,808.8,650.0,1193889,849085818.45,47493,SAILIFE
2025-01-14,EQ,705.0,734.35,705.0,709.85,726.25,729.05,724.03,808.8,650.0,418137,302742993.9,21615,SAILIFE
2025-01-13,EQ,702.2,722.0,696.3,719.65,709.0,709.85,705.23,808.8,650.0,818775,577422865.05,42500,SAILIFE
2025-01-10,EQ,725.3,728.8,700.05,728.8,720.0,719.65,716.76,808.8,650.0,687304,492629444.0,36685,SAILIFE
2025-01-09,EQ,729.0,737.85,721.35,729.7,731.45,728.8,730.26,808.8,650.0,486442,355229077.05,24008,SAILIFE
2025-01-08,EQ,733.95,742.85,724.0,731.25,730.5,729.7,730.45,808.8,650.0,767227,560418108.2,42051,SAILIFE
2025-01-07,EQ,731.9,741.0,723.3,727.9,731.5,731.25,731.56,808.8,650.0,867017,634275186.15,23234,SAILIFE
2025-01-06,EQ,784.4,784.4,720.55,779.9,726.5,727.9,738.42,808.8,650.0,2254973,1665121828.05,67607,SAILIFE
2025-01-03,EQ,773.0,803.7,763.35,768.75,782.0,779.9,783.2,808.8,650.0,2654451,2078964180.6,67326,SAILIFE
2025-01-02,EQ,762.0,777.0,737.75,758.0,770.0,768.75,760.59,808.8,650.0,2138913,1626845520.55,72615,SAILIFE
2025-01-01,EQ,751.25,785.25,745.3,751.2,758.0,758.0,767.96,808.8,650.0,2207719,1695428921.8,58804,SAILIFE
2024-12-31,EQ,746.35,773.0,734.65,746.4,750.85,751.2,755.19,808.8,650.0,1831465,1383105879.95,56003,SAILIFE
2024-12-30,EQ,722.05,764.4,719.6,722.05,745.75,746.4,744.9,808.8,650.0,2403005,1790009867.85,76122,SAILIFE
2024-12-27,EQ,740.2,755.1,715.1,746.05,724.5,722.05,729.14,808.8,650.0,2268580,1654110837.9,67364,SAILIFE
2024-12-26,EQ,783.1,808.8,732.2,763.05,744.0,746.05,772.04,808.8,650.0,8617783,6653262078.2,213777,SAILIFE
2024-12-24,EQ,715.0,771.7,703.4,710.55,761.9,763.05,746.21,802.0,650.0,4582941,3419819647.1,119632,SAILIFE
2024-12-23,EQ,705.0,722.9,695.15,703.65,710.0,710.55,710.22,802.0,650.0,2626536,1865409608.05,74675,SAILIFE
2024-12-20,EQ,728.7,748.0,693.1,736.4,696.0,703.65,719.62,802.0,650.0,8416898,6056987782.1,185787,SAILIFE
2024-12-19,EQ,737.0,802.0,722.05,764.65,732.0,736.4,749.06,802.0,650.0,16050121,12022496299.2,278447,SAILIFE
2024-12-18,EQ,650.0,780.0,650.0,549.0,768.0,764.65,713.67,780.0,650.0,46659166,33299448294.4,819833,SAILIFE
