DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,189.0,193.5,186.22,189.11,187.9,188.04,189.61,237.85,146.5,841716,159598848.47,23645,SAMHI
2025-01-23,EQ,194.62,194.62,188.38,193.43,189.0,189.11,190.96,237.85,146.5,643717,122926583.54,21116,SAMHI
2025-01-22,EQ,195.2,196.99,190.01,195.2,192.2,193.43,192.65,237.85,146.5,2049273,394794463.77,37211,SAMHI
2025-01-21,EQ,196.25,198.83,194.1,196.54,195.75,195.2,195.89,237.85,146.5,1163817,227982642.42,31918,SAMHI
2025-01-20,EQ,190.0,197.31,187.21,187.55,195.6,196.54,193.15,237.85,146.5,1565388,302360071.83,31309,SAMHI
2025-01-17,EQ,188.61,188.89,184.07,187.52,186.45,187.55,185.85,237.85,146.5,945055,175639401.75,20507,SAMHI
2025-01-16,EQ,189.0,189.2,183.9,186.83,186.5,187.52,186.6,237.85,146.5,1248082,232897281.52,21544,SAMHI
2025-01-15,EQ,184.2,187.96,181.47,183.99,185.2,186.83,185.26,237.85,146.5,1046581,193888017.38,21730,SAMHI
2025-01-14,EQ,180.55,184.79,178.71,180.26,183.1,183.99,182.87,237.85,146.5,981364,179464152.59,23213,SAMHI
2025-01-13,EQ,189.25,189.74,179.15,190.28,180.2,180.26,183.87,237.85,146.5,1586597,291720008.35,48852,SAMHI
2025-01-10,EQ,198.5,200.35,188.0,200.99,191.25,190.28,191.57,237.85,146.5,2464456,472107924.5,45737,SAMHI
2025-01-09,EQ,193.96,206.34,193.65,192.6,200.94,200.99,201.39,237.85,146.5,3497719,704388728.93,79917,SAMHI
2025-01-08,EQ,193.65,196.7,191.81,192.85,192.95,192.6,193.24,237.85,146.5,753840,145674599.73,19494,SAMHI
2025-01-07,EQ,196.0,199.45,191.8,195.29,193.5,192.85,194.99,237.85,146.5,1415549,276015824.2,35758,SAMHI
2025-01-06,EQ,207.8,208.06,192.25,206.95,195.25,195.29,198.54,237.85,146.5,2663426,528803818.58,57564,SAMHI
2025-01-03,EQ,202.26,211.94,202.26,204.68,206.5,206.95,207.73,237.85,146.5,2612550,542716008.16,49861,SAMHI
